Date,Revenue,Cost of Revenue,Gross Profit,Operating Income,Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,4642000000.0,3220000000.0,1422000000.0,676000000.0,-17000000.0,80000000.0,836000000.0,19000000.0,817000000.0,806000000.0,1.13,0.3063,0.1456,0.1801,0.1736,0.3817,1350000000.0,676000000.0,1.1446,,1.1468,,1.1468,817000000.0,,817000000.0,0.2908,0.2736,HST
2022-06-30 00:00:00,4297000000.0,3019000000.0,1278000000.0,433000000.0,-12000000.0,71000000.0,581000000.0,0.0,581000000.0,573000000.0,0.8,0.2974,0.1008,0.1352,0.1333,0.3579,1205000000.0,433000000.0,0.8149,,0.8164,,0.8164,581000000.0,,581000000.0,0.2804,0.242,HST
2022-03-31 00:00:00,3565000000.0,2668000000.0,897000000.0,38000000.0,-20000000.0,108000000.0,199000000.0,-61000000.0,260000000.0,257000000.0,0.35,0.2516,0.0107,0.0558,0.0721,0.2715,818000000.0,38000000.0,0.3661,,0.3665,,0.3665,260000000.0,,260000000.0,0.2295,0.1689,HST
2021-12-31 00:00:00,2890000000.0,2287000000.0,603000000.0,-250000000.0,-33000000.0,149000000.0,-102000000.0,-91000000.0,-11000000.0,-11000000.0,-0.03,0.2087,-0.0865,-0.0353,-0.0038,0.2055,522000000.0,-250000000.0,-0.0155,,-0.0155,,-0.0155,-11000000.0,,-11000000.0,0.1806,0.101,HST
2021-09-30 00:00:00,2159000000.0,1906000000.0,253000000.0,-600000000.0,88000000.0,137000000.0,-545000000.0,-145000000.0,-400000000.0,-395000000.0,-0.57,0.1172,-0.2779,-0.2524,-0.183,0.0028,173000000.0,-600000000.0,-0.5636,,-0.5636,,-0.5636,-400000000.0,,-400000000.0,0.0801,-0.0301,HST
2021-06-30 00:00:00,1513000000.0,1581000000.0,-68000000.0,-823000000.0,22000000.0,202000000.0,-801000000.0,-205000000.0,-596000000.0,-589000000.0,-0.84,-0.0449,-0.544,-0.5294,-0.3893,-0.3463,-146000000.0,-823000000.0,-0.8436,,-0.8436,,-0.8436,-596000000.0,,-596000000.0,-0.0965,-0.2194,HST
2021-03-31 00:00:00,967000000.0,1321000000.0,-354000000.0,-1108000000.0,-12000000.0,199000000.0,-1120000000.0,-229000000.0,-891000000.0,-881000000.0,-1.25,-0.3661,-1.1458,-1.1582,-0.9111,-0.6515,-434000000.0,-1108000000.0,-1.2623,,-1.2623,,-1.2623,-891000000.0,,-891000000.0,-0.4488,-0.5305,HST
2020-12-31 00:00:00,1620000000.0,1819000000.0,-199000000.0,-953000000.0,-8000000.0,194000000.0,-961000000.0,-220000000.0,-741000000.0,-732000000.0,-1.03,-0.1228,-0.5883,-0.5932,-0.4519,-0.3241,-280000000.0,-953000000.0,-1.0497,,-1.0497,,-1.0497,-741000000.0,,-741000000.0,-0.1728,-0.1895,HST
2020-09-30 00:00:00,2687000000.0,2436000000.0,251000000.0,-516000000.0,-226000000.0,233000000.0,-742000000.0,-148000000.0,-594000000.0,-588000000.0,-0.83,0.0934,-0.192,-0.2761,-0.2188,-0.0261,164000000.0,-516000000.0,-0.8424,,-0.8413,,-0.8413,-594000000.0,,-594000000.0,0.061,0.064,HST
2020-06-30 00:00:00,3751000000.0,3042000000.0,709000000.0,-61000000.0,84000000.0,213000000.0,23000000.0,-71000000.0,94000000.0,93000000.0,0.12,0.189,-0.0163,0.0061,0.0248,0.2711,617000000.0,-61000000.0,0.1182,,0.1195,,0.1195,94000000.0,,94000000.0,0.1645,0.1629,HST
