Date,Revenue,Cost of Revenue,Gross Profit,Operating Income,Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2020-03-31 00:00:00,5131000000.0,3791000000.0,1340000000.0,572000000.0,159000000.0,216000000.0,731000000.0,-9000000.0,740000000.0,731000000.0,1.01,0.2612,0.1115,0.1425,0.1425,0.2997,1248000000.0,572000000.0,1.0153,,1.0168,,1.0168,740000000.0,,740000000.0,0.2432,0.2339,HST
2019-12-31 00:00:00,5469000000.0,3892000000.0,1577000000.0,799000000.0,163000000.0,222000000.0,962000000.0,30000000.0,932000000.0,920000000.0,1.26,0.2884,0.1461,0.1759,0.1682,0.3445,1481000000.0,799000000.0,1.2747,,1.2762,,1.2762,932000000.0,,932000000.0,0.2708,0.2286,HST
2019-09-30 00:00:00,5496000000.0,3918000000.0,1578000000.0,821000000.0,445000000.0,174000000.0,1266000000.0,109000000.0,1157000000.0,1143000000.0,1.56,0.2871,0.1494,0.2303,0.208,0.3623,1494000000.0,821000000.0,1.5724,,1.5737,,1.5737,1157000000.0,,1157000000.0,0.2718,0.2316,HST
2019-06-30 00:00:00,5533000000.0,3935000000.0,1598000000.0,592000000.0,718000000.0,173000000.0,1310000000.0,147000000.0,1163000000.0,1097000000.0,1.48,0.2888,0.107,0.2368,0.1983,0.4309,1512000000.0,592000000.0,1.5704,,1.5719,,1.5719,1163000000.0,,1163000000.0,0.2733,0.2294,HST
2019-03-31 00:00:00,5568000000.0,3959000000.0,1609000000.0,575000000.0,657000000.0,175000000.0,1232000000.0,148000000.0,1084000000.0,1020000000.0,1.37,0.289,0.1033,0.2213,0.1832,0.4472,1518000000.0,575000000.0,1.4633,,1.4648,,1.4648,1084000000.0,,1084000000.0,0.2726,0.2261,HST
2018-12-31 00:00:00,5524000000.0,3953000000.0,1571000000.0,530000000.0,771000000.0,176000000.0,1301000000.0,150000000.0,1151000000.0,1087000000.0,1.46,0.2844,0.0959,0.2355,0.1968,0.4401,1481000000.0,530000000.0,1.5542,,1.5559,,1.5559,1151000000.0,,1151000000.0,0.2681,0.2353,HST
2018-09-30 00:00:00,5507000000.0,3942000000.0,1565000000.0,476000000.0,542000000.0,176000000.0,1018000000.0,80000000.0,938000000.0,876000000.0,1.17,0.2842,0.0864,0.1849,0.1591,0.3922,1479000000.0,476000000.0,1.2671,,1.2683,,1.2683,938000000.0,,938000000.0,0.2686,0.2368,HST
2018-06-30 00:00:00,5462000000.0,3915000000.0,1547000000.0,695000000.0,50000000.0,174000000.0,745000000.0,80000000.0,665000000.0,658000000.0,0.88,0.2832,0.1272,0.1364,0.1205,0.2841,1462000000.0,695000000.0,0.8987,,0.8995,,0.8995,665000000.0,,665000000.0,0.2677,0.2325,HST
2018-03-31 00:00:00,5385000000.0,3874000000.0,1511000000.0,676000000.0,80000000.0,172000000.0,756000000.0,90000000.0,666000000.0,659000000.0,0.88,0.2806,0.1255,0.1404,0.1224,0.2674,1433000000.0,676000000.0,0.9006,,0.9012,,0.9012,666000000.0,,666000000.0,0.2661,0.2351,HST
2017-12-31 00:00:00,5387000000.0,3876000000.0,1511000000.0,676000000.0,-25000000.0,167000000.0,651000000.0,80000000.0,571000000.0,564000000.0,0.75,0.2805,0.1255,0.1208,0.1047,0.2662,1434000000.0,676000000.0,0.7726,,0.7731,,0.7731,571000000.0,,571000000.0,0.2662,0.2283,HST
2017-09-30 00:00:00,5380000000.0,3874000000.0,1506000000.0,692000000.0,-25000000.0,163000000.0,667000000.0,61000000.0,606000000.0,598000000.0,0.8,0.2799,0.1286,0.124,0.1112,0.2271,1417000000.0,692000000.0,0.8212,,0.8219,,0.8219,606000000.0,,606000000.0,0.2634,0.2331,HST
2017-06-30 00:00:00,5421000000.0,3899000000.0,1522000000.0,709000000.0,-62000000.0,158000000.0,647000000.0,38000000.0,609000000.0,601000000.0,0.8,0.2808,0.1308,0.1194,0.1109,0.195,1439000000.0,709000000.0,0.8248,,0.8256,,0.8256,609000000.0,,609000000.0,0.2654,0.2409,HST
2017-03-31 00:00:00,5439000000.0,3919000000.0,1520000000.0,704000000.0,87000000.0,154000000.0,791000000.0,43000000.0,748000000.0,738000000.0,0.99,0.2795,0.1294,0.1454,0.1357,0.241,1433000000.0,704000000.0,1.0094,,1.0104,,1.0104,748000000.0,,748000000.0,0.2635,0.2381,HST
2016-12-31 00:00:00,5430000000.0,3931000000.0,1499000000.0,684000000.0,127000000.0,154000000.0,811000000.0,40000000.0,771000000.0,762000000.0,1.02,0.2761,0.126,0.1494,0.1403,0.2298,1415000000.0,684000000.0,1.0367,,1.0377,,1.0377,771000000.0,,771000000.0,0.2606,0.2398,HST
2016-09-30 00:00:00,5419000000.0,3926000000.0,1493000000.0,677000000.0,169000000.0,176000000.0,846000000.0,38000000.0,808000000.0,799000000.0,1.07,0.2755,0.1249,0.1561,0.1474,0.2615,1404000000.0,677000000.0,1.0933,,1.0827,,1.0827,808000000.0,,808000000.0,0.2591,0.2349,HST
2016-06-30 00:00:00,5407000000.0,3929000000.0,1478000000.0,666000000.0,149000000.0,184000000.0,815000000.0,28000000.0,787000000.0,777000000.0,1.04,0.2733,0.1232,0.1507,0.1437,0.2356,1393000000.0,666000000.0,1.0641,,1.0535,,1.0535,787000000.0,,787000000.0,0.2576,0.226,HST
2016-03-31 00:00:00,5387000000.0,3930000000.0,1457000000.0,649000000.0,10000000.0,217000000.0,659000000.0,9000000.0,650000000.0,642000000.0,0.85,0.2705,0.1205,0.1223,0.1192,0.1847,1382000000.0,649000000.0,0.8649,,0.8656,,0.8656,650000000.0,,650000000.0,0.2565,0.2255,HST
2015-12-31 00:00:00,5350000000.0,3919000000.0,1431000000.0,631000000.0,-57000000.0,227000000.0,574000000.0,9000000.0,565000000.0,558000000.0,0.74,0.2675,0.1179,0.1073,0.1043,0.1452,1360000000.0,631000000.0,0.7504,,0.7511,,0.7511,565000000.0,,565000000.0,0.2542,0.2168,HST
2015-09-30 00:00:00,5311000000.0,3911000000.0,1400000000.0,621000000.0,41000000.0,210000000.0,662000000.0,10000000.0,652000000.0,649000000.0,0.86,0.2636,0.1169,0.1246,0.1222,0.1853,1343000000.0,621000000.0,0.8239,,0.865,,0.865,652000000.0,,652000000.0,0.2529,0.2218,HST
2015-06-30 00:00:00,5322000000.0,3914000000.0,1408000000.0,690000000.0,27000000.0,215000000.0,717000000.0,7000000.0,710000000.0,708000000.0,0.94,0.2646,0.1297,0.1347,0.133,0.1881,1412000000.0,690000000.0,0.8991,,0.9403,,0.9403,710000000.0,,710000000.0,0.2653,0.2187,HST
2015-03-31 00:00:00,5314000000.0,3901000000.0,1413000000.0,693000000.0,-29000000.0,198000000.0,664000000.0,9000000.0,655000000.0,651000000.0,0.87,0.2659,0.1304,0.125,0.1225,0.1635,1411000000.0,693000000.0,0.837,,0.8669,,0.8669,655000000.0,,655000000.0,0.2655,0.2132,HST
2014-12-31 00:00:00,5321000000.0,3901000000.0,1420000000.0,694000000.0,61000000.0,207000000.0,755000000.0,14000000.0,741000000.0,732000000.0,0.98,0.2669,0.1304,0.1419,0.1376,0.2272,1411000000.0,694000000.0,0.9417,,0.981,,0.981,741000000.0,,741000000.0,0.2652,0.2142,HST
2014-09-30 00:00:00,5366000000.0,3919000000.0,1447000000.0,699000000.0,-133000000.0,224000000.0,566000000.0,19000000.0,547000000.0,601000000.0,0.8,0.2697,0.1303,0.1055,0.112,0.2154,1425000000.0,699000000.0,0.7076,,0.8153,,0.7175,547000000.0,,615000000.0,0.2656,0.2024,HST
2014-06-30 00:00:00,5283000000.0,3890000000.0,1393000000.0,576000000.0,-148000000.0,238000000.0,428000000.0,24000000.0,404000000.0,476000000.0,0.64,0.2637,0.109,0.081,0.0901,0.2232,1302000000.0,576000000.0,0.5259,,0.6474,,0.5356,404000000.0,,488000000.0,0.2465,0.2052,HST
2014-03-31 00:00:00,5251000000.0,3873000000.0,1378000000.0,556000000.0,-171000000.0,286000000.0,385000000.0,24000000.0,361000000.0,440000000.0,0.59,0.2624,0.1059,0.0733,0.0838,0.2367,1282000000.0,556000000.0,0.4656,,0.5993,,0.4751,361000000.0,,450000000.0,0.2441,0.1931,HST
2013-12-31 00:00:00,5166000000.0,3836000000.0,1330000000.0,512000000.0,-281000000.0,304000000.0,231000000.0,21000000.0,210000000.0,317000000.0,0.43,0.2575,0.0991,0.0447,0.0614,0.2329,1244000000.0,512000000.0,0.27,0.15,0.4366,0.16,0.27,210000000.0,115000000.0,325000000.0,0.2408,0.1973,HST
2013-09-30 00:00:00,5507000000.0,4121000000.0,1386000000.0,482000000.0,-284000000.0,345000000.0,198000000.0,41000000.0,157000000.0,209000000.0,0.29,0.2517,0.0875,0.036,0.038,0.1482,1310000000.0,482000000.0,0.21,0.08,0.2895,0.08,0.21,157000000.0,57000000.0,214000000.0,0.2379,0.1914,HST
2013-06-30 00:00:00,5454000000.0,4102000000.0,1352000000.0,464000000.0,-308000000.0,373000000.0,156000000.0,41000000.0,115000000.0,156000000.0,0.21,0.2479,0.0851,0.0286,0.0286,0.1606,1273000000.0,464000000.0,0.15,0.0655,0.2156,0.0655,0.15,115000000.0,45000000.0,160000000.0,0.2334,0.1722,HST
2013-03-31 00:00:00,5381000000.0,4091000000.0,1290000000.0,436000000.0,-319000000.0,364000000.0,117000000.0,38000000.0,79000000.0,119000000.0,0.16,0.2397,0.081,0.0217,0.0221,0.1165,1228000000.0,436000000.0,0.11,0.0596,0.1688,0.0597,0.11,79000000.0,43000000.0,122000000.0,0.2282,0.1643,HST
2012-12-31 00:00:00,5109000000.0,3921000000.0,1188000000.0,362000000.0,-340000000.0,374000000.0,22000000.0,32000000.0,-10000000.0,61000000.0,0.08,0.2325,0.0709,0.0043,0.0119,0.0624,1129000000.0,362000000.0,-0.01,0.0996,0.1084,0.0997,-0.01,-10000000.0,72000000.0,77000000.0,0.221,0.1529,HST
