Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Non-operating Income/Expense,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,3128721000.0,200951000.0,2939099900.0,131456000.0,586477800.0,221850000.0,694477000.0,45930000.0,648547000.0,646184000.0,1.08,0.9394,0.1874,0.222,0.2065,-1.5438,2142497700.0,586477800.0,0.9973,,0.9981,,0.9981,648547000.0,,648547000.0,0.6848,0.7305,O
2022-06-30 00:00:00,2778913000.0,177894000.0,2614778900.0,121173000.0,507255800.0,245371000.0,605382000.0,41846000.0,563536000.0,561613000.0,1.06,0.9409,0.1825,0.2178,0.2021,-1.7968,1859948700.0,507255800.0,0.9858,,0.9866,,0.9866,563536000.0,,563536000.0,0.6693,0.7188,O
2022-03-31 00:00:00,2433945000.0,157448000.0,2288103900.0,108883000.0,430714800.0,251363000.0,500895000.0,36413000.0,464482000.0,462885000.0,1.02,0.9401,0.177,0.2058,0.1902,-2.0279,1577660700.0,430714800.0,0.9473,,0.948,,0.948,464482000.0,,464482000.0,0.6482,0.6447,O
2021-12-31 00:00:00,2071386000.0,133605000.0,1946857900.0,96980000.0,324840800.0,247561000.0,392404000.0,31657000.0,360747000.0,359456000.0,0.94,0.9399,0.1568,0.1894,0.1735,-2.2977,1262934700.0,324840800.0,0.8697,,0.8703,,0.8703,360747000.0,,360747000.0,0.6097,0.6383,O
2021-09-30 00:00:00,1805265000.0,117030000.0,1691951000.0,83132000.0,432199200.0,85233000.0,500459000.0,26029000.0,474430000.0,473346000.0,1.26,0.9372,0.2394,0.2772,0.2622,-1.7944,1196990200.0,432199200.0,1.2674,,1.2675,,1.2675,474430000.0,,474430000.0,0.6631,0.7067,O
2021-06-30 00:00:00,1723662000.0,112778000.0,1610884000.0,75833000.0,314211200.0,72628000.0,386839000.0,24542000.0,362297000.0,361254000.0,0.99,0.9346,0.1823,0.2244,0.2096,-1.3701,1047034200.0,314211200.0,0.9891,,0.9891,,0.9891,362297000.0,,362297000.0,0.6074,0.6858,O
2021-03-31 00:00:00,1675000000.0,107496000.0,1567504000.0,73047000.0,305586200.0,58168000.0,363754000.0,18155000.0,345599000.0,344599000.0,0.97,0.9358,0.1824,0.2172,0.2057,-0.9305,1018844200.0,305586200.0,0.9702,,0.9703,,0.9703,345599000.0,,345599000.0,0.6083,0.6667,O
2020-12-31 00:00:00,1647087000.0,104603000.0,1542484000.0,73215000.0,325844200.0,85355000.0,411199000.0,14693000.0,396506000.0,395486000.0,1.15,0.9365,0.1978,0.2497,0.2401,-0.5566,1027376200.0,325844200.0,1.1479,,1.1484,,1.1484,396506000.0,,396506000.0,0.6238,0.6773,O
2020-09-30 00:00:00,1627650000.0,102721000.0,1524929000.0,72871000.0,345610900.0,74227000.0,419838000.0,11929000.0,407909000.0,406852000.0,1.21,0.9369,0.2123,0.2579,0.25,-0.9449,1028741900.0,345610900.0,1.2127,,1.2139,,1.2139,407909000.0,,407909000.0,0.632,0.6765,O
2020-06-30 00:00:00,1597325000.0,97665000.0,1499660000.0,72817000.0,435043900.0,60156000.0,495200000.0,9159000.0,486041000.0,484997000.0,1.46,0.9389,0.2724,0.31,0.3036,-0.8334,1099084900.0,435043900.0,1.4622,,1.4636,,1.4636,486041000.0,,486041000.0,0.6881,0.6848,O
