Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Non-operating Income/Expense,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2020-03-31 00:00:00,1548139000.0,92555000.0,1455584000.0,72339000.0,415508900.0,65358000.0,480867000.0,7476000.0,473391000.0,472367000.0,1.46,0.9402,0.2684,0.3106,0.3051,-1.4322,1060962900.0,415508900.0,1.4543,,1.4558,,1.4558,473391000.0,,473391000.0,0.6853,0.7248,O
2019-12-31 00:00:00,1488163000.0,88585000.0,1399578000.0,66483000.0,407956900.0,35679000.0,443636000.0,6158000.0,437478000.0,436482000.0,1.39,0.9405,0.2741,0.2981,0.2933,-1.625,1022964900.0,407956900.0,1.3837,,1.3852,,1.3852,437478000.0,,437478000.0,0.6874,0.7183,O
2019-09-30 00:00:00,1436638000.0,81064000.0,1355574000.0,84331000.0,377141000.0,22116000.0,399257000.0,6029000.0,393228000.0,392257000.0,1.29,0.9436,0.2625,0.2779,0.273,-0.8422,984829100.0,377141000.0,1.2736,,1.2751,,1.2751,393228000.0,,393228000.0,0.6855,0.716,O
2019-06-30 00:00:00,1400472000.0,76516000.0,1323956000.0,84203000.0,368817000.0,27928000.0,396745000.0,5509000.0,391236000.0,390207000.0,1.31,0.9454,0.2634,0.2833,0.2786,-1.0463,964180100.0,368817000.0,1.2983,,1.3002,,1.3002,391236000.0,,391236000.0,0.6885,0.6806,O
2019-03-31 00:00:00,1363908000.0,71410000.0,1292498000.0,83572000.0,369387000.0,28688000.0,398075000.0,5562000.0,392513000.0,391393000.0,1.34,0.9476,0.2708,0.2919,0.287,-0.5164,948605100.0,369387000.0,1.3306,,1.3328,,1.3328,392513000.0,,392513000.0,0.6955,0.6886,O
2018-12-31 00:00:00,1327838000.0,66326000.0,1261512000.0,84148000.0,345295000.0,24643000.0,369938000.0,5340000.0,364598000.0,363614000.0,1.26,0.95,0.26,0.2786,0.2738,-0.536,918587100.0,345295000.0,1.2575,,1.2597,,1.2597,364598000.0,,364598000.0,0.6918,0.7085,O
2018-09-30 00:00:00,1295914900.0,65246000.0,1230668900.0,65189000.0,305375900.0,42026000.0,347402000.0,7156000.0,340246000.0,339394000.0,1.19,0.9497,0.2356,0.2681,0.2619,-0.6228,857932900.0,305376000.0,1.1844,,1.1862,,1.1862,340246000.0,,340246000.0,0.662,0.7131,O
2018-06-30 00:00:00,1264753900.0,66707000.0,1198046900.0,62738000.0,297490900.0,38532000.0,336023000.0,6987000.0,329036000.0,328335000.0,1.17,0.9473,0.2352,0.2657,0.2596,-0.367,840486900.0,297491000.0,1.1625,,1.1643,,1.1643,329036000.0,,329036000.0,0.6645,0.7047,O
2018-03-31 00:00:00,1236037900.0,66957000.0,1169080900.0,60565000.0,286233900.0,33584000.0,319818000.0,6220000.0,313598000.0,313091000.0,1.13,0.9458,0.2316,0.2587,0.2533,-0.4437,818007900.0,286234000.0,1.1212,,1.123,,1.123,313598000.0,,313598000.0,0.6618,0.7066,O
2017-12-31 00:00:00,1215767900.0,69480000.0,1146287900.0,58446000.0,284463900.0,40898000.0,325362000.0,6044000.0,319318000.0,301514000.0,1.11,0.9429,0.234,0.2676,0.248,-0.3172,805889900.0,284464000.0,1.1655,,1.1677,,1.1677,319318000.0,,319318000.0,0.6629,0.7204,O
2017-09-30 00:00:00,1192958000.0,70239000.0,1122719000.0,56787000.0,329774900.0,24387000.0,354162000.0,3072000.0,351090000.0,326333000.0,1.22,0.9411,0.2764,0.2969,0.2735,-0.6076,839612900.0,329775000.0,1.3127,,1.3156,,1.3156,351090000.0,,351090000.0,0.7038,0.7227,O
2017-06-30 00:00:00,1163212000.0,68650000.0,1094562000.0,55009000.0,318648900.0,24403000.0,343052000.0,2833000.0,340219000.0,308695000.0,1.17,0.941,0.2739,0.2949,0.2654,-0.7712,813577900.0,318649000.0,1.2922,,1.295,,1.295,340219000.0,,340219000.0,0.6994,0.774,O
2017-03-31 00:00:00,1134081000.0,66835000.0,1067246000.0,53213000.0,308150900.0,30222000.0,338373000.0,3345000.0,335028000.0,296604000.0,1.14,0.9411,0.2717,0.2984,0.2615,-0.7642,789563900.0,308151000.0,1.2942,,1.2971,,1.2971,335028000.0,,335028000.0,0.6962,0.7756,O
2016-12-31 00:00:00,1103172000.0,62865000.0,1040307000.0,51966000.0,297759900.0,21979000.0,319739000.0,3262000.0,316477000.0,288491000.0,1.12,0.943,0.2699,0.2898,0.2615,-0.8279,765199900.0,297760000.0,1.2381,,1.2407,,1.2407,316477000.0,,316477000.0,0.6936,0.7251,O
2016-09-30 00:00:00,1078998000.0,58351000.0,1020647000.0,51372000.0,289990000.0,20408000.0,310398000.0,3533000.0,306865000.0,278990000.0,1.1,0.9459,0.2688,0.2877,0.2586,-0.3506,744123000.0,289989900.0,1.2145,,1.2167,,1.2167,306865000.0,,306865000.0,0.6896,0.7413,O
2016-06-30 00:00:00,1060713000.0,56215000.0,1004498000.0,50130000.0,278563000.0,22297000.0,300860000.0,3384000.0,297476000.0,269393000.0,1.09,0.947,0.2626,0.2836,0.254,-0.1637,719902000.0,278562900.0,1.2024,,1.2047,,1.2047,297476000.0,,297476000.0,0.6787,0.6913,O
2016-03-31 00:00:00,1043534000.0,56481000.0,987053000.0,48754000.0,273503000.0,17314000.0,290817000.0,3059000.0,287758000.0,259665000.0,1.08,0.9459,0.2621,0.2787,0.2488,-0.5851,705453000.0,273502900.0,1.1878,,1.19,,1.19,287758000.0,,287758000.0,0.676,0.6823,O
2015-12-31 00:00:00,1023285000.0,55352000.0,967933000.0,49298000.0,265781000.0,22243000.0,288024000.0,3169000.0,284855000.0,256686000.0,1.1,0.9459,0.2597,0.2815,0.2508,-0.5072,686949000.0,265780900.0,1.2059,,1.2082,,1.2082,284855000.0,,284855000.0,0.6713,0.6778,O
2015-09-30 00:00:00,1007190000.0,62852000.0,944338000.0,51919000.0,241558000.0,42112000.0,283670000.0,3550000.0,280120000.0,251534000.0,1.11,0.9376,0.2398,0.2816,0.2497,-0.5565,652933000.0,241558000.0,1.0744,,1.2243,,1.0756,280120000.0,,279823000.0,0.6483,0.6558,O
2015-06-30 00:00:00,984014000.0,62080000.0,921934000.0,52083000.0,242573000.0,46863000.0,289436000.0,3502000.0,285934000.0,248770000.0,1.11,0.9369,0.2465,0.2941,0.2528,-0.6184,643636000.0,242573000.0,1.1193,,1.2688,,1.1201,285934000.0,,285637000.0,0.6541,0.6612,O
2015-03-31 00:00:00,958800000.0,57270000.0,901530000.0,51061000.0,240097000.0,45152000.0,285249000.0,3444000.0,281805000.0,240873000.0,1.08,0.9403,0.2504,0.2975,0.2512,-0.2104,630149000.0,240097000.0,1.0644,,1.265,,1.0646,281805000.0,,281528000.0,0.6572,0.6585,O
2014-12-31 00:00:00,933505000.0,53871000.0,879634000.0,51085000.0,233396000.0,39205000.0,272601000.0,3461000.0,269140000.0,227558000.0,1.04,0.9423,0.25,0.292,0.2438,-0.6498,615460000.0,233396000.0,1.03,0.0677,1.2453,0.0671,1.03,269140000.0,17640000.0,271940000.0,0.6593,0.6724,O
2014-09-30 00:00:00,902094000.0,46533000.0,855561000.0,52023000.0,229286000.0,,243496000.0,2938000.0,240558000.0,210393000.0,0.98,0.9484,0.2542,0.2699,0.2332,-0.6799,604250000.0,229286000.0,0.9073,,1.1972,,0.9069,240558000.0,,258495000.0,0.6698,0.6799,O
2014-06-30 00:00:00,868462000.0,42229000.0,826233000.0,57638000.0,212014000.0,,215249000.0,2810000.0,212439000.0,193541000.0,0.93,0.9514,0.2441,0.2479,0.2229,-1.1425,579628000.0,212014000.0,0.756,0.1023,1.1307,0.1019,0.7553,212439000.0,24336000.0,236775000.0,0.6674,0.6866,O
2014-03-31 00:00:00,826259000.0,39856000.0,786403000.0,58139000.0,203755000.0,,205026000.0,2864000.0,202162000.0,188078000.0,0.93,0.9518,0.2466,0.2481,0.2276,-1.6518,553273000.0,203755000.0,0.7909,0.1255,1.138,0.1252,0.7909,202162000.0,28888000.0,231050000.0,0.6696,0.6981,O
2013-12-31 00:00:00,780209000.0,38851000.0,741358000.0,56881000.0,182963000.0,,182963000.0,2350000.0,180613000.0,203634000.0,1.06,0.9502,0.2345,0.2345,0.261,-1.178,510400000.0,182963000.0,0.7199,0.3424,1.2844,0.3425,0.72,180613000.0,65670000.0,246283000.0,0.6542,0.6651,O
2013-09-30 00:00:00,706040000.0,41665000.0,664375000.0,50703000.0,165499000.0,,165499000.0,1616000.0,163883000.0,178322000.0,1.01,0.941,0.2344,0.2344,0.2526,-1.6937,446544000.0,165499000.0,0.8088,0.3318,1.2733,0.3326,0.81,163883000.0,56790000.0,220673000.0,0.6325,0.6566,O
2013-06-30 00:00:00,621108000.0,34731000.0,586377000.0,43398000.0,153450000.0,,153450000.0,1452000.0,151998000.0,164209000.0,1.0,0.9441,0.2471,0.2471,0.2644,-1.8677,390684000.0,153450000.0,0.7988,0.3281,1.2903,0.3288,0.8,151998000.0,54226000.0,206224000.0,0.629,0.6311,O
2013-03-31 00:00:00,547798000.0,28723000.0,519075000.0,40583000.0,139448000.0,,139448000.0,1233000.0,138215000.0,151202000.0,1.02,0.9476,0.2546,0.2546,0.276,-1.4288,336497000.0,139448000.0,0.7439,0.3448,1.3287,0.3454,0.7444,138215000.0,54900000.0,193115000.0,0.6143,0.6068,O
2012-12-31 00:00:00,484581000.0,21306000.0,463275000.0,38123000.0,142956000.0,,142956000.0,1061000.0,141895000.0,114538000.0,0.86,0.956,0.295,0.295,0.2364,-1.4359,306656000.0,142956000.0,0.73,0.1298,1.1983,0.1299,0.73,141895000.0,17257000.0,159152000.0,0.6328,0.6737,O
