Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2015-06-30 00:00:00,175682000000.0,105383000000.0,70299000000.0,2543000000.0,4604000000.0,18515000000.0,,18515000000.0,6208000000.0,12307000000.0,12202000000.0,6.51,0.4001,0.1054,0.1054,0.0695,-0.0482,38705000000.0,18515000000.0,6.5247,6.5677,6.5677,12307000000.0,12307000000.0,0.2203,0.1407,CVX
2015-03-31 00:00:00,193263000000.0,118680000000.0,74583000000.0,2162000000.0,4511000000.0,26179000000.0,,26179000000.0,8790000000.0,17389000000.0,17296000000.0,9.21,0.3859,0.1355,0.1355,0.0895,-0.047,43253000000.0,26179000000.0,9.1918,9.2566,9.2566,17389000000.0,17389000000.0,0.2238,0.1313,CVX
2014-12-31 00:00:00,211970000000.0,132211000000.0,79759000000.0,1985000000.0,4494000000.0,31202000000.0,,31202000000.0,11892000000.0,19310000000.0,19241000000.0,10.21,0.3763,0.1472,0.1472,0.0908,-0.0185,47995000000.0,31202000000.0,10.1739,10.2494,10.2494,19310000000.0,19310000000.0,0.2264,0.1485,CVX
2014-09-30 00:00:00,222040000000.0,140732000000.0,81308000000.0,2201000000.0,4302000000.0,34016000000.0,,34016000000.0,13220000000.0,20796000000.0,20700000000.0,10.95,0.3662,0.1532,0.1532,0.0932,-0.0087,49571000000.0,34016000000.0,10.916,11.0008,11.0008,20796000000.0,20796000000.0,0.2233,0.1596,CVX
2014-06-30 00:00:00,225864000000.0,144943000000.0,80921000000.0,2394000000.0,4377000000.0,33988000000.0,,33988000000.0,13823000000.0,20165000000.0,20057000000.0,10.56,0.3583,0.1505,0.1505,0.0888,-0.0072,49253000000.0,33988000000.0,10.5377,10.6194,10.6194,20165000000.0,20165000000.0,0.2181,0.1641,CVX
2014-03-31 00:00:00,225295000000.0,145554000000.0,79741000000.0,2029000000.0,4439000000.0,33550000000.0,,33550000000.0,13671000000.0,19879000000.0,19757000000.0,10.36,0.3539,0.1489,0.1489,0.0877,-0.0028,48385000000.0,33550000000.0,10.3368,10.4174,10.4174,19879000000.0,19879000000.0,0.2148,0.1674,CVX
2013-12-31 00:00:00,228848000000.0,147759000000.0,81089000000.0,1861000000.0,4510000000.0,35905000000.0,,35905000000.0,14308000000.0,21597000000.0,21423000000.0,11.18,0.3543,0.1569,0.1569,0.0936,-0.013,50091000000.0,35905000000.0,11.1786,11.266,11.266,21597000000.0,21597000000.0,0.2189,0.1529,CVX
2013-09-30 00:00:00,233242000000.0,149067000000.0,84175000000.0,1492000000.0,4516000000.0,39683000000.0,,39683000000.0,15747000000.0,23936000000.0,23738000000.0,12.31,0.3609,0.1701,0.1701,0.1018,0.002,53788000000.0,39683000000.0,12.3239,12.4246,12.4246,23936000000.0,23936000000.0,0.2306,0.16,CVX
2013-06-30 00:00:00,232783000000.0,148100000000.0,84683000000.0,1408000000.0,4671000000.0,40780000000.0,,40780000000.0,16532000000.0,24248000000.0,24041000000.0,12.43,0.3638,0.1752,0.1752,0.1033,0.0,54597000000.0,40780000000.0,12.4431,12.5423,12.5423,24248000000.0,24248000000.0,0.2345,0.1493,CVX
2013-03-31 00:00:00,238022000000.0,150284000000.0,87738000000.0,1572000000.0,4782000000.0,44546000000.0,,44546000000.0,18470000000.0,26076000000.0,25886000000.0,13.31,0.3686,0.1872,0.1872,0.1088,0.0122,58235000000.0,44546000000.0,13.3277,13.4306,13.4306,26076000000.0,26076000000.0,0.2447,0.1518,CVX
2012-12-31 00:00:00,241909000000.0,153142000000.0,88767000000.0,1728000000.0,4724000000.0,46332000000.0,,46332000000.0,19996000000.0,26336000000.0,26179000000.0,13.41,0.3669,0.1915,0.1915,0.1082,0.0325,59745000000.0,46332000000.0,13.4025,13.5056,13.5056,26336000000.0,26336000000.0,0.247,0.1604,CVX
