Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,237908000000.0,145134000000.0,92774000000.0,713000000.0,4129000000.0,46851000000.0,548000000.0,46851000000.0,12539000000.0,34312000000.0,34167000000.0,17.65,0.39,0.1992,0.1969,0.1436,0.1505,63767000000.0,47399000000.0,17.6555,17.7296,17.7296,34312000000.0,34312000000.0,0.268,0.1957,CVX
2022-06-30 00:00:00,215974000000.0,131246000000.0,84728000000.0,755000000.0,3758000000.0,40097000000.0,594000000.0,40097000000.0,10908000000.0,29189000000.0,29047000000.0,15.03,0.3923,0.1884,0.1857,0.1345,0.1399,57162000000.0,40691000000.0,15.0458,15.1017,15.1017,29189000000.0,29189000000.0,0.2647,0.1846,CVX
2022-03-31 00:00:00,184809000000.0,111875000000.0,72934000000.0,672000000.0,3991000000.0,28516000000.0,650000000.0,28516000000.0,7948000000.0,20568000000.0,20507000000.0,10.66,0.3946,0.1578,0.1543,0.111,0.1341,46459000000.0,29166000000.0,10.6697,10.7004,10.7004,20568000000.0,20568000000.0,0.2514,0.1788,CVX
2021-12-31 00:00:00,162465000000.0,96212000000.0,66253000000.0,549000000.0,4014000000.0,21639000000.0,712000000.0,21639000000.0,5950000000.0,15689000000.0,15625000000.0,8.15,0.4078,0.1376,0.1332,0.0962,0.1301,40276000000.0,22351000000.0,8.1714,8.1884,8.1884,15689000000.0,15689000000.0,0.2479,0.1797,CVX
2021-09-30 00:00:00,139582000000.0,81755000000.0,57827000000.0,724000000.0,3872000000.0,13697000000.0,756000000.0,13697000000.0,3746000000.0,9951000000.0,9905000000.0,5.19,0.4143,0.1035,0.0981,0.071,0.1035,32051000000.0,14453000000.0,5.2082,5.2146,5.2146,9951000000.0,9951000000.0,0.2296,0.1574,CVX
2021-06-30 00:00:00,119323000000.0,70385000000.0,48938000000.0,683000000.0,4047000000.0,5598000000.0,746000000.0,5598000000.0,1971000000.0,3627000000.0,3587000000.0,1.88,0.4101,0.0532,0.0469,0.0301,0.0812,23655000000.0,6344000000.0,1.9123,1.9136,1.9136,3627000000.0,3627000000.0,0.1982,0.1418,CVX
2021-03-31 00:00:00,95220000000.0,57299000000.0,37921000000.0,1465000000.0,4520000000.0,-9421000000.0,733000000.0,-9421000000.0,-1677000000.0,-7744000000.0,-7765000000.0,-4.17,0.3982,-0.0912,-0.0989,-0.0815,0.0264,10818000000.0,-8688000000.0,-4.1636,-4.166,-4.166,-7744000000.0,-7744000000.0,0.1136,0.1056,CVX
2020-12-31 00:00:00,94692000000.0,54987000000.0,39705000000.0,1537000000.0,4213000000.0,-7453000000.0,697000000.0,-7453000000.0,-1892000000.0,-5561000000.0,-5543000000.0,-2.96,0.4193,-0.0713,-0.0787,-0.0585,0.0175,12752000000.0,-6756000000.0,-2.9739,-2.9739,-2.9739,-5561000000.0,-5561000000.0,0.1347,0.1117,CVX
2020-09-30 00:00:00,105796000000.0,60986000000.0,44810000000.0,1442000000.0,4213000000.0,-14901000000.0,676000000.0,-14901000000.0,-3329000000.0,-11572000000.0,-11488000000.0,-6.14,0.4236,-0.1345,-0.1408,-0.1086,0.0277,17226000000.0,-14225000000.0,-6.1648,-6.1863,-6.1863,-11572000000.0,-11572000000.0,0.1628,0.1323,CVX
2020-06-30 00:00:00,117461000000.0,67388000000.0,50073000000.0,1493000000.0,4335000000.0,-10808000000.0,709000000.0,-10808000000.0,-2025000000.0,-8783000000.0,-8701000000.0,-4.64,0.4263,-0.086,-0.092,-0.0741,0.0466,21696000000.0,-10099000000.0,-4.6898,-4.7016,-4.7016,-8783000000.0,-8783000000.0,0.1847,0.1556,CVX
2020-03-31 00:00:00,142817000000.0,80161000000.0,62656000000.0,739000000.0,3842000000.0,5724000000.0,735000000.0,5724000000.0,1940000000.0,3784000000.0,3874000000.0,2.08,0.4387,0.0452,0.0401,0.0271,0.0888,35871000000.0,6459000000.0,2.0307,2.0352,2.0352,3784000000.0,3784000000.0,0.2512,0.1889,CVX
2019-12-31 00:00:00,146516000000.0,84249000000.0,62267000000.0,770000000.0,4143000000.0,5536000000.0,798000000.0,5536000000.0,2691000000.0,2845000000.0,2924000000.0,1.55,0.425,0.0432,0.0378,0.02,0.0901,35552000000.0,6334000000.0,1.5013,1.5117,1.5117,2845000000.0,2845000000.0,0.2426,0.1864,CVX
2019-09-30 00:00:00,152518000000.0,88408000000.0,64110000000.0,748000000.0,4094000000.0,18839000000.0,810000000.0,18839000000.0,5604000000.0,13235000000.0,13264000000.0,7.03,0.4203,0.1288,0.1235,0.087,0.1109,37690000000.0,19649000000.0,6.9594,7.0109,7.0109,13235000000.0,13235000000.0,0.2471,0.202,CVX
2019-06-30 00:00:00,160389000000.0,93407000000.0,66982000000.0,1205000000.0,4158000000.0,20489000000.0,795000000.0,20489000000.0,5778000000.0,14711000000.0,14731000000.0,7.78,0.4176,0.1327,0.1277,0.0918,0.1151,40344000000.0,21284000000.0,7.7125,7.7729,7.7729,14711000000.0,14711000000.0,0.2515,0.203,CVX
2019-03-31 00:00:00,163775000000.0,97632000000.0,66143000000.0,1241000000.0,4099000000.0,19459000000.0,814000000.0,19459000000.0,5616000000.0,13843000000.0,13835000000.0,7.29,0.4039,0.1238,0.1188,0.0845,0.1031,39497000000.0,20273000000.0,7.2414,7.3029,7.3029,13843000000.0,13843000000.0,0.2412,0.187,CVX
2018-12-31 00:00:00,166339000000.0,99445000000.0,66894000000.0,1210000000.0,3838000000.0,20575000000.0,748000000.0,20575000000.0,5715000000.0,14860000000.0,14824000000.0,7.81,0.4022,0.1282,0.1237,0.0891,0.1012,40742000000.0,21323000000.0,7.7639,7.8334,7.8334,14860000000.0,14860000000.0,0.2449,0.1841,CVX
2018-09-30 00:00:00,161603000000.0,98964000000.0,62639000000.0,1316000000.0,4024000000.0,17158000000.0,731000000.0,17158000000.0,2903000000.0,14255000000.0,14205000000.0,7.49,0.3876,0.1107,0.1062,0.0879,0.0874,36791000000.0,17889000000.0,7.4487,7.5166,7.5166,14255000000.0,14255000000.0,0.2277,0.1705,CVX
2018-06-30 00:00:00,153821000000.0,95013000000.0,58808000000.0,930000000.0,4113000000.0,14117000000.0,584000000.0,14117000000.0,1932000000.0,12185000000.0,12110000000.0,6.39,0.3823,0.0956,0.0918,0.0787,0.0676,33332000000.0,14701000000.0,6.3809,6.4376,6.4376,12185000000.0,12185000000.0,0.2167,0.1527,CVX
2018-03-31 00:00:00,146065000000.0,90296000000.0,55769000000.0,878000000.0,4023000000.0,11165000000.0,415000000.0,11165000000.0,936000000.0,10229000000.0,10151000000.0,5.37,0.3818,0.0793,0.0764,0.0695,0.0583,31024000000.0,11580000000.0,5.372,5.4163,5.4163,10229000000.0,10229000000.0,0.2124,0.1479,CVX
2017-12-31 00:00:00,141722000000.0,88096000000.0,53626000000.0,864000000.0,4110000000.0,9221000000.0,307000000.0,9221000000.0,-48000000.0,9269000000.0,9195000000.0,4.88,0.3784,0.0672,0.0651,0.0649,0.0489,28877000000.0,9528000000.0,4.8835,4.9225,4.9225,9269000000.0,9269000000.0,0.2038,0.1435,CVX
2017-09-30 00:00:00,135603000000.0,83601000000.0,52002000000.0,699000000.0,4009000000.0,8252000000.0,192000000.0,8252000000.0,1663000000.0,6589000000.0,6499000000.0,3.45,0.3835,0.0623,0.0609,0.0479,0.0308,27261000000.0,8444000000.0,3.4846,3.5056,3.5056,6589000000.0,6589000000.0,0.201,0.1324,CVX
2017-06-30 00:00:00,129538000000.0,80416000000.0,49122000000.0,718000000.0,4011000000.0,6703000000.0,221000000.0,6703000000.0,799000000.0,5904000000.0,5830000000.0,3.1,0.3792,0.0535,0.0517,0.045,0.0243,24762000000.0,6924000000.0,3.1279,3.1451,3.1451,5904000000.0,5904000000.0,0.1912,0.1371,CVX
2017-03-31 00:00:00,124340000000.0,77277000000.0,47063000000.0,807000000.0,4117000000.0,2680000000.0,252000000.0,2680000000.0,-295000000.0,2975000000.0,2910000000.0,1.55,0.3785,0.0236,0.0216,0.0234,-0.0043,22180000000.0,2932000000.0,1.572,1.5842,1.5842,2975000000.0,2975000000.0,0.1784,0.1233,CVX
2016-12-31 00:00:00,114472000000.0,70989000000.0,43483000000.0,1033000000.0,4305000000.0,-2160000000.0,205000000.0,-2160000000.0,-1729000000.0,-431000000.0,-497000000.0,-0.27,0.3799,-0.0171,-0.0189,-0.0043,-0.0473,17498000000.0,-1959000000.0,-0.2301,-0.23,-0.23,-431000000.0,-431000000.0,0.1529,0.1109,CVX
2016-09-30 00:00:00,112222000000.0,68570000000.0,43652000000.0,2200000000.0,4443000000.0,-4882000000.0,156000000.0,-4882000000.0,-3458000000.0,-1424000000.0,-1500000000.0,-0.8,0.389,-0.0422,-0.0435,-0.0134,-0.0714,15915000000.0,-4739000000.0,-0.7649,-0.7631,-0.7631,-1424000000.0,-1424000000.0,0.1418,0.1207,CVX
2016-06-30 00:00:00,116397000000.0,70096000000.0,46301000000.0,2257000000.0,4360000000.0,-3207000000.0,109000000.0,-3207000000.0,-2539000000.0,-668000000.0,-746000000.0,-0.39,0.3978,-0.0269,-0.0276,-0.0064,-0.092,17664000000.0,-3128000000.0,-0.3571,-0.3566,-0.3566,-668000000.0,-668000000.0,0.1518,0.1167,CVX
2016-03-31 00:00:00,127472000000.0,75559000000.0,51913000000.0,3118000000.0,4497000000.0,226000000.0,,226000000.0,-1177000000.0,1403000000.0,1295000000.0,0.69,0.4073,0.0018,0.0018,0.0102,-0.0721,21255000000.0,226000000.0,0.7484,0.7505,0.7505,1403000000.0,1403000000.0,0.1667,0.1434,CVX
2015-12-31 00:00:00,138477000000.0,81781000000.0,56696000000.0,3340000000.0,4443000000.0,4842000000.0,,4842000000.0,132000000.0,4710000000.0,4587000000.0,2.46,0.4094,0.035,0.035,0.0331,-0.0726,25879000000.0,4842000000.0,2.5121,2.5215,2.5215,4710000000.0,4710000000.0,0.1869,0.1405,CVX
2015-09-30 00:00:00,155318000000.0,91736000000.0,63582000000.0,2492000000.0,4508000000.0,12436000000.0,,12436000000.0,3699000000.0,8737000000.0,8646000000.0,4.63,0.4094,0.0801,0.0801,0.0557,-0.0665,32946000000.0,12436000000.0,4.6562,4.677,4.677,8737000000.0,8737000000.0,0.2121,0.1378,CVX
