Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,55467000000.0,3418000000.0,52025000000.0,31944000000.0,16179000000.0,16179000000.0,3550000000.0,12629000000.0,12019000000.0,6.89,0.9379,0.2917,0.2917,0.2167,0.4305,20207000000.0,16179000000.0,7.2371,,7.3438,,7.3438,12629000000.0,,12629000000.0,0.3643,0.4839,MS
2022-06-30 00:00:00,57193000000.0,3396000000.0,53814000000.0,32072000000.0,17665000000.0,17665000000.0,3974000000.0,13691000000.0,13109000000.0,7.4,0.9409,0.3089,0.3089,0.2292,0.7581,21800000000.0,17665000000.0,7.7236,,7.8446,,7.8446,13691000000.0,,13691000000.0,0.3812,0.8056,MS
2022-03-31 00:00:00,58828000000.0,3313000000.0,55524000000.0,32752000000.0,18912000000.0,18912000000.0,4245000000.0,14667000000.0,14126000000.0,7.89,0.9438,0.3215,0.3215,0.2401,0.6508,23183000000.0,18912000000.0,8.1594,,8.2924,,8.2924,14667000000.0,,14667000000.0,0.3941,0.6922,MS
2021-12-31 00:00:00,59747000000.0,3341000000.0,56414000000.0,33048000000.0,19668000000.0,19668000000.0,4548000000.0,15120000000.0,14566000000.0,8.09,0.9442,0.3292,0.3292,0.2438,0.6841,23884000000.0,19668000000.0,8.3352,,8.4707,,8.4707,15120000000.0,,15120000000.0,0.3998,0.7227,MS
2021-09-30 00:00:00,58835000000.0,3306000000.0,55522000000.0,32658000000.0,19214000000.0,19214000000.0,4398000000.0,14816000000.0,14240000000.0,7.92,0.9437,0.3266,0.3266,0.242,0.3193,23599000000.0,19214000000.0,8.1725,,8.2942,,8.2942,14816000000.0,,14816000000.0,0.4011,0.3566,MS
2021-06-30 00:00:00,55796000000.0,3178000000.0,52618000000.0,31338000000.0,17827000000.0,17827000000.0,3984000000.0,13843000000.0,13253000000.0,7.62,0.943,0.3195,0.3195,0.2375,-0.0442,22030000000.0,17827000000.0,7.874,,7.9872,,7.9872,13843000000.0,,13843000000.0,0.3948,-0.0137,MS
2021-03-31 00:00:00,54697000000.0,3099000000.0,51598000000.0,30431000000.0,17616000000.0,17616000000.0,4049000000.0,13567000000.0,12892000000.0,7.72,0.9433,0.3221,0.3221,0.2357,-0.4352,21448000000.0,17616000000.0,8.0447,,8.151,,8.151,13567000000.0,,13567000000.0,0.3921,-0.4057,MS
2020-12-31 00:00:00,48757000000.0,2929000000.0,45828000000.0,27517000000.0,14418000000.0,14418000000.0,3239000000.0,11179000000.0,10500000000.0,6.52,0.9399,0.2957,0.2957,0.2154,-0.5471,18187000000.0,14418000000.0,6.8837,,6.9737,,6.9737,11179000000.0,,11179000000.0,0.373,-0.5175,MS
2020-09-30 00:00:00,46136000000.0,2786000000.0,43350000000.0,26999000000.0,12721000000.0,12721000000.0,2649000000.0,10072000000.0,9319000000.0,6.01,0.9396,0.2757,0.2757,0.202,-0.0271,15740000000.0,12721000000.0,6.407,,6.4952,,6.4952,10072000000.0,,10072000000.0,0.3412,0.0005,MS
2020-06-30 00:00:00,44447000000.0,2726000000.0,41721000000.0,26329000000.0,11944000000.0,11944000000.0,2405000000.0,9539000000.0,8782000000.0,5.61,0.9387,0.2687,0.2687,0.1976,0.4191,14764000000.0,11944000000.0,6.0135,,6.094,,6.094,9539000000.0,,9539000000.0,0.3322,0.4551,MS
2020-03-31 00:00:00,41031000000.0,2640000000.0,38391000000.0,24863000000.0,10492000000.0,10492000000.0,1943000000.0,8549000000.0,7766000000.0,4.87,0.9357,0.2557,0.2557,0.1893,1.1191,13301000000.0,10492000000.0,5.2922,,5.3686,,5.3686,8549000000.0,,8549000000.0,0.3242,1.1593,MS
2019-12-31 00:00:00,41538000000.0,2493000000.0,39045000000.0,25256000000.0,11301000000.0,11301000000.0,2064000000.0,9237000000.0,8512000000.0,5.26,0.94,0.2721,0.2721,0.2049,0.9376,13944000000.0,11301000000.0,5.6323,,5.7124,,5.7124,9237000000.0,-2000000.0,9237000000.0,0.3357,0.9816,MS
2019-09-30 00:00:00,39110000000.0,2458000000.0,36652000000.0,23830000000.0,10425000000.0,10425000000.0,1936000000.0,8489000000.0,7788000000.0,4.74,0.9372,0.2666,0.2666,0.1991,0.8122,12881000000.0,10425000000.0,5.1171,,5.189,,5.1884,8489000000.0,,8490000000.0,0.3294,0.8624,MS
2019-06-30 00:00:00,38950000000.0,2380000000.0,36570000000.0,23701000000.0,10566000000.0,10566000000.0,2140000000.0,8426000000.0,7747000000.0,4.65,0.9389,0.2713,0.2713,0.1989,0.8471,12836000000.0,10566000000.0,5.0017,,5.0755,,5.0755,8426000000.0,,8426000000.0,0.3296,0.8975,MS
2019-03-31 00:00:00,39316000000.0,2359000000.0,36957000000.0,23802000000.0,10772000000.0,10772000000.0,2123000000.0,8649000000.0,7983000000.0,4.73,0.94,0.274,0.274,0.203,0.2471,12884000000.0,10772000000.0,5.0571,,5.1353,,5.1365,8649000000.0,,8647000000.0,0.3277,0.2975,MS
2018-12-31 00:00:00,40107000000.0,2393000000.0,37714000000.0,23995000000.0,11237000000.0,11237000000.0,2350000000.0,8887000000.0,8222000000.0,4.8,0.9403,0.2802,0.2802,0.205,0.1356,13081000000.0,11237000000.0,5.1134,-0.0022,5.2008,-0.0023,5.2032,8887000000.0,-4000000.0,8883000000.0,0.3262,0.1821,MS
2018-09-30 00:00:00,41059000000.0,2332000000.0,38727000000.0,24322000000.0,11851000000.0,11851000000.0,3860000000.0,7991000000.0,7334000000.0,4.28,0.9432,0.2886,0.2886,0.1786,0.4071,13639000000.0,11851000000.0,4.4583,-0.0034,4.6469,-0.0035,4.5406,7991000000.0,-3000000.0,7988000000.0,0.3322,0.4513,MS
2018-06-30 00:00:00,40384000000.0,2295000000.0,38089000000.0,24046000000.0,11482000000.0,11482000000.0,3861000000.0,7621000000.0,7003000000.0,4.04,0.9432,0.2843,0.2843,0.1734,0.1921,13253000000.0,11482000000.0,4.1405,0.0005,4.386,0.0005,4.2207,7621000000.0,4000000.0,7625000000.0,0.3282,0.237,MS
2018-03-31 00:00:00,39277000000.0,2211000000.0,37066000000.0,23558000000.0,11015000000.0,11015000000.0,4067000000.0,6948000000.0,6323000000.0,3.61,0.9437,0.2804,0.2804,0.161,0.162,12724000000.0,11015000000.0,3.598,-0.0011,3.9517,-0.0011,3.6752,6948000000.0,1000000.0,6949000000.0,0.324,0.205,MS
2017-12-31 00:00:00,37945000000.0,2093000000.0,35852000000.0,23064000000.0,10403000000.0,10403000000.0,4168000000.0,6235000000.0,5588000000.0,3.15,0.9448,0.2742,0.2742,0.1473,-0.1617,12156000000.0,10403000000.0,3.08,-0.01,3.4921,-0.01,3.15,6235000000.0,-19000000.0,6216000000.0,0.3204,-0.1187,MS
2017-09-30 00:00:00,37466000000.0,2036000000.0,35430000000.0,22839000000.0,10178000000.0,10178000000.0,2924000000.0,7254000000.0,6625000000.0,3.7,0.9457,0.2717,0.2717,0.1768,-0.3348,11897000000.0,10178000000.0,3.63,-0.0152,4.0255,-0.0073,3.7,7254000000.0,-13000000.0,7233000000.0,0.3175,-0.2944,MS
2017-06-30 00:00:00,37178000000.0,2005000000.0,35173000000.0,22730000000.0,10077000000.0,10077000000.0,2976000000.0,7101000000.0,6455000000.0,3.58,0.9461,0.271,0.271,0.1736,-0.7111,11823000000.0,10077000000.0,3.5,-0.0085,3.9094,-0.0007,3.57,7101000000.0,-23000000.0,7082000000.0,0.318,-0.6747,MS
2017-03-31 00:00:00,36584000000.0,1964000000.0,34620000000.0,22470000000.0,9918000000.0,9918000000.0,2963000000.0,6955000000.0,6293000000.0,3.45,0.9463,0.2711,0.2711,0.172,-0.0004,11673000000.0,9918000000.0,3.38,-0.0079,3.7915,-0.0079,3.45,6955000000.0,-21000000.0,6937000000.0,0.3191,0.0354,MS
2016-12-31 00:00:00,34631000000.0,1920000000.0,32711000000.0,21688000000.0,8848000000.0,8848000000.0,2726000000.0,6122000000.0,5508000000.0,2.99,0.9446,0.2555,0.2555,0.159,0.1186,10584000000.0,8848000000.0,2.92,0.0005,3.3115,0.0005,2.98,6122000000.0,,6123000000.0,0.3056,0.1554,MS
2016-09-30 00:00:00,33348000000.0,1897000000.0,31451000000.0,21384000000.0,8041000000.0,8041000000.0,2656000000.0,5385000000.0,4751000000.0,2.55,0.9431,0.2411,0.2411,0.1425,0.3003,9808000000.0,8041000000.0,2.5,0.0009,2.8928,0.0005,2.56,5385000000.0,-6000000.0,5379000000.0,0.2941,0.3408,MS
2016-06-30 00:00:00,32206000000.0,1891000000.0,30315000000.0,20832000000.0,7134000000.0,7134000000.0,2330000000.0,4804000000.0,4172000000.0,2.21,0.9413,0.2215,0.2215,0.1295,0.5868,8792000000.0,7134000000.0,2.18,-0.0101,2.5514,-0.0106,2.23,4804000000.0,-16000000.0,4788000000.0,0.273,0.6303,MS
2016-03-31 00:00:00,33040000000.0,1894000000.0,31146000000.0,21329000000.0,7378000000.0,7378000000.0,2391000000.0,4987000000.0,4412000000.0,2.32,0.9427,0.2233,0.2233,0.1335,0.3451,8905000000.0,7378000000.0,2.28,-0.009,2.6234,-0.0016,2.33,4987000000.0,-14000000.0,4973000000.0,0.2695,0.3865,MS
2015-12-31 00:00:00,35155000000.0,1892000000.0,33263000000.0,22144000000.0,8495000000.0,8495000000.0,2200000000.0,6295000000.0,5671000000.0,2.96,0.9462,0.2416,0.2416,0.1613,-0.166,9928000000.0,8495000000.0,2.91,-0.0099,3.2891,-0.01,2.98,6295000000.0,-16000000.0,6279000000.0,0.2824,-0.127,MS
