Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2015-09-30 00:00:00,35181000000.0,1903000000.0,33278000000.0,23516000000.0,4125000000.0,4125000000.0,351000000.0,3774000000.0,3172000000.0,3.04,0.9459,0.1173,0.1173,0.0902,-0.4545,5561000000.0,4125000000.0,1.63,-0.0115,1.9626,-0.019,1.68,3774000000.0,-17000000.0,3757000000.0,0.1581,-0.4141,MS
2015-06-30 00:00:00,36321000000.0,1855000000.0,34466000000.0,24199000000.0,4871000000.0,4871000000.0,391000000.0,4480000000.0,3862000000.0,3.41,0.9489,0.1341,0.1341,0.1063,-0.3963,6074000000.0,4871000000.0,1.98,-0.013,2.3228,-0.0205,2.04,4480000000.0,-20000000.0,4460000000.0,0.1672,-0.3633,MS
2015-03-31 00:00:00,35186000000.0,1826000000.0,33360000000.0,23893000000.0,4076000000.0,4076000000.0,-488000000.0,4564000000.0,4017000000.0,3.5,0.9481,0.1158,0.1158,0.1142,-0.5134,5232000000.0,4076000000.0,2.05,-0.0125,2.3629,-0.02,2.11,4564000000.0,-18000000.0,4546000000.0,0.1487,-0.476,MS
2014-12-31 00:00:00,34275000000.0,1806000000.0,32469000000.0,23667000000.0,3591000000.0,3591000000.0,-90000000.0,3681000000.0,3152000000.0,3.05,0.9473,0.1048,0.1048,0.092,0.0027,4752000000.0,3591000000.0,1.61,0.0,1.906,-0.02,1.65,3681000000.0,-14000000.0,3667000000.0,0.1386,0.0317,MS
2014-09-30 00:00:00,34383000000.0,1749000000.0,32634000000.0,22550000000.0,6336000000.0,6336000000.0,895000000.0,5441000000.0,4934000000.0,2.64,0.9491,0.1843,0.1843,0.1435,0.7264,7511000000.0,6336000000.0,2.51,-0.013,2.8193,-0.0031,2.57,5441000000.0,-15000000.0,5426000000.0,0.2185,0.7527,MS
2014-06-30 00:00:00,33432000000.0,1728000000.0,31704000000.0,22251000000.0,5481000000.0,5481000000.0,795000000.0,4686000000.0,4185000000.0,2.24,0.9483,0.1639,0.1639,0.1252,0.6368,6888000000.0,5481000000.0,2.12,,2.4414,,2.17,4686000000.0,6000000.0,4692000000.0,0.206,0.671,MS
2014-03-31 00:00:00,33339000000.0,1726000000.0,31613000000.0,22154000000.0,5345000000.0,5345000000.0,1354000000.0,3991000000.0,3168000000.0,1.69,0.9482,0.1603,0.1603,0.095,1.0271,6822000000.0,5345000000.0,1.63,-0.0205,2.0715,-0.0205,1.67,3991000000.0,-25000000.0,3966000000.0,0.2046,1.0587,MS
2013-12-31 00:00:00,32493000000.0,1711000000.0,30782000000.0,22076000000.0,4558000000.0,4558000000.0,902000000.0,3656000000.0,2655000000.0,1.44,0.9473,0.1403,0.1403,0.0817,1.0369,6069000000.0,4558000000.0,1.38,,1.8958,-0.03,1.42,3656000000.0,-43000000.0,3613000000.0,0.1868,1.0774,MS
2013-09-30 00:00:00,31653000000.0,1668000000.0,29985000000.0,21733000000.0,5684000000.0,5684000000.0,1356000000.0,4328000000.0,3191000000.0,1.62,0.9473,0.1796,0.1796,0.1008,0.5504,7131000000.0,5684000000.0,1.7,-0.0611,2.2215,-0.0711,1.73,4328000000.0,-100000000.0,4228000000.0,0.2253,0.5944,MS
2013-06-30 00:00:00,28977000000.0,1611000000.0,27366000000.0,21811000000.0,2836000000.0,2836000000.0,468000000.0,2368000000.0,1264000000.0,0.61,0.9444,0.0979,0.0979,0.0436,0.8364,4340000000.0,2836000000.0,0.71,-0.07,1.1823,-0.08,0.73,2368000000.0,-114000000.0,2254000000.0,0.1498,0.8867,MS
2013-03-31 00:00:00,27404000000.0,1560000000.0,25844000000.0,21371000000.0,1977000000.0,1977000000.0,118000000.0,1859000000.0,1025000000.0,0.5,0.9431,0.0721,0.0721,0.0374,0.7258,3543000000.0,1977000000.0,0.56,-0.04,0.9558,-0.04,0.57,1859000000.0,-46000000.0,1813000000.0,0.1293,0.7756,MS
2012-12-31 00:00:00,26178000000.0,1535000000.0,24643000000.0,21593000000.0,596000000.0,596000000.0,-161000000.0,757000000.0,-30000000.0,-0.06,0.9414,0.0228,0.0228,-0.0011,0.8957,2177000000.0,596000000.0,0.02,-0.04,0.3797,-0.04,0.02,757000000.0,-41000000.0,716000000.0,0.0832,0.9458,MS
