Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,Investment Gain/Loss (Other),EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2016-06-30 00:00:00,10576000000.0,5292000000.0,5284000000.0,54000000.0,1222000000.0,-10739000000.0,257000000.0,,,198000000.0,-10739000000.0,-1934000000.0,-8805000000.0,-7848000000.0,-10.28,0.4996,-0.9809,-1.0154,-0.7421,0.033,-5803000000.0,-10374000000.0,-11.24,0.9852,-10.2522,0.9852,-11.24,-8607000000.0,759000000.0,-7848000000.0,-0.5487,0.3596,OXY
2016-03-31 00:00:00,11514000000.0,5528000000.0,5986000000.0,37000000.0,1231000000.0,-10010000000.0,177000000.0,,,205000000.0,-10010000000.0,-1514000000.0,-8496000000.0,-7533000000.0,-9.87,0.5199,-0.8447,-0.8694,-0.6542,-0.0664,-5109000000.0,-9726000000.0,-10.83,0.9839,-9.8406,0.9839,-10.83,-8291000000.0,758000000.0,-7533000000.0,-0.4437,0.3022,OXY
2015-12-31 00:00:00,12480000000.0,5804000000.0,6676000000.0,36000000.0,1270000000.0,-9684000000.0,147000000.0,,,208000000.0,-9684000000.0,-1330000000.0,-8354000000.0,-7829000000.0,-10.25,0.5349,-0.7547,-0.776,-0.6273,-0.1539,-4875000000.0,-9419000000.0,-10.64,0.41,-10.2261,0.41,-10.64,-8146000000.0,317000000.0,-7829000000.0,-0.3906,0.2685,OXY
2015-09-30 00:00:00,13981000000.0,5206000000.0,8775000000.0,82000000.0,1352000000.0,-7066000000.0,105000000.0,,,242000000.0,-7066000000.0,-757000000.0,-6309000000.0,-6058000000.0,-7.88,0.6276,-0.49,-0.5054,-0.4333,-0.1367,-2379000000.0,-6851000000.0,-7.82,0.0109,-7.8145,0.0109,-7.83,-6067000000.0,9000000.0,-6058000000.0,-0.1702,0.3757,OXY
2015-06-30 00:00:00,15769000000.0,5529000000.0,10240000000.0,105000000.0,1415000000.0,-2351000000.0,73000000.0,,,275000000.0,-2351000000.0,387000000.0,-2738000000.0,-2244000000.0,-2.91,0.6494,-0.1375,-0.1491,-0.1423,-0.0762,2237000000.0,-2168000000.0,-3.13,0.2909,-2.8386,0.2909,-3.14,-2463000000.0,225000000.0,-2238000000.0,0.1419,0.4357,OXY
2015-03-31 00:00:00,17433000000.0,5740000000.0,11693000000.0,134000000.0,1497000000.0,-910000000.0,85000000.0,,,300000000.0,-910000000.0,872000000.0,-1782000000.0,-992000000.0,-1.31,0.6707,-0.0398,-0.0522,-0.0569,0.0069,3619000000.0,-694000000.0,-1.89,0.6461,-1.2358,0.6461,-1.89,-1482000000.0,502000000.0,-980000000.0,0.2076,0.5124,OXY
2014-12-31 00:00:00,19312000000.0,6803000000.0,12509000000.0,150000000.0,1503000000.0,1224000000.0,77000000.0,,,331000000.0,1224000000.0,1685000000.0,-461000000.0,616000000.0,0.72,0.6477,0.0741,0.0634,0.0319,0.1107,5692000000.0,1431000000.0,-0.18,0.97,0.8066,0.97,-0.18,-130000000.0,760000000.0,630000000.0,0.2947,0.5731,OXY
2014-09-30 00:00:00,16892000000.0,3013000000.0,13879000000.0,35000000.0,1298000000.0,6338000000.0,97000000.0,,,350000000.0,6338000000.0,2734000000.0,3604000000.0,5653000000.0,7.17,0.8216,0.3884,0.3752,0.3347,0.2622,9925000000.0,6561000000.0,5.0,2.1662,7.1979,2.18,5.0,3954000000.0,1726000000.0,5680000000.0,0.5876,0.6627,OXY
2014-06-30 00:00:00,18437000000.0,4491000000.0,13946000000.0,75000000.0,1402000000.0,7253000000.0,110000000.0,,,363000000.0,7253000000.0,3072000000.0,4181000000.0,6031000000.0,7.58,0.7564,0.4059,0.3934,0.3271,0.2775,11126000000.0,7484000000.0,5.69,1.8862,7.6063,1.9,5.69,4544000000.0,1508000000.0,6052000000.0,0.6035,0.6572,OXY
2014-03-31 00:00:00,19266000000.0,5980000000.0,13286000000.0,114000000.0,1468000000.0,7508000000.0,120000000.0,,,366000000.0,7508000000.0,3164000000.0,4344000000.0,5925000000.0,7.39,0.6896,0.4012,0.3897,0.3075,0.2949,11651000000.0,7730000000.0,5.86,1.53,7.4163,1.54,5.86,4710000000.0,1230000000.0,5940000000.0,0.6047,0.6625,OXY
2013-12-31 00:00:00,20170000000.0,6497000000.0,13673000000.0,140000000.0,1544000000.0,7751000000.0,132000000.0,,,395000000.0,7751000000.0,3214000000.0,4537000000.0,5890000000.0,7.32,0.6779,0.3961,0.3843,0.292,0.2688,12193000000.0,7990000000.0,6.12,1.2,7.3411,1.21,6.12,4932000000.0,971000000.0,5903000000.0,0.6045,0.6335,OXY
2013-09-30 00:00:00,20382000000.0,6875000000.0,13507000000.0,130000000.0,1550000000.0,7690000000.0,219000000.0,,,358000000.0,6046000000.0,2572000000.0,3474000000.0,4604000000.0,5.7,0.6627,0.3931,0.2966,0.2259,0.2883,12174000000.0,8013000000.0,4.76,0.94,5.7134,0.9362,4.77,3832000000.0,764000000.0,4596000000.0,0.5973,0.6175,OXY
2013-06-30 00:00:00,19898000000.0,6837000000.0,13061000000.0,131000000.0,1485000000.0,7351000000.0,218000000.0,,,342000000.0,5671000000.0,2390000000.0,3281000000.0,4393000000.0,5.43,0.6564,0.3842,0.285,0.2208,0.228,11620000000.0,7645000000.0,4.49,0.94,5.4454,0.9362,4.5,3623000000.0,765000000.0,4388000000.0,0.584,0.5813,OXY
2013-03-31 00:00:00,19704000000.0,6717000000.0,12987000000.0,149000000.0,1325000000.0,7315000000.0,219000000.0,,,357000000.0,5635000000.0,2364000000.0,3271000000.0,4397000000.0,5.43,0.6591,0.3859,0.286,0.2232,0.1885,11362000000.0,7603000000.0,4.49,0.9413,5.4419,0.9413,4.49,3628000000.0,766000000.0,4394000000.0,0.5766,0.5707,OXY
2012-12-31 00:00:00,20100000000.0,6530000000.0,13570000000.0,197000000.0,1366000000.0,7835000000.0,210000000.0,,,363000000.0,6125000000.0,2659000000.0,3466000000.0,4598000000.0,5.67,0.6751,0.4014,0.3047,0.2288,0.1704,11654000000.0,8069000000.0,4.72,0.9501,5.6815,0.9501,4.72,3829000000.0,769000000.0,4598000000.0,0.5798,0.5621,OXY
