Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Non-operating Income/Expense,Non-operating Interest Expenses,Income (Other),EBT,Income after Tax,Share of Subsidiary Earnings,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,4023000000.0,1030105000.0,2987832200.0,103659000.0,2017276100.0,-24809000.0,103859000.0,280967000.0,4577000000.0,4045543000.0,250840000.0,4321000000.0,24.6,0.7427,0.5014,1.1377,1.0741,0.5924,2884173100.0,2017276000.0,25.9453,,26.1001,,26.1001,4573359100.0,,4556000000.0,0.7169,0.779,PSA
2022-06-30 00:00:00,3824000000.0,989797000.0,2834940200.0,105840000.0,1894423100.0,-46189000.0,119595000.0,220479000.0,2264000000.0,1794827000.0,275520000.0,2032000000.0,11.74,0.7414,0.4954,0.5921,0.5314,0.5719,2729100100.0,1894423000.0,12.9861,,13.0611,,13.0611,2286835100.0,,2250000000.0,0.7137,0.7537,PSA
2022-03-31 00:00:00,3621315000.0,953184000.0,2668823100.0,104749000.0,1775377000.0,-66070000.0,108648000.0,106049000.0,1995380000.0,1679561900.0,256061000.0,1775249000.0,10.3,0.737,0.4903,0.551,0.4902,0.5718,2564074000.0,1775376900.0,11.6058,,11.6674,,11.6674,2041672000.0,,2004730000.0,0.7081,0.746,PSA
2021-12-31 00:00:00,3415577000.0,920598000.0,2495226100.0,101254000.0,1680544000.0,-78468000.0,90774000.0,125470000.0,1836388000.0,1602075900.0,232093000.0,1697059000.0,9.88,0.7305,0.492,0.5377,0.4969,0.5862,2393972000.0,1680543900.0,11.1617,,11.207,,11.207,1959639000.0,,1922992000.0,0.7009,0.7478,PSA
2021-09-30 00:00:00,3240113200.0,869895000.0,2370149200.0,108961000.0,1611643200.0,-62547000.0,75215000.0,37949000.0,1607513100.0,1549096100.0,99016000.0,1447224900.0,8.38,0.7315,0.4974,0.4961,0.4467,0.5749,2261188200.0,1611643100.0,9.6424,,9.6718,,9.6718,1690052100.0,,1670424100.0,0.6979,0.7183,PSA
2021-06-30 00:00:00,3079658200.0,857514000.0,2222144200.0,95541000.0,1527277200.0,-49257000.0,65761000.0,-45136000.0,1478020100.0,1478020100.0,87396000.0,1271140900.0,7.27,0.7216,0.4959,0.4799,0.4128,0.5762,2126603200.0,1527277100.0,8.712,,8.7286,,8.7286,1524271100.0,,1524271100.0,0.6905,0.705,PSA
2021-03-31 00:00:00,2963286200.0,871217000.0,2092069200.0,84905000.0,1442948200.0,-38856000.0,57912000.0,-51724000.0,1404092100.0,1404092100.0,75985000.0,1171010900.0,6.7,0.706,0.4869,0.4738,0.3952,0.5862,2007164200.0,1442948100.0,8.1756,,8.1834,,8.1834,1428353100.0,,1428353100.0,0.6773,0.705,PSA
2020-12-31 00:00:00,2915068200.0,867462000.0,2047606200.0,83199000.0,1411150200.0,-33960000.0,56283000.0,-96460000.0,1377190100.0,1377190100.0,80497000.0,1098334900.0,6.29,0.7024,0.4841,0.4724,0.3768,0.5775,1964407200.0,1411150100.0,7.7943,,7.801,,7.801,1361227100.0,,1361227100.0,0.6739,0.7008,PSA
2020-09-30 00:00:00,2892316000.0,870263000.0,2022053000.0,63705000.0,1411611900.0,-31048000.0,54695000.0,-61451000.0,1380563800.0,1380563800.0,76779000.0,1133419900.0,6.5,0.6991,0.4881,0.4773,0.3919,0.5697,1958347900.0,1411611800.0,7.9948,,8.0017,,8.0017,1395891800.0,,1395892000.0,0.6771,0.702,PSA
2020-06-30 00:00:00,2887107000.0,858172000.0,2028935000.0,62351000.0,1428947900.0,-30090000.0,53010000.0,-3977000.0,1398857800.0,1398857800.0,74584000.0,1223865900.0,7.03,0.7028,0.4949,0.4845,0.4239,0.5581,1966583900.0,1428947800.0,8.4163,,8.4255,,8.4255,1469464800.0,,1469465000.0,0.6812,0.7116,PSA
