Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Share of Subsidiary Earnings,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2017-12-31 00:00:00,1848378000.0,666251000.0,1182127000.0,88772000.0,384282000.0,26118000.0,307716000.0,410400000.0,-1333000.0,411733000.0,10901000.0,413013000.0,0.87,0.6395,0.2079,0.222,0.2234,0.6639,947835000.0,384282000.0,0.9013,,0.9016,,0.9016,422634000.0,,422634000.0,0.5128,0.4583,PEAK
2017-09-30 00:00:00,1945063900.0,663230000.0,1281833900.0,87887000.0,560853000.0,-31971000.0,338982000.0,528882000.0,-11258000.0,540140000.0,19959000.0,530358000.0,1.12,0.659,0.2883,0.2719,0.2727,0.9334,1136161000.0,560853000.0,1.1718,,1.1569,,1.1862,560099000.0,,541858000.0,0.5841,0.4387,PEAK
2017-06-30 00:00:00,2021597900.0,695606000.0,1325991900.0,99145000.0,606079000.0,-17479000.0,385514000.0,588600000.0,-6201000.0,594801000.0,16844000.0,689070000.0,1.46,0.6559,0.2998,0.2912,0.3409,0.9853,1201300000.0,606079000.0,1.274,,1.4985,,1.2884,611645000.0,,701617000.0,0.5942,0.4842,PEAK
2017-03-31 00:00:00,2101004900.0,721523000.0,1379481900.0,100638000.0,705634000.0,60447000.0,429059000.0,766081000.0,-5393000.0,771474000.0,15537000.0,971162000.0,2.07,0.6566,0.3359,0.3646,0.4622,1.0578,1313760000.0,705634000.0,1.6469,,2.1039,,1.6612,787011000.0,,984358000.0,0.6253,0.542,PEAK
2016-12-31 00:00:00,2129293900.0,738399000.0,1390894900.0,103611000.0,709355000.0,-342071000.0,464403000.0,367284000.0,4473000.0,362811000.0,11360000.0,626549000.0,1.34,0.6532,0.3331,0.1725,0.2943,0.4571,1325251000.0,709355000.0,0.77,0.57,1.3696,0.57,0.77,374171000.0,265755000.0,639926000.0,0.6224,0.5702,PEAK
2016-09-30 00:00:00,1654016000.0,711542000.0,942474000.0,104824000.0,755745100.0,-354612000.0,483282000.0,401133000.0,-2086000.0,403219000.0,-31354000.0,-31103100.0,-0.07,0.5698,0.4569,0.2425,-0.0188,0.9389,1368699200.0,755745100.0,0.8079,1.98,-0.0442,2.0,0.8076,399099000.0,919526000.0,-15991000.0,0.8275,0.8181,PEAK
2016-06-30 00:00:00,1780958000.0,697343000.0,1083615000.0,90577000.0,849424100.0,-360852000.0,487579000.0,488572000.0,-3642000.0,492214000.0,-20987000.0,-66981100.0,-0.14,0.6084,0.4769,0.2743,-0.0376,0.9167,1449593200.0,849424100.0,0.9723,1.75,-0.119,1.77,0.9722,471227000.0,811313000.0,-52076000.0,0.8139,0.7272,PEAK
2016-03-31 00:00:00,1850155000.0,654605000.0,1195550000.0,96643000.0,912390100.0,-468989000.0,484878000.0,443401000.0,-6026000.0,449427000.0,-7919000.0,-203841100.0,-0.43,0.6462,0.4931,0.2397,-0.1102,0.2051,1496410200.0,912390100.0,0.9153,1.53,-0.4084,1.54,0.9154,441508000.0,733684000.0,-189170000.0,0.8088,0.6814,PEAK
2015-12-31 00:00:00,1940489000.0,610679000.0,1329810000.0,95965000.0,593282100.0,-457011000.0,479596000.0,136271000.0,-9807000.0,146078000.0,6590000.0,-560552100.0,-1.2,0.6853,0.3057,0.0702,-0.2889,0.2067,1150416200.0,593282100.0,0.3,,-1.1806,,0.3001,152668000.0,,-546418000.0,0.5928,0.6298,PEAK
2015-09-30 00:00:00,1849904100.0,569009000.0,1280895100.0,93883000.0,85826100.0,-447182000.0,472556000.0,-361356000.0,-9966000.0,-351390000.0,-9077000.0,234757000.0,0.52,0.6924,0.0464,-0.1953,0.1269,-0.09,617218100.0,85826000.0,-0.8579,,0.5368,,-0.8575,-387701000.0,,247829000.0,0.3336,0.6667,PEAK
2015-06-30 00:00:00,1789043100.0,495093000.0,1293950100.0,92828000.0,177365100.0,-432669000.0,461674000.0,-255304000.0,-7931000.0,-247373000.0,-7223000.0,366919000.0,0.81,0.7233,0.0991,-0.1427,0.2051,-0.2138,696637100.0,177365000.0,-0.5723,,0.8294,,-0.5721,-254596000.0,,380934000.0,0.3894,0.6903,PEAK
2015-03-31 00:00:00,1717632100.0,437618000.0,1280014100.0,85639000.0,233724100.0,-431286000.0,449884000.0,-197562000.0,-2029000.0,-195533000.0,-4532000.0,420800000.0,0.93,0.7452,0.1361,-0.115,0.245,0.3048,741901100.0,233724000.0,-0.4553,,0.9513,,-0.4553,-200065000.0,,435465000.0,0.4319,0.717,PEAK
2014-12-31 00:00:00,1636833100.0,381294000.0,1255539100.0,81765000.0,701616100.0,-427202000.0,439742000.0,274414000.0,-506000.0,274920000.0,-3605000.0,919796000.0,2.01,0.7671,0.4286,0.1676,0.5619,0.4101,1201807100.0,701616000.0,0.56,1.44,2.0431,1.45,0.56,271315000.0,724764000.0,936591000.0,0.7342,0.7628,PEAK
2014-09-30 00:00:00,2193046900.0,330465000.0,1862581900.0,75032000.0,1318346900.0,-427423000.0,434357000.0,890924000.0,5101000.0,885823000.0,59543000.0,1016342000.0,2.22,0.8493,0.6011,0.4062,0.4634,0.3179,1809744900.0,1318347000.0,2.03,0.18,2.2614,0.18,2.04,945366000.0,99059000.0,1034600000.0,0.8252,0.5419,PEAK
2014-06-30 00:00:00,2142565900.0,306283000.0,1836282900.0,100879000.0,1289867900.0,-425715000.0,431170000.0,864153000.0,6080000.0,858073000.0,63267000.0,1002416000.0,2.19,0.857,0.602,0.4033,0.4679,0.4152,1781080900.0,1289868000.0,1.98,0.2,2.2344,0.2,1.99,921340000.0,,1020399000.0,0.8313,0.5531,PEAK
2014-03-31 00:00:00,2118683900.0,301303000.0,1817380900.0,103285000.0,1279888900.0,-424746000.0,432780000.0,855143000.0,6345000.0,848798000.0,64160000.0,997043000.0,2.18,0.8578,0.6041,0.4036,0.4706,0.5401,1763299900.0,1279889000.0,1.97,0.21,2.226,0.21,1.97,912958000.0,101887000.0,1014845000.0,0.8323,0.5578,PEAK
2013-12-31 00:00:00,2099877900.0,298282000.0,1801595900.0,103042000.0,1269050900.0,-417036000.0,435252000.0,852015000.0,5815000.0,846200000.0,64433000.0,969103000.0,2.13,0.858,0.6043,0.4057,0.4615,0.4999,1750099900.0,1269051000.0,1.97,0.16,2.1648,0.16,1.97,910633000.0,74373000.0,985006000.0,0.8334,0.5472,PEAK
2013-09-30 00:00:00,2065243900.0,292644000.0,1772599900.0,104153000.0,1243912900.0,-414587000.0,432361000.0,829326000.0,3040000.0,826285900.0,55930000.0,916348100.0,2.03,0.8583,0.6023,0.4016,0.4437,0.615,1717241900.0,1243912900.0,1.92,0.12,2.065,0.11,1.91,882216000.0,51411000.0,933626900.0,0.8315,0.5605,PEAK
2013-06-30 00:00:00,1987152900.0,289880000.0,1697272900.0,78242000.0,1204231900.0,-410716000.0,427628000.0,793516000.0,1404000.0,792111900.0,55434000.0,878695100.0,1.98,0.8541,0.606,0.3993,0.4422,0.5391,1644039900.0,1204231900.0,1.87,0.11,2.0082,0.11,1.86,847546000.0,48266000.0,895811900.0,0.8273,0.5651,PEAK
2013-03-31 00:00:00,1935328900.0,286069000.0,1649259900.0,68981000.0,1189816900.0,-406878000.0,421530000.0,782939000.0,-29000.0,782967900.0,55581000.0,867139100.0,1.99,0.8522,0.6148,0.4046,0.4481,0.5326,1611106900.0,1189816900.0,1.88,0.1,2.019,0.1,1.88,838549000.0,45513000.0,884061900.0,0.8325,0.5491,PEAK
2012-12-31 00:00:00,1879969900.0,280716000.0,1599253900.0,68414000.0,1158276900.0,-413196000.0,416172000.0,745081000.0,-1654000.0,746734900.0,54455000.0,812289100.0,1.91,0.8507,0.6161,0.3963,0.4321,0.5597,1562334900.0,1158276900.0,1.8,0.1,1.9831,0.1,1.8,801190000.0,45652000.0,846841900.0,0.831,0.5505,PEAK
