Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Share of Subsidiary Earnings,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,2019915000.0,841746000.0,1178168900.0,99204000.0,344999200.0,178199000.0,160082000.0,523198000.0,-5632000.0,528830000.0,3724000.0,519559000.0,0.97,0.5833,0.1708,0.259,0.2572,-0.2328,982192300.0,344999200.0,0.95,0.01,0.9989,0.01,0.96,532554000.0,5644000.0,538198000.0,0.4863,0.4587,PEAK
2022-06-30 00:00:00,1980974000.0,823677000.0,1157296900.0,97925000.0,325271200.0,-99519000.0,151909000.0,225752000.0,-2447000.0,228199000.0,6376000.0,220635000.0,0.41,0.5842,0.1642,0.114,0.1114,-0.3849,969231300.0,325271200.0,0.4,0.01,0.4488,0.01,0.4,234575000.0,7543000.0,242118000.0,0.4893,0.4512,PEAK
2022-03-31 00:00:00,1939280000.0,798765000.0,1140514900.0,97232000.0,317413200.0,6573000.0,148723000.0,323986000.0,-2492000.0,326478000.0,6861000.0,428571000.0,0.79,0.5881,0.1637,0.1671,0.221,0.0479,954822300.0,317413200.0,0.58,0.21,0.8381,0.21,0.58,333339000.0,118511000.0,451850000.0,0.4924,0.4505,PEAK
2021-12-31 00:00:00,1896184000.0,773279000.0,1122904900.0,98303000.0,315315100.0,-186948000.0,157980000.0,128367000.0,-3261000.0,131628000.0,6100000.0,502271000.0,0.93,0.5922,0.1663,0.0677,0.2649,0.5821,932657200.0,315315100.0,0.22,0.71,0.9758,0.71,0.22,137728000.0,388202000.0,525930000.0,0.4919,0.421,PEAK
2021-09-30 00:00:00,1844676000.0,758247000.0,1086429000.0,97767000.0,301276000.0,-201278000.0,175517000.0,99998000.0,-4035000.0,104033000.0,-14452000.0,619901000.0,1.15,0.589,0.1633,0.0542,0.336,0.7903,884418000.0,301276000.0,0.13,1.02,1.1946,1.02,0.13,89581000.0,554018000.0,643599000.0,0.4794,0.4297,PEAK
2021-06-30 00:00:00,1786776000.0,739249000.0,1047527000.0,96158000.0,299265000.0,-243639000.0,193346000.0,55626000.0,19584000.0,36042000.0,-35528000.0,501691000.0,0.93,0.5863,0.1675,0.0311,0.2808,0.9837,894158000.0,299265000.0,-0.03,0.96,0.9691,0.96,-0.03,514000.0,521598000.0,522112000.0,0.5004,0.4467,PEAK
2021-03-31 00:00:00,1719097000.0,726925000.0,992172000.0,95790000.0,270386000.0,-303013000.0,209488000.0,-32627000.0,20453000.0,-53080000.0,-54130000.0,276829000.0,0.51,0.5771,0.1573,-0.019,0.161,0.4221,872744000.0,270386000.0,-0.23,0.74,0.5481,0.74,-0.23,-107210000.0,402346000.0,295136000.0,0.5077,0.4573,PEAK
2020-12-31 00:00:00,1644875000.0,782541000.0,862334000.0,93237000.0,153897000.0,63786000.0,218336000.0,217683000.0,-9423000.0,227106000.0,-66599000.0,410956000.0,0.79,0.5243,0.0936,0.1323,0.2498,0.0612,796651000.0,153897000.0,0.28,0.5,0.8286,0.51,0.28,160507000.0,267746000.0,428253000.0,0.4843,0.4611,PEAK
2020-09-30 00:00:00,1532098000.0,703746000.0,828352000.0,89251000.0,182850000.0,187028000.0,219592000.0,369878000.0,-8732000.0,378610000.0,-45579000.0,308027000.0,0.61,0.5407,0.1193,0.2414,0.201,-0.0011,883577000.0,182850000.0,0.62,-0.02,0.6448,-0.01,0.62,333031000.0,-7664000.0,325367000.0,0.5767,0.4942,PEAK
2020-06-30 00:00:00,1646504000.0,768674000.0,877830000.0,90560000.0,161677000.0,153318000.0,227088000.0,314995000.0,-37963000.0,352958000.0,-34473000.0,325546000.0,0.64,0.5331,0.0982,0.1913,0.1977,-0.2161,882455000.0,161677000.0,0.5939,0.01,0.6694,0.01,0.5939,318485000.0,5914000.0,342640000.0,0.536,0.477,PEAK
2020-03-31 00:00:00,1729512000.0,804859000.0,924653000.0,93960000.0,116830000.0,109645000.0,229207000.0,226475000.0,-39933000.0,266408000.0,-18244000.0,260424000.0,0.52,0.5346,0.0676,0.1309,0.1506,-0.525,847830000.0,116830000.0,0.4731,0.25,0.5463,0.25,0.4731,248164000.0,119419000.0,277611000.0,0.4902,0.4525,PEAK
2019-12-31 00:00:00,1784612000.0,736409000.0,1048203000.0,92966000.0,246829000.0,-86369000.0,222843000.0,160460000.0,-13523000.0,173983000.0,-7961000.0,43989000.0,0.1,0.5874,0.1383,0.0899,0.0246,-0.647,935843000.0,246829000.0,0.3287,0.21,0.1244,0.21,0.3291,166022000.0,91386000.0,60061000.0,0.5244,0.4741,PEAK
2019-09-30 00:00:00,1907611000.0,808402000.0,1099209000.0,92955000.0,245713000.0,599018000.0,222216000.0,844731000.0,-14518000.0,859249000.0,-12164000.0,830114000.0,1.76,0.5762,0.1288,0.4428,0.4352,0.1779,874683000.0,245713000.0,1.7673,,1.7931,,1.7931,847085000.0,,847085000.0,0.4585,0.4426,PEAK
2019-06-30 00:00:00,1825662000.0,741540000.0,1084122000.0,93488000.0,299658000.0,684907000.0,224472000.0,984565000.0,-13186000.0,997751000.0,-5432000.0,975309000.0,2.06,0.5938,0.1641,0.5393,0.5342,0.4575,887927000.0,299658000.0,2.0723,,2.0983,,2.0983,992319000.0,,992319000.0,0.4864,0.4325,PEAK
2019-03-31 00:00:00,1803646000.0,701413000.0,1102233000.0,88882000.0,397938000.0,685340000.0,240568000.0,1083278000.0,-15976000.0,1099254000.0,-4027000.0,1078781000.0,2.28,0.6111,0.2206,0.6006,0.5981,1.0595,962868000.0,397938000.0,2.2908,,2.3169,,2.3169,1095227000.0,,1095227000.0,0.5338,0.4497,PEAK
2018-12-31 00:00:00,1846689000.0,705038000.0,1141651000.0,96702000.0,429418000.0,628796000.0,266343000.0,1058214000.0,-17854000.0,1076068000.0,-2594000.0,1057593000.0,2.23,0.6182,0.2325,0.573,0.5727,1.0632,1008092000.0,429418000.0,2.2473,,2.273,,2.273,1073474000.0,,1073474000.0,0.5459,0.4596,PEAK
2018-09-30 00:00:00,1848029000.0,726294000.0,1121735000.0,96677000.0,351384000.0,-177727000.0,283508000.0,173657000.0,-1622000.0,175279000.0,5888000.0,169411000.0,0.35,0.607,0.1901,0.094,0.0917,0.2156,936636000.0,351384000.0,0.3982,,0.3844,,0.3844,181167000.0,,181167000.0,0.5068,0.4557,PEAK
2018-06-30 00:00:00,1846030000.0,700425000.0,1145605000.0,96697000.0,360693000.0,-298207000.0,291350000.0,62486000.0,-2174000.0,64660000.0,7861000.0,62677000.0,0.12,0.6206,0.1954,0.0338,0.034,0.1354,945597000.0,360693000.0,0.1671,,0.1531,,0.1531,72521000.0,,72521000.0,0.5122,0.4632,PEAK
2018-03-31 00:00:00,1835407000.0,679722000.0,1155685000.0,95469000.0,343309000.0,-350324000.0,296100000.0,-7015000.0,-507000.0,-6508000.0,8202000.0,-7521000.0,-0.03,0.6297,0.187,-0.0038,-0.0041,-0.0034,915190000.0,343309000.0,0.0165,,0.0025,,0.0025,1694000.0,,1694000.0,0.4986,0.4632,PEAK
