Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,Income (Other),EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2019-03-31 00:00:00,32350000000.0,16756000000.0,15594000000.0,1812000000.0,6977000000.0,7336000000.0,,-213000000.0,,,7123000000.0,1473000000.0,5650000000.0,5638000000.0,9.64,0.482,0.2268,0.2202,0.1743,0.1811,8817000000.0,7336000000.0,9.4371,9.6429,9.6429,5650000000.0,5650000000.0,0.2726,0.227,MMM
2018-12-31 00:00:00,32765000000.0,16682000000.0,16083000000.0,1821000000.0,7602000000.0,7207000000.0,,-207000000.0,,,7000000000.0,1637000000.0,5363000000.0,5349000000.0,9.11,0.4909,0.22,0.2136,0.1633,0.1564,8695000000.0,7207000000.0,8.9088,9.113,9.113,5363000000.0,5363000000.0,0.2654,0.1965,MMM
2018-09-30 00:00:00,32810000000.0,16716000000.0,16094000000.0,1832000000.0,7675000000.0,7213000000.0,,-261000000.0,,,6952000000.0,2413000000.0,4539000000.0,4525000000.0,7.67,0.4905,0.2198,0.2119,0.1379,0.1436,8679000000.0,7213000000.0,7.5093,7.6888,7.6888,4539000000.0,4539000000.0,0.2645,0.1841,MMM
2018-06-30 00:00:00,32830000000.0,16616000000.0,16214000000.0,1870000000.0,7765000000.0,7205000000.0,,-221000000.0,,,6984000000.0,2558000000.0,4426000000.0,4411000000.0,7.42,0.4939,0.2195,0.2127,0.1344,0.1319,8693000000.0,7205000000.0,7.2645,7.4467,7.4467,4426000000.0,4426000000.0,0.2648,0.1722,MMM
2018-03-31 00:00:00,32250000000.0,16409000000.0,15841000000.0,1880000000.0,7585000000.0,6957000000.0,,-181000000.0,,,6776000000.0,2627000000.0,4149000000.0,4137000000.0,6.93,0.4912,0.2157,0.2101,0.1283,0.1282,8445000000.0,6957000000.0,6.7692,6.9483,6.9483,4149000000.0,4149000000.0,0.2619,0.1673,MMM
2017-12-31 00:00:00,31657000000.0,16055000000.0,15602000000.0,1870000000.0,6626000000.0,7692000000.0,,-144000000.0,,,7548000000.0,2679000000.0,4869000000.0,4858000000.0,8.13,0.4928,0.243,0.2384,0.1535,0.1553,9236000000.0,7692000000.0,7.9468,8.1489,8.1489,4869000000.0,4869000000.0,0.2918,0.1971,MMM
2017-09-30 00:00:00,30996000000.0,15755000000.0,15241000000.0,1872000000.0,6598000000.0,7372000000.0,,114000000.0,,,7486000000.0,1986000000.0,5500000000.0,5490000000.0,9.18,0.4917,0.2378,0.2415,0.1771,0.1709,8951000000.0,7372000000.0,8.9768,9.1927,9.1927,5500000000.0,5500000000.0,0.2888,0.2126,MMM
2017-06-30 00:00:00,30533000000.0,15543000000.0,14990000000.0,1831000000.0,6492000000.0,7268000000.0,,83000000.0,,,7351000000.0,1953000000.0,5398000000.0,5390000000.0,8.99,0.4909,0.238,0.2408,0.1765,0.1778,8838000000.0,7268000000.0,8.7889,8.997,8.997,5398000000.0,5398000000.0,0.2895,0.221,MMM
2017-03-31 00:00:00,30385000000.0,15322000000.0,15063000000.0,1790000000.0,6432000000.0,6981000000.0,,63000000.0,,,7044000000.0,1938000000.0,5106000000.0,5098000000.0,8.47,0.4957,0.2298,0.2318,0.1678,0.1658,8537000000.0,6981000000.0,8.2849,8.4774,8.4774,5106000000.0,5106000000.0,0.281,0.2103,MMM
2016-12-31 00:00:00,30109000000.0,15118000000.0,14991000000.0,1764000000.0,6311000000.0,7027000000.0,,26000000.0,,,7053000000.0,1995000000.0,5058000000.0,5050000000.0,8.36,0.4979,0.2334,0.2342,0.1677,0.176,8501000000.0,7027000000.0,8.1752,8.3645,8.3645,5058000000.0,5058000000.0,0.2823,0.2213,MMM
2016-09-30 00:00:00,30078000000.0,15151000000.0,14927000000.0,1747000000.0,6169000000.0,7058000000.0,,-152000000.0,173000000.0,,6906000000.0,1965000000.0,4941000000.0,4933000000.0,8.12,0.4963,0.2347,0.2296,0.164,0.1794,8545000000.0,7058000000.0,7.9549,8.1317,8.1317,4941000000.0,4941000000.0,0.2841,0.2258,MMM
2016-06-30 00:00:00,30081000000.0,15181000000.0,14900000000.0,1749000000.0,6168000000.0,7030000000.0,,-141000000.0,158000000.0,,6889000000.0,1981000000.0,4908000000.0,4900000000.0,8.01,0.4953,0.2337,0.229,0.1629,0.1711,8504000000.0,7030000000.0,7.8604,8.021,8.021,4908000000.0,4908000000.0,0.2827,0.2176,MMM
2016-03-31 00:00:00,30105000000.0,15240000000.0,14865000000.0,1750000000.0,6158000000.0,7004000000.0,,-138000000.0,151000000.0,,6866000000.0,1948000000.0,4918000000.0,4909000000.0,7.94,0.4938,0.2327,0.2281,0.1631,0.1715,8456000000.0,7004000000.0,7.8043,7.9545,7.9545,4918000000.0,4918000000.0,0.2809,0.2192,MMM
2015-12-31 00:00:00,30274000000.0,15383000000.0,14891000000.0,1763000000.0,6229000000.0,6946000000.0,,-123000000.0,,,6823000000.0,1982000000.0,4841000000.0,4833000000.0,7.72,0.4919,0.2294,0.2254,0.1596,0.1649,8381000000.0,6946000000.0,7.5973,7.7382,7.7382,4841000000.0,4841000000.0,0.2768,0.2121,MMM
2015-09-30 00:00:00,30695000000.0,15583000000.0,15112000000.0,1766000000.0,6238000000.0,7108000000.0,,-110000000.0,136000000.0,,6998000000.0,2017000000.0,4981000000.0,4974000000.0,7.88,0.4923,0.2316,0.228,0.162,0.1562,8496000000.0,7108000000.0,7.7433,7.8907,7.8907,4981000000.0,4981000000.0,0.2768,0.2041,MMM
2015-06-30 00:00:00,31120000000.0,15911000000.0,15209000000.0,1771000000.0,6305000000.0,7133000000.0,,-100000000.0,126000000.0,,7033000000.0,2039000000.0,4994000000.0,4981000000.0,7.81,0.4887,0.2292,0.226,0.1601,0.1576,8516000000.0,7133000000.0,7.6796,7.8308,7.8308,4994000000.0,4994000000.0,0.2737,0.2028,MMM
2015-03-31 00:00:00,31568000000.0,16237000000.0,15331000000.0,1781000000.0,6401000000.0,7149000000.0,,-108000000.0,136000000.0,,7041000000.0,2067000000.0,4974000000.0,4948000000.0,7.69,0.4857,0.2265,0.223,0.1567,0.1666,8546000000.0,7149000000.0,7.5837,7.7346,7.7346,4974000000.0,4974000000.0,0.2707,0.2095,MMM
2014-12-31 00:00:00,31821000000.0,16447000000.0,15374000000.0,1770000000.0,6469000000.0,7135000000.0,,-109000000.0,142000000.0,,7026000000.0,2028000000.0,4998000000.0,4956000000.0,7.64,0.4831,0.2242,0.2208,0.1557,0.1656,8543000000.0,7135000000.0,7.5499,7.6987,7.6987,4998000000.0,4998000000.0,0.2685,0.2082,MMM
2014-09-30 00:00:00,31671000000.0,16396000000.0,15275000000.0,1772000000.0,6451000000.0,7052000000.0,,-106000000.0,142000000.0,,6946000000.0,2011000000.0,4935000000.0,4880000000.0,7.44,0.4823,0.2227,0.2193,0.1541,0.1594,8467000000.0,7052000000.0,7.3775,7.5209,7.5209,4935000000.0,4935000000.0,0.2673,0.2032,MMM
2014-06-30 00:00:00,31450000000.0,16339000000.0,15111000000.0,1758000000.0,6463000000.0,6890000000.0,,-108000000.0,147000000.0,,6782000000.0,1913000000.0,4869000000.0,4807000000.0,7.23,0.4805,0.2191,0.2156,0.1528,0.1413,8298000000.0,6890000000.0,7.1845,7.3207,7.3207,4869000000.0,4869000000.0,0.2638,0.1868,MMM
2014-03-31 00:00:00,31068000000.0,16168000000.0,14900000000.0,1737000000.0,6427000000.0,6736000000.0,,-103000000.0,143000000.0,,6633000000.0,1834000000.0,4799000000.0,4737000000.0,7.03,0.4796,0.2168,0.2135,0.1525,0.1417,8121000000.0,6736000000.0,6.9891,7.1155,7.1155,4799000000.0,4799000000.0,0.2614,0.1904,MMM
2013-12-31 00:00:00,30871000000.0,16106000000.0,14765000000.0,1715000000.0,6384000000.0,6666000000.0,,-104000000.0,145000000.0,,6562000000.0,1841000000.0,4721000000.0,4659000000.0,6.83,0.4783,0.2159,0.2126,0.1509,0.1386,8037000000.0,6666000000.0,6.8066,6.9233,6.9233,4721000000.0,4721000000.0,0.2603,0.1884,MMM
2013-09-30 00:00:00,30689000000.0,16121000000.0,14568000000.0,1695000000.0,6343000000.0,6530000000.0,,-117000000.0,157000000.0,,6413000000.0,1804000000.0,4609000000.0,4547000000.0,6.61,0.4747,0.2128,0.209,0.1482,0.1318,7876000000.0,6530000000.0,6.6003,6.7062,6.7062,4609000000.0,4609000000.0,0.2566,0.1812,MMM
2013-06-30 00:00:00,30270000000.0,15908000000.0,14362000000.0,1672000000.0,6221000000.0,6469000000.0,,-128000000.0,168000000.0,,6341000000.0,1797000000.0,4544000000.0,4478000000.0,6.48,0.4745,0.2137,0.2095,0.1479,0.1395,7794000000.0,6469000000.0,6.4789,6.5775,6.5775,4544000000.0,4544000000.0,0.2575,0.1902,MMM
2013-03-31 00:00:00,30052000000.0,15765000000.0,14287000000.0,1653000000.0,6139000000.0,6495000000.0,,-130000000.0,170000000.0,,6365000000.0,1848000000.0,4517000000.0,4448000000.0,6.42,0.4754,0.2161,0.2118,0.148,0.132,7806000000.0,6495000000.0,6.4318,6.5231,6.5231,4517000000.0,4517000000.0,0.2597,0.1819,MMM
2012-12-31 00:00:00,29904000000.0,15685000000.0,14219000000.0,1634000000.0,6102000000.0,6483000000.0,,-132000000.0,171000000.0,,6351000000.0,1840000000.0,4511000000.0,4444000000.0,6.4,0.4755,0.2168,0.2124,0.1486,0.129,7771000000.0,6483000000.0,6.414,6.5009,6.5009,4511000000.0,4511000000.0,0.2599,0.1772,MMM
