Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,Income (Other),EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,34762000000.0,19419000000.0,15343000000.0,1883000000.0,8727000000.0,7523000000.0,455000000.0,3039000000.0,44000000.0,6000000.0,7359000000.0,777000000.0,6582000000.0,6575000000.0,11.48,0.4414,0.2164,0.2117,0.1891,0.1135,6637000000.0,7523000000.0,11.4995,11.5451,11.5451,6588000000.0,6588000000.0,0.1909,0.1632,MMM
2022-06-30 00:00:00,35085000000.0,19479000000.0,15606000000.0,1902000000.0,8506000000.0,5155000000.0,452000000.0,357000000.0,33000000.0,8000000.0,4984000000.0,830000000.0,4154000000.0,4150000000.0,7.16,0.4448,0.1469,0.1421,0.1183,0.1247,7128000000.0,5155000000.0,7.1733,7.2329,7.2329,4162000000.0,4162000000.0,0.2032,0.1715,MMM
2022-03-31 00:00:00,35333000000.0,19079000000.0,16254000000.0,1940000000.0,7229000000.0,7016000000.0,452000000.0,250000000.0,30000000.0,11000000.0,6862000000.0,1268000000.0,5594000000.0,5596000000.0,9.64,0.46,0.1986,0.1942,0.1584,0.1453,9025000000.0,7016000000.0,9.621,9.7141,9.7141,5605000000.0,5605000000.0,0.2554,0.1918,MMM
2021-12-31 00:00:00,35355000000.0,18767000000.0,16588000000.0,1990000000.0,7155000000.0,7369000000.0,457000000.0,136000000.0,26000000.0,10000000.0,7204000000.0,1285000000.0,5919000000.0,5921000000.0,10.18,0.4692,0.2084,0.2038,0.1675,0.1669,9372000000.0,7369000000.0,10.1299,10.2401,10.2401,5929000000.0,5929000000.0,0.2651,0.2108,MMM
2021-09-30 00:00:00,35326000000.0,18464000000.0,16862000000.0,1974000000.0,7221000000.0,7602000000.0,524000000.0,-53000000.0,23000000.0,3000000.0,7371000000.0,1379000000.0,5992000000.0,5987000000.0,10.27,0.4773,0.2152,0.2087,0.1695,0.1879,9573000000.0,7602000000.0,10.2246,10.3365,10.3365,5995000000.0,5995000000.0,0.271,0.2254,MMM
2021-06-30 00:00:00,34734000000.0,17935000000.0,16799000000.0,1955000000.0,7121000000.0,7723000000.0,600000000.0,-283000000.0,22000000.0,-2000000.0,7440000000.0,1446000000.0,5994000000.0,5983000000.0,10.27,0.4836,0.2223,0.2142,0.1723,0.2082,9634000000.0,7723000000.0,10.2358,10.339,10.339,5992000000.0,5992000000.0,0.2774,0.2467,MMM
2021-03-31 00:00:00,32960000000.0,17021000000.0,15939000000.0,1865000000.0,6969000000.0,7492000000.0,599000000.0,-340000000.0,23000000.0,,7152000000.0,1378000000.0,5774000000.0,5765000000.0,9.89,0.4836,0.2273,0.217,0.1749,0.2203,9423000000.0,7492000000.0,9.8884,9.9724,9.9724,5770000000.0,5770000000.0,0.2859,0.2606,MMM
2020-12-31 00:00:00,32184000000.0,16605000000.0,15579000000.0,1878000000.0,6929000000.0,7161000000.0,563000000.0,-366000000.0,29000000.0,,6795000000.0,1337000000.0,5458000000.0,5449000000.0,9.33,0.4841,0.2225,0.2111,0.1693,0.2094,9072000000.0,7161000000.0,9.3662,9.4408,9.4408,5453000000.0,5453000000.0,0.2819,0.2521,MMM
2020-09-30 00:00:00,31712000000.0,16542000000.0,15170000000.0,1943000000.0,6979000000.0,6637000000.0,519000000.0,-430000000.0,40000000.0,,6207000000.0,1242000000.0,4965000000.0,4960000000.0,8.61,0.4784,0.2093,0.1957,0.1564,0.2012,8513000000.0,6637000000.0,8.5281,8.6018,8.6018,4964000000.0,4964000000.0,0.2684,0.2503,MMM
2020-06-30 00:00:00,31353000000.0,16427000000.0,14926000000.0,1925000000.0,6757000000.0,6739000000.0,,-392000000.0,85000000.0,,6347000000.0,1229000000.0,5118000000.0,5113000000.0,8.91,0.4761,0.2149,0.2024,0.1631,0.1919,8513000000.0,6739000000.0,8.7897,8.8746,8.8746,5118000000.0,5118000000.0,0.2715,0.2385,MMM
2020-03-31 00:00:00,32348000000.0,16935000000.0,15413000000.0,1971000000.0,6849000000.0,6701000000.0,,-558000000.0,114000000.0,,6143000000.0,1197000000.0,4946000000.0,4934000000.0,8.62,0.4765,0.2072,0.1899,0.1525,0.177,8359000000.0,6701000000.0,8.4759,8.5742,8.5742,4946000000.0,4946000000.0,0.2584,0.2237,MMM
2019-12-31 00:00:00,32136000000.0,17136000000.0,15000000000.0,1911000000.0,7029000000.0,6174000000.0,,-531000000.0,151000000.0,,5643000000.0,1114000000.0,4529000000.0,4517000000.0,7.92,0.4668,0.1921,0.1756,0.1406,0.171,7767000000.0,6174000000.0,7.7405,7.8493,7.8493,4529000000.0,4529000000.0,0.2417,0.22,MMM
2019-09-30 00:00:00,31970000000.0,16871000000.0,15099000000.0,1827000000.0,6771000000.0,6632000000.0,,-412000000.0,,,6220000000.0,1259000000.0,4961000000.0,4948000000.0,8.56,0.4723,0.2074,0.1946,0.1548,0.1723,8133000000.0,6632000000.0,8.4252,8.5668,8.5668,4961000000.0,4961000000.0,0.2544,0.2186,MMM
2019-06-30 00:00:00,32131000000.0,16842000000.0,15289000000.0,1814000000.0,6863000000.0,6637000000.0,,-418000000.0,,,6219000000.0,1300000000.0,4919000000.0,4908000000.0,8.45,0.4758,0.2066,0.1936,0.1527,0.1729,8114000000.0,6637000000.0,8.285,8.4522,8.4522,4919000000.0,4919000000.0,0.2525,0.2212,MMM
