Date,Revenue,Cost of Revenue,Gross Profit,Operating Income,Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,10730000000.0,5669976000.0,5060948000.0,1731681900.0,-135806000.0,135806000.0,1596000000.0,298602000.0,1297274000.0,1293000000.0,4.64,0.4717,0.1614,0.1487,0.1205,0.2245,1806070900.0,1731682000.0,4.658,4.6848,4.6848,1297274000.0,1296000000.0,0.1683,0.2323,WRB
2022-06-30 00:00:00,10430000000.0,5403790000.0,5027017000.0,1781018100.0,-139126000.0,139126000.0,1642000000.0,307774000.0,1334118000.0,1325000000.0,4.75,0.482,0.1708,0.1574,0.127,0.2475,1877341100.0,1781018200.0,4.7881,4.8164,4.8164,1334118000.0,1333000000.0,0.18,0.2553,WRB
2022-03-31 00:00:00,10213086000.0,5171620000.0,5042386000.0,1864769100.0,-145499000.0,145499000.0,1718940000.0,326941000.0,1392329000.0,1383238000.0,4.9633,0.4937,0.1826,0.1683,0.1354,0.2565,1985539100.0,1864769200.0,4.993,5.0239,5.0239,1392329000.0,1391678000.0,0.1944,0.2448,WRB
2021-12-31 00:00:00,9454955000.0,4953960000.0,4501506000.0,1430084900.0,-147180000.0,147180000.0,1283008000.0,251890000.0,1031015000.0,1021763000.0,3.67,0.4761,0.1513,0.1357,0.1081,0.2566,1559766900.0,1430085000.0,3.6954,3.7153,3.7153,1031015000.0,1030394000.0,0.165,0.246,WRB
2021-09-30 00:00:00,9189425000.0,4735326000.0,4454382000.0,1473205000.0,-145509000.0,145509000.0,1327415000.0,278495000.0,1049201000.0,1039913000.0,3.73,0.4847,0.1603,0.1445,0.1132,0.2687,1613405000.0,1473204700.0,3.725,3.7618,3.7618,1049201000.0,1048883000.0,0.1756,0.2313,WRB
2021-06-30 00:00:00,8805244000.0,4551566000.0,4253678000.0,1352005900.0,-150177000.0,150177000.0,1201829000.0,267580000.0,934249000.0,930591000.0,3.3467,0.4831,0.1535,0.1365,0.1057,0.2363,1493602900.0,1352005600.0,3.3118,3.3455,3.3455,934249000.0,934249000.0,0.1696,0.1968,WRB
2021-03-31 00:00:00,8445184000.0,4483045000.0,3962139000.0,1157792000.0,-150454000.0,150454000.0,1007338000.0,239111000.0,768227000.0,764613000.0,2.7467,0.4692,0.1371,0.1193,0.0905,0.2313,1301337000.0,1157791700.0,2.7192,2.7466,2.7466,768227000.0,768227000.0,0.1541,0.2102,WRB
2020-12-31 00:00:00,8098925000.0,4468706000.0,3630218900.0,855339100.0,-150537000.0,150537000.0,704802000.0,171817000.0,532985000.0,530670000.0,1.9067,0.4482,0.1056,0.087,0.0655,0.217,990404100.0,855338800.0,1.88,1.9001,1.9001,532985000.0,532985000.0,0.1223,0.1996,WRB
2020-09-30 00:00:00,7762529000.0,4429176000.0,3333352500.0,600527600.0,-148370000.0,148370000.0,452158000.0,111869000.0,340289000.0,337825000.0,1.2,0.4294,0.0774,0.0582,0.0435,0.1782,768102600.0,600527700.0,1.1855,1.2051,1.2051,340289000.0,340289000.0,0.099,0.1914,WRB
2020-06-30 00:00:00,7688426000.0,4356015000.0,3332410500.0,595802500.0,-147077000.0,147077000.0,448726000.0,95652000.0,353074000.0,351355000.0,1.2333,0.4334,0.0775,0.0584,0.0457,0.1547,721965500.0,595802600.0,1.2131,1.2352,1.2352,353074000.0,353074000.0,0.0939,0.1718,WRB
