Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Non-operating Income/Expense,Non-operating Interest Expenses,Income (Other),EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2020-03-31 00:00:00,4277452000.0,1839589900.0,2437861800.0,961686000.0,760164900.0,-398473000.0,422511000.0,,361692000.0,59065000.0,302627000.0,301791000.0,1.04,0.5699,0.1777,0.0846,0.0706,0.1199,1458611900.0,760165000.0,1.0573,,1.0541,,1.06,302627000.0,,302755000.0,0.341,0.2279,IRM
2019-12-31 00:00:00,4262584000.0,1833314900.0,2429268900.0,991664000.0,781338000.0,-453196000.0,419298000.0,,328142000.0,59931000.0,268211000.0,267377000.0,0.92,0.5699,0.1833,0.077,0.0627,0.0924,1456279100.0,781338100.0,0.9323,0.0032,0.935,0.0032,0.9346,268211000.0,104000.0,268315000.0,0.3416,0.2268,IRM
2019-09-30 00:00:00,4244483000.0,1819578000.0,2424905200.0,983116900.0,821877300.0,-393806000.0,420315000.0,,428071000.0,44632000.0,383439000.0,381296000.0,1.34,0.5713,0.1936,0.1009,0.0898,0.0931,1487595300.0,821877300.0,1.32,,1.3384,,1.32,383439000.0,,383543000.0,0.3505,0.226,IRM
2019-06-30 00:00:00,4243250000.0,1818224000.0,2425026200.0,1005894900.0,794038200.0,-404807000.0,417576000.0,,389231000.0,36727000.0,352504000.0,339490000.0,1.2,0.5715,0.1871,0.0917,0.08,0.0994,1459871300.0,794038200.0,1.22,-0.0368,1.191,-0.0368,1.22,352504000.0,-11501000.0,341003000.0,0.344,0.2291,IRM
2019-03-31 00:00:00,4237166000.0,1805879000.0,2431287200.0,1005963900.0,802383300.0,-397825000.0,414458000.0,,404558000.0,52138000.0,352420000.0,338810000.0,1.21,0.5738,0.1894,0.0955,0.08,0.1044,1460032400.0,802383300.0,1.22,-0.0385,1.1901,-0.0385,1.22,352420000.0,-11989000.0,340431000.0,0.3446,0.2268,IRM
2018-12-31 00:00:00,4225761000.0,1793954000.0,2431807200.0,1006982900.0,808267300.0,-397956000.0,409648000.0,,410311000.0,42753000.0,367558000.0,353933000.0,1.27,0.5755,0.1913,0.0971,0.0838,0.1179,1463456200.0,808267300.0,1.28,-0.04,1.2421,-0.04,1.28,367558000.0,-12427000.0,355131000.0,0.3463,0.2214,IRM
2018-09-30 00:00:00,4155507000.0,1753709900.0,2401797000.0,999096000.0,701000300.0,-439494900.0,392395000.0,,261505000.0,34713000.0,226792000.0,211327000.0,0.8,0.578,0.1687,0.0629,0.0509,0.0837,1334258200.0,701000000.0,0.79,-0.0477,0.7347,-0.0476,0.78,225867000.0,-15297000.0,210570000.0,0.3211,0.1989,IRM
2018-06-30 00:00:00,4060177000.0,1724018900.0,2336158000.0,981524000.0,682121400.0,-483699900.0,377446000.0,,198421000.0,22958000.0,175463000.0,169803000.0,0.66,0.5754,0.168,0.0489,0.0418,0.0844,1286167300.0,682121100.0,0.62,-0.0117,0.5967,-0.0116,0.61,173900000.0,-4750000.0,169150000.0,0.3168,0.1957,IRM
2018-03-31 00:00:00,3949160000.0,1686838900.0,2262321000.0,966744000.0,650855300.0,-471159900.0,365216000.0,,179695000.0,14910000.0,164785000.0,156672000.0,0.63,0.5729,0.1648,0.0455,0.0397,0.067,1226721200.0,650855000.0,0.6,-0.0204,0.5823,-0.0203,0.6,164785000.0,-6416000.0,158369000.0,0.3106,0.1749,IRM
2017-12-31 00:00:00,3845578000.0,1664824900.0,2180752900.0,937180000.0,634051200.0,-433073900.0,353645000.0,3420000.0,200977000.0,22962000.0,178015000.0,170113000.0,0.69,0.5671,0.1649,0.0523,0.0442,0.0863,1174400300.0,634050900.0,0.66,-0.0201,0.6457,-0.02,0.66,178015000.0,-6291000.0,171724000.0,0.3054,0.1875,IRM
