Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,11848000000.0,8686000000.0,3161000000.0,1994421100.0,436237800.0,49000000.0,740000000.0,49506000.0,388000000.0,206000000.0,181331100.0,180000000.0,2.58,0.2668,0.0368,0.0327,0.0152,-0.0077,1811000000.0,436238000.0,2.5994,2.643,2.643,181331100.0,,181000000.0,0.1529,0.054,MHK
2022-06-30 00:00:00,11747000000.0,8492000000.0,3255000000.0,1947942100.0,1301800800.0,50000000.0,10000000.0,50657000.0,1251000000.0,264000000.0,986228100.0,985000000.0,14.92,0.2771,0.1108,0.1065,0.0839,0.0158,1943000000.0,1301801000.0,14.9378,14.9999,14.9999,986228100.0,,986000000.0,0.1654,0.0778,MHK
2022-03-31 00:00:00,11547833000.0,8264626000.0,3283207000.0,1940455100.0,1338297900.0,53000000.0,1274000.0,53492000.0,1292698000.0,250245000.0,1042171100.0,1041285000.0,15.36,0.2843,0.1159,0.1119,0.0902,0.0358,1971889000.0,1338298100.0,15.365,15.431,15.431,1042171100.0,,1041453000.0,0.1708,0.0956,MHK
2021-12-31 00:00:00,11200859000.0,7928883000.0,3271975900.0,1933382100.0,1335011500.0,57000000.0,-11740000.0,57252000.0,1290199000.0,256935000.0,1033548100.0,1033092000.0,14.95,0.2921,0.1192,0.1152,0.0922,0.0565,1964619900.0,1335011700.0,14.9476,15.0112,15.0112,1033548100.0,,1033264000.0,0.1754,0.1169,MHK
2021-09-30 00:00:00,11081623000.0,7811563000.0,3270060400.0,1904388000.0,1364646000.0,61000000.0,-24897000.0,60981000.0,1323775000.0,231114000.0,1092845100.0,1092312900.0,15.65,0.2951,0.1231,0.1195,0.0986,0.0875,1984907800.0,1364646000.0,15.6104,15.6715,15.6715,1092845100.0,,1092661000.0,0.1791,0.1358,MHK
2021-06-30 00:00:00,10839493000.0,7701234000.0,3138259500.0,1870843000.0,1267416000.0,61000000.0,-40025000.0,60887000.0,1227391000.0,200277000.0,1027114100.0,1026429900.0,14.59,0.2895,0.1169,0.1132,0.0947,0.1059,1874994000.0,1267416000.0,14.5508,14.6007,14.6007,1027114100.0,,1027114000.0,0.173,0.148,MHK
2021-03-31 00:00:00,9935460000.0,7329441000.0,2606019500.0,1803985000.0,802033900.0,59000000.0,-50292000.0,58949000.0,751742000.0,109669000.0,642073100.0,641887900.0,9.07,0.2623,0.0807,0.0757,0.0646,0.1419,1415241000.0,802033900.0,9.0442,9.0723,9.0723,642073100.0,,642073000.0,0.1424,0.1846,MHK
2020-12-31 00:00:00,9552197000.0,7121507000.0,2430690500.0,1794688000.0,636001900.0,53000000.0,-51628000.0,52379000.0,584374000.0,68647000.0,515727100.0,515594900.0,7.24,0.2545,0.0666,0.0612,0.054,0.1407,1243509000.0,636001900.0,7.2229,7.2419,7.2419,515727100.0,,515727000.0,0.1302,0.1853,MHK
2020-09-30 00:00:00,9334945000.0,7019532000.0,2315413100.0,1807329900.0,508082500.0,48000000.0,-43911000.0,47443000.0,464172000.0,-67831000.0,532003000.0,532041000.0,7.43,0.248,0.0544,0.0497,0.057,0.1497,1107527600.0,508082500.0,7.4261,7.4519,7.4519,532003000.0,,532003000.0,0.1186,0.1931,MHK
2020-06-30 00:00:00,9279260000.0,6978355000.0,2300905000.0,1815345900.0,485558400.0,,-91812000.0,41905000.0,393747000.0,-88472000.0,482219000.0,482442000.0,6.71,0.248,0.0523,0.0424,0.052,0.1245,1143753400.0,485558400.0,6.6981,6.7251,6.7251,482219000.0,,482219000.0,0.1233,0.1741,MHK
2020-03-31 00:00:00,9813945000.0,7146389000.0,2667556200.0,1854178900.0,813376500.0,,-85292000.0,39470000.0,728085000.0,-5376000.0,733461000.0,733140000.0,10.19,0.2718,0.0829,0.0742,0.0747,0.0937,1457959500.0,813376500.0,10.169,10.2067,10.2067,733461000.0,,733461000.0,0.1486,0.1471,MHK
2019-12-31 00:00:00,9970672000.0,7294629000.0,2676043300.0,1848818900.0,827223700.0,,-77679000.0,41272000.0,749545000.0,4974000.0,744571000.0,744211000.0,10.33,0.2684,0.083,0.0752,0.0746,0.0876,1463581700.0,827223700.0,10.3035,10.3433,10.3433,744571000.0,,744571000.0,0.1468,0.1423,MHK
2019-09-30 00:00:00,9994778000.0,7295152000.0,2699626300.0,1813840100.0,885786700.0,,-91154000.0,44721000.0,794632100.0,84691000.0,709941000.0,704991000.0,9.71,0.2701,0.0886,0.0795,0.0705,0.0709,1512743700.0,885786400.0,9.7074,9.7458,9.7458,709941000.0,,709941000.0,0.1514,0.1266,MHK
2019-06-30 00:00:00,10021393000.0,7293025000.0,2728368400.0,1795558100.0,932810800.0,,-38856000.0,44430000.0,893954100.0,111656000.0,782298000.0,776486000.0,10.58,0.2723,0.0931,0.0892,0.0775,0.0549,1482646800.0,932810500.0,10.5996,10.6434,10.6434,782298000.0,,782298000.0,0.1479,0.1124,MHK
2019-03-31 00:00:00,10013922000.0,7255617000.0,2758305100.0,1766048100.0,992257600.0,,-41336000.0,41772000.0,950921100.0,173732000.0,777189000.0,770631000.0,10.42,0.2754,0.0991,0.095,0.077,0.0487,1528659600.0,992257300.0,10.4474,10.4926,10.4926,777189000.0,,777189000.0,0.1527,0.1167,MHK
2018-12-31 00:00:00,9983634000.0,7145564000.0,2838070000.0,1742744100.0,1095326400.0,,-46125000.0,38827000.0,1049201100.0,184346000.0,864855000.0,857812000.0,11.54,0.2843,0.1097,0.1051,0.0859,0.0388,1617091400.0,1095326100.0,11.5664,11.6224,11.6224,864855000.0,,864855000.0,0.162,0.1183,MHK
2018-09-30 00:00:00,9904113000.0,6958809000.0,2945303900.0,1719887900.0,1225415800.0,,-42217000.0,31673000.0,1183199100.0,307521000.0,875678100.0,872743000.0,11.7,0.2974,0.1237,0.1195,0.0881,0.0323,1726460900.0,1225415600.0,11.6849,11.7468,11.7468,875678100.0,,875678100.0,0.1743,0.1226,MHK
2018-06-30 00:00:00,9806823000.0,6798651000.0,3008171800.0,1689901900.0,1318269600.0,,-41030000.0,29907000.0,1277240100.0,358566000.0,918674100.0,915755000.0,12.3,0.3067,0.1344,0.1302,0.0934,0.043,1799858700.0,1318269400.0,12.2636,12.3361,12.3361,918674100.0,,918674100.0,0.1835,0.1428,MHK
2018-03-31 00:00:00,9682847000.0,6662094000.0,3020753000.0,1672964900.0,1347787900.0,,-42472000.0,30437000.0,1305316100.0,322439000.0,982877100.0,979850000.0,13.17,0.312,0.1392,0.1348,0.1012,0.0264,1812090000.0,1347787700.0,13.1268,13.2095,13.2095,982877100.0,,982877100.0,0.1871,0.1251,MHK
2017-12-31 00:00:00,9491290000.0,6494876000.0,2996414100.0,1642240900.0,1354173100.0,,-36316000.0,31111000.0,1317857100.0,343165000.0,974692100.0,971638000.0,13.07,0.3157,0.1427,0.1388,0.1024,0.0303,1800845100.0,1354172900.0,13.0239,13.1083,13.1083,974692100.0,,974692100.0,0.1897,0.1258,MHK
2017-09-30 00:00:00,9304759000.0,6370970000.0,2933789400.0,1617809900.0,1315979500.0,,-30604000.0,32339000.0,1285375000.0,317041000.0,968334000.0,964885000.0,12.99,0.3153,0.1414,0.1381,0.1037,0.038,1748658400.0,1315979300.0,12.9551,13.0405,13.0405,968334000.0,,968334000.0,0.1879,0.131,MHK
2017-06-30 00:00:00,9150388000.0,6273341000.0,2877047400.0,1562858900.0,1314188500.0,,-35309000.0,34490000.0,1278879000.0,310740000.0,968139000.0,964738000.0,13.0,0.3144,0.1436,0.1398,0.1054,0.0409,1784937400.0,1314188300.0,12.9636,13.0469,13.0469,968139000.0,,968139000.0,0.1951,0.1305,MHK
2017-03-31 00:00:00,9007686000.0,6154187000.0,2853499200.0,1544443900.0,1309055200.0,,-28458000.0,36448000.0,1280597000.0,318092000.0,962505000.0,959245000.0,12.93,0.3168,0.1453,0.1422,0.1065,0.0696,1771257100.0,1309055000.0,12.8987,12.9806,12.9806,962505000.0,,962505000.0,0.1966,0.1509,MHK
2016-12-31 00:00:00,8959087000.0,6146262000.0,2812825200.0,1532881900.0,1279943100.0,,-38818000.0,40547000.0,1241125000.0,307559000.0,933566000.0,930239000.0,12.55,0.314,0.1429,0.1385,0.1038,0.0751,1737315100.0,1279942900.0,12.5197,12.5981,12.5981,933566000.0,,933566000.0,0.1939,0.1502,MHK
2016-09-30 00:00:00,8774518000.0,6030482000.0,2744036200.0,1520123000.0,1223913000.0,,-63528000.0,50542000.0,1160385000.0,269322000.0,891063000.0,888173000.0,11.99,0.3127,0.1395,0.1322,0.1012,0.0752,1670931000.0,1223912700.0,11.9715,12.0508,12.0508,891063000.0,,891063000.0,0.1904,0.145,MHK
2016-06-30 00:00:00,8631035000.0,5952154000.0,2678881300.0,1544541000.0,1134340100.0,,-73847000.0,60451000.0,1060493000.0,224554000.0,835939000.0,833200000.0,11.26,0.3104,0.1314,0.1229,0.0965,0.0781,1524728100.0,1134339800.0,11.2395,11.3169,11.3169,835939000.0,,835939000.0,0.1767,0.1421,MHK
2016-03-31 00:00:00,8362432000.0,5824010000.0,2538422400.0,1498958000.0,1039464200.0,,-89069000.0,66938000.0,950395000.0,183796000.0,766599000.0,764504000.0,10.36,0.3036,0.1243,0.1137,0.0914,0.0708,1416649300.0,1039463900.0,10.3374,10.4109,10.4109,766599000.0,,766599000.0,0.1694,0.1352,MHK
2015-12-31 00:00:00,8071563000.0,5660877000.0,2410686400.0,1573120000.0,837566100.0,,-88705000.0,71086000.0,748861000.0,131875000.0,616986000.0,615302000.0,8.35,0.2987,0.1038,0.0928,0.0762,0.0527,1200213200.0,837565800.0,8.3329,8.3925,8.3925,616986000.0,,616986000.0,0.1487,0.1151,MHK
2015-09-30 00:00:00,8025012000.0,5694933000.0,2330079100.0,1535635000.0,794443900.0,,-89060000.0,73229000.0,705384000.0,133323000.0,572061000.0,570611000.0,7.77,0.2904,0.099,0.0879,0.0711,0.059,1158731000.0,794443800.0,7.7383,7.7944,7.7944,572061000.0,,572061000.0,0.1444,0.1241,MHK
2015-06-30 00:00:00,7865014000.0,5639917000.0,2225097000.0,1505694000.0,719402900.0,,-97904000.0,88696000.0,621499000.0,113881000.0,507618000.0,506972000.0,6.94,0.2829,0.0915,0.079,0.0645,0.037,1073902000.0,719402800.0,6.9019,6.952,6.952,507618000.0,,507618000.0,0.1365,0.1058,MHK
2015-03-31 00:00:00,7871528000.0,5686748000.0,2184780000.0,1498945000.0,685834900.0,,-97285000.0,92560000.0,588550000.0,114845000.0,473705000.0,473230000.0,6.5,0.2776,0.0871,0.0748,0.0601,0.0175,1036076900.0,685834800.0,6.4551,6.5015,6.5015,473705000.0,,473705000.0,0.1316,0.0868,MHK
2014-12-31 00:00:00,7803446000.0,5649254000.0,2154192000.0,1381396000.0,772796000.0,,-108905000.0,98207000.0,663891000.0,131637000.0,532254000.0,531965000.0,7.3,0.2761,0.099,0.0851,0.0682,0.0129,1118366000.0,772795900.0,7.255,7.3075,7.3075,532254000.0,,532254000.0,0.1433,0.0849,MHK
2014-09-30 00:00:00,7776104000.0,5650718000.0,2125386400.0,1407722100.0,717664600.0,,-103349000.0,99732000.0,614315000.0,118377000.0,495938000.0,479748000.0,6.59,0.2733,0.0923,0.079,0.0617,0.0024,1053898600.0,717664400.0,6.7795,6.6139,6.8301,495938000.0,,479957000.0,0.1355,0.0671,MHK
2014-06-30 00:00:00,7746982000.0,5661128000.0,2085854400.0,1405980100.0,679874600.0,,-97735000.0,90576000.0,582139000.0,117349000.0,464790000.0,447550000.0,6.15,0.2692,0.0878,0.0751,0.0578,0.005,1012491500.0,679874400.0,6.3581,6.1854,6.4042,464790000.0,,448256000.0,0.1307,0.0657,MHK
2014-03-31 00:00:00,7675034000.0,5649936000.0,2025098300.0,1434274100.0,590824500.0,,-102803000.0,95186000.0,488021000.0,90349000.0,397672000.0,379372000.0,5.22,0.2639,0.077,0.0636,0.0494,0.0088,920330400.0,590824300.0,5.4526,5.252,5.4954,397672000.0,,379777000.0,0.1199,0.0642,MHK
2013-12-31 00:00:00,7348754000.0,5427945000.0,1920809200.0,1373878100.0,546931400.0,,-101360000.0,92246000.0,445571000.0,78385000.0,367186000.0,348786000.0,4.84,0.2614,0.0744,0.0606,0.0475,0.0216,855802300.0,546931200.0,5.0701,4.8666,5.11,367186000.0,-17895000.0,349291000.0,0.1165,0.0715,MHK
2013-09-30 00:00:00,6860309000.0,5082966000.0,1777342600.0,1285540000.0,491803000.0,,-93324000.0,85500000.0,398479000.0,75668000.0,322811000.0,320524000.0,4.5,0.2591,0.0717,0.0581,0.0467,0.0419,778222900.0,491803200.0,4.4903,4.5032,4.5233,322811000.0,,320897000.0,0.1134,0.0898,MHK
2013-06-30 00:00:00,6372266000.0,4738976000.0,1633289600.0,1213436000.0,419854000.0,,-84817000.0,77839000.0,335037000.0,62034000.0,273003000.0,271760000.0,3.88,0.2563,0.0659,0.0526,0.0426,0.0532,696022000.0,419854200.0,3.8603,3.8746,3.8933,273003000.0,,271642000.0,0.1092,0.0951,MHK
2013-03-31 00:00:00,5865760000.0,4358062000.0,1507697700.0,1113324000.0,394374100.0,,-79886000.0,71371000.0,314488000.0,54040000.0,260448000.0,260376000.0,3.77,0.257,0.0672,0.0536,0.0444,0.0622,661730100.0,394374300.0,3.7403,3.7701,3.7633,260448000.0,,260448000.0,0.1128,0.1011,MHK
