Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Share of Subsidiary Earnings,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2020-03-31 00:00:00,8804000000.0,4261000000.0,4543000000.0,1653000000.0,909000000.0,655000000.0,,-345000000.0,,310000000.0,31000000.0,279000000.0,-4000000.0,243000000.0,0.87,0.516,0.0744,0.0352,0.0276,0.2235,2740000000.0,655000000.0,0.9607,,0.9737,,0.9737,275000000.0,275000000.0,0.3112,0.2941,NXPI
2019-12-31 00:00:00,8877000000.0,4259000000.0,4618000000.0,1643000000.0,924000000.0,641000000.0,,-350000000.0,,291000000.0,20000000.0,271000000.0,1000000.0,243000000.0,0.88,0.5202,0.0722,0.0328,0.0274,0.1992,2688000000.0,641000000.0,0.9514,,0.9644,,0.9644,272000000.0,272000000.0,0.3028,0.2673,NXPI
2019-09-30 00:00:00,8979000000.0,4327000000.0,4652000000.0,1622000000.0,950000000.0,668000000.0,,-334000000.0,,334000000.0,-101000000.0,435000000.0,3000000.0,405000000.0,1.41,0.5181,0.0744,0.0372,0.0451,0.187,2696000000.0,668000000.0,1.3695,,1.3867,,1.3867,438000000.0,438000000.0,0.3003,0.255,NXPI
2019-06-30 00:00:00,9159000000.0,4437000000.0,4722000000.0,1659000000.0,981000000.0,2646000000.0,,-368000000.0,,2278000000.0,182000000.0,2096000000.0,56000000.0,2116000000.0,6.66,0.5156,0.2889,0.2487,0.231,0.3833,4654000000.0,2646000000.0,6.5852,,6.6434,,6.6434,2152000000.0,2152000000.0,0.5081,0.4541,NXPI
2019-03-31 00:00:00,9232000000.0,4481000000.0,4751000000.0,1689000000.0,993000000.0,2626000000.0,,-350000000.0,,2276000000.0,165000000.0,2111000000.0,61000000.0,2129000000.0,6.67,0.5146,0.2844,0.2465,0.2306,0.3669,4624000000.0,2626000000.0,6.614,,6.6716,,6.6716,2172000000.0,2172000000.0,0.5009,0.4381,NXPI
2018-12-31 00:00:00,9407000000.0,4556000000.0,4851000000.0,1700000000.0,993000000.0,2710000000.0,,-335000000.0,,2375000000.0,176000000.0,2199000000.0,59000000.0,2208000000.0,6.91,0.5157,0.2881,0.2525,0.2347,0.3943,4697000000.0,2710000000.0,6.8715,,6.931,,6.931,2258000000.0,2258000000.0,0.4993,0.4644,NXPI
2018-09-30 00:00:00,9460000000.0,4610000000.0,4850000000.0,1711000000.0,1011000000.0,2696000000.0,,-337000000.0,,2359000000.0,-312000000.0,2671000000.0,66000000.0,2685000000.0,8.17,0.5127,0.285,0.2494,0.2838,0.3962,4722000000.0,2696000000.0,8.2284,,8.3197,,8.3197,2737000000.0,2737000000.0,0.4992,0.4626,NXPI
2018-06-30 00:00:00,9402000000.0,4593000000.0,4809000000.0,1670000000.0,1051000000.0,648000000.0,,-294000000.0,,354000000.0,-653000000.0,1007000000.0,20000000.0,973000000.0,2.85,0.5115,0.0689,0.0377,0.1035,0.1885,2714000000.0,648000000.0,2.9483,,2.9999,,2.9999,1027000000.0,1027000000.0,0.2887,0.2557,NXPI
2018-03-31 00:00:00,9314000000.0,4602000000.0,4712000000.0,1613000000.0,1072000000.0,561000000.0,,-298000000.0,,263000000.0,-711000000.0,974000000.0,50000000.0,968000000.0,2.84,0.5059,0.0602,0.0282,0.1039,0.1972,2691000000.0,561000000.0,2.9407,,2.9947,,2.9947,1024000000.0,1024000000.0,0.2889,0.2622,NXPI
2017-12-31 00:00:00,9256000000.0,4637000000.0,4619000000.0,1554000000.0,1090000000.0,2102000000.0,,-366000000.0,,1736000000.0,-483000000.0,2219000000.0,53000000.0,2215000000.0,6.55,0.499,0.2271,0.1876,0.2393,0.1978,4275000000.0,2102000000.0,6.5702,,6.709,,6.709,2272000000.0,2272000000.0,0.4619,0.2644,NXPI
