Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,21680500000.0,12709501000.0,8970999000.0,5878200000.0,2778700200.0,379000000.0,-391600000.0,367400000.0,2387100100.0,449300000.0,1937800200.0,1937800000.0,7.5,0.4138,0.1282,0.1101,0.0894,0.0625,3357700300.0,2778700700.0,7.4015,,7.5041,,7.5041,1937800200.0,1937800200.0,0.1549,0.0872,SHW
2022-06-30 00:00:00,20779800000.0,12258601000.0,8521199000.0,5731800000.0,2480400400.0,361000000.0,-359000000.0,349300000.0,2121400100.0,366500000.0,1754900200.0,1754900000.0,6.76,0.4101,0.1194,0.1021,0.0845,0.079,3052900400.0,2480400900.0,6.6613,,6.7653,,6.7653,1754900200.0,1754900200.0,0.1469,0.1009,SHW
2022-03-31 00:00:00,20287300000.0,11803701000.0,8483599000.0,5640900000.0,2534400400.0,351000000.0,-333700000.0,339900000.0,2200700100.0,375100000.0,1825600200.0,1825600000.0,6.99,0.4182,0.1249,0.1085,0.09,0.0974,3112500400.0,2534400900.0,6.8759,,6.9942,,6.9942,1825600200.0,1825600200.0,0.1534,0.1178,SHW
2021-12-31 00:00:00,19944600000.0,11401901000.0,8542699000.0,5674300000.0,2558899900.0,346000000.0,-310300000.0,334700000.0,2248600100.0,384200000.0,1864400200.0,1864400000.0,7.1,0.4283,0.1283,0.1127,0.0935,0.1042,3137899900.0,2558900400.0,6.9802,,7.1024,,7.1024,1864400200.0,1864400200.0,0.1573,0.1228,SHW
2021-09-30 00:00:00,19671299000.0,10879600000.0,8791699000.0,5730600000.0,2748699700.0,343000000.0,-305100000.0,332600000.0,2443600000.0,476200000.0,1967399800.0,1967400100.0,7.4433,0.4469,0.1397,0.1242,0.1,0.1341,3337799700.0,2748699200.0,7.3122,,7.4408,,7.4408,1967399800.0,1967399800.0,0.1697,0.1523,SHW
2021-06-30 00:00:00,19646799000.0,10539400000.0,9107399000.0,5780100000.0,3012399900.0,343000000.0,-304700000.0,332800000.0,2707700000.0,536700000.0,2170999800.0,2171000100.0,8.1233,0.4636,0.1533,0.1378,0.1105,0.164,3607999600.0,3012399400.0,7.983,,8.1198,,8.1198,2170999800.0,2170999800.0,0.1836,0.1799,SHW
2021-03-31 00:00:00,18870999000.0,9966100000.0,8904899000.0,5637700000.0,2952699700.0,348000000.0,-316800000.0,337400000.0,2635900000.0,517600000.0,2118299800.0,2118300100.0,7.85,0.4719,0.1565,0.1397,0.1123,0.1742,3543199400.0,2952699200.0,7.7208,,7.8475,,7.8475,2118299800.0,2118299800.0,0.1878,0.1881,SHW
2020-12-31 00:00:00,18361699000.0,9679100000.0,8682599000.0,5505600000.0,2863600100.0,351000000.0,-344400000.0,340400000.0,2519200000.0,488800000.0,2030399800.0,2030400100.0,7.4867,0.4729,0.156,0.1372,0.1106,0.1691,3454499800.0,2863599600.0,7.3618,,7.484,,7.484,2030399800.0,2030399800.0,0.1881,0.1856,SHW
2020-09-30 00:00:00,17987301000.0,9539400000.0,8447901000.0,5393600000.0,2741701200.0,353000000.0,-429000000.0,341400000.0,2312700000.0,440700000.0,1872000100.0,1872000100.0,6.8767,0.4697,0.1524,0.1286,0.1041,0.1627,3450900900.0,2741701400.0,6.7642,,6.8761,,6.8761,1872000100.0,1872000100.0,0.1919,0.1792,SHW
2020-06-30 00:00:00,17732801000.0,9514600000.0,8218201000.0,5333500000.0,2573301000.0,,-426400000.0,343400000.0,2146900000.0,404200000.0,1742700100.0,1742700100.0,6.37,0.4634,0.1451,0.1211,0.0983,0.1294,3280501100.0,2573301200.0,6.2627,,6.3702,,6.3702,1742700100.0,1742700100.0,0.185,0.1488,SHW
2020-03-31 00:00:00,18006601000.0,9815900000.0,8190701000.0,5381800000.0,2496801000.0,,-421600000.0,344500000.0,2075200000.0,457400000.0,1617800100.0,1617800100.0,5.8833,0.4549,0.1387,0.1152,0.0898,0.1126,3203801100.0,2496801200.0,5.7809,,5.8852,,5.8852,1617800100.0,1617800100.0,0.1779,0.134,SHW
2019-12-31 00:00:00,17900801000.0,9864700000.0,8036101000.0,5314000000.0,2409300500.0,,-427500000.0,349300000.0,1981800000.0,440500000.0,1541300100.0,1541300100.0,5.5966,0.4489,0.1346,0.1107,0.0861,0.1113,3115500600.0,2409300700.0,5.4988,,5.5966,,5.5966,1541300100.0,1541300100.0,0.174,0.1297,SHW
2019-09-30 00:00:00,17850627000.0,10025808000.0,7824820000.0,5325113000.0,2186224800.0,,-399752000.0,354865000.0,1786475000.0,392833000.0,1393642000.0,1393642000.0,5.0566,0.4383,0.1225,0.1001,0.0781,0.1044,2771279900.0,2186225800.0,4.9633,,5.058,,5.058,1393642000.0,1393642000.0,0.1552,0.1218,SHW
2019-06-30 00:00:00,17714397000.0,10104774000.0,7609624000.0,5252505000.0,2041060100.0,,-548434000.0,361846000.0,1492628000.0,321459000.0,1171169000.0,1171169000.0,4.23,0.4296,0.1152,0.0843,0.0661,0.1042,2631772000.0,2041061100.0,4.1507,,4.2328,,4.2328,1171169000.0,1171169000.0,0.1486,0.1198,SHW
2019-03-31 00:00:00,17610393000.0,10143542000.0,7466852000.0,5248845000.0,1906155300.0,,-551143000.0,366153000.0,1355014000.0,251241000.0,1103773000.0,1103773000.0,3.9667,0.424,0.1082,0.0769,0.0627,0.0912,2500866200.0,1906156300.0,3.8906,,3.9699,,3.9699,1103773000.0,1103773000.0,0.142,0.106,SHW
2018-12-31 00:00:00,17534499000.0,10115901000.0,7418599000.0,5222900000.0,1877598700.0,,-517900000.0,366700000.0,1359700000.0,251000000.0,1108700000.0,1108700000.0,3.97,0.4231,0.1071,0.0775,0.0632,0.0965,2485998600.0,1877599700.0,3.8906,,3.9742,,3.9742,1108700000.0,1108700000.0,0.1418,0.1109,SHW
2018-09-30 00:00:00,17449847000.0,9974666000.0,7475182000.0,5177125000.0,1971037200.0,,-487442000.0,366818000.0,1483595100.0,-377254000.0,1860849100.0,1860789100.0,6.8134,0.4284,0.113,0.085,0.1066,0.1038,2645975100.0,1971037700.0,6.5244,,6.6659,,6.6639,1860849100.0,1860789100.0,0.1516,0.1178,SHW
2018-06-30 00:00:00,17225397000.0,9858793000.0,7366605000.0,5204044000.0,1831906800.0,,-336543000.0,366130000.0,1495364100.0,-328064000.0,1823428100.0,1823368100.0,6.68,0.4277,0.1063,0.0868,0.1059,0.095,2587123800.0,1831907300.0,6.394,,6.5332,,6.5296,1823428100.0,1823368100.0,0.1502,0.109,SHW
2018-03-31 00:00:00,16187418000.0,9124825000.0,7062594000.0,5024758000.0,1752156800.0,,-285876000.0,329352000.0,1466281100.0,-314194000.0,1780475100.0,1738875100.0,6.38,0.4363,0.1082,0.0906,0.1074,0.0908,2475696800.0,1752157300.0,6.2428,,6.2311,,6.3785,1780475100.0,1738875100.0,0.1529,0.1046,SHW
2017-12-31 00:00:00,14983799000.0,8265000000.0,6718800000.0,4818500000.0,1693499500.0,,-224200000.0,263500000.0,1469300100.0,-300200000.0,1769500100.0,1727900100.0,6.3467,0.4484,0.113,0.0981,0.1153,0.1109,2309399500.0,1693500000.0,6.2134,-0.4395,6.1992,-0.4492,6.3466,1769500100.0,1727900100.0,0.1541,0.1257,SHW
2017-09-30 00:00:00,13786815000.0,7420131000.0,6366684000.0,4508958000.0,1727290000.0,,-179926000.0,217395000.0,1547364100.0,427925000.0,1119439000.0,1077899000.0,3.8733,0.4618,0.1253,0.1122,0.0782,0.1009,2207537000.0,1727289800.0,3.9426,,3.878,,4.0272,1119439000.0,1077899000.0,0.1601,0.1161,SHW
