Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,2542622000.0,636421000.0,1906201000.0,254724000.0,888120100.0,93678000.0,8201000.0,445364000.0,39243000.0,406121000.0,407050000.0,3.71,0.7497,0.3493,0.1752,0.1601,0.4342,1609412000.0,888120100.0,3.7082,3.757,3.757,406121000.0,,423371000.0,0.633,0.5096,SBAC
2022-06-30 00:00:00,2456343000.0,598891000.0,1857452000.0,239881000.0,856909100.0,93790000.0,6288000.0,379683000.0,25526000.0,354157000.0,354839000.0,3.23,0.7562,0.3489,0.1546,0.1445,0.4262,1568025000.0,856909100.0,3.2243,3.2688,3.2688,354157000.0,,386584000.0,0.6384,0.4951,SBAC
2022-03-31 00:00:00,2379865000.0,568638000.0,1811227000.0,230552000.0,825695100.0,78499000.0,107127000.0,514014000.0,76339000.0,437675000.0,437992000.0,3.99,0.7611,0.347,0.216,0.184,0.4411,1539462000.0,825695100.0,3.9636,4.023,4.023,437675000.0,,470102000.0,0.6469,0.5029,SBAC
2021-12-31 00:00:00,2308834000.0,545484000.0,1763350000.0,220029000.0,782495000.0,-141231000.0,206524000.0,252564000.0,14940000.0,237624000.0,237624000.0,2.16,0.7637,0.3389,0.1094,0.1029,0.4575,1502245000.0,782495000.0,2.1373,2.1735,2.1735,237624000.0,,270051000.0,0.6507,0.5154,SBAC
2021-09-30 00:00:00,2249476900.0,533549000.0,1715927900.0,203956000.0,750218900.0,-215474000.0,303549000.0,344750000.0,49842000.0,294908000.0,294503000.0,2.68,0.7628,0.3335,0.1533,0.1309,0.4494,1498860800.0,750218900.0,2.6451,2.6734,2.6734,294908000.0,,310085000.0,0.6663,0.5043,SBAC
2021-06-30 00:00:00,2183111900.0,515045000.0,1668066900.0,201108000.0,698779900.0,-377759000.0,400718000.0,321021000.0,51235000.0,269786000.0,269273000.0,2.45,0.7641,0.3201,0.147,0.1233,0.4832,1438872800.0,698779900.0,2.4161,2.4401,2.4401,269786000.0,,269786000.0,0.6591,0.5368,SBAC
2021-03-31 00:00:00,2114809900.0,490788000.0,1624021900.0,196251000.0,656069900.0,-512015000.0,396386000.0,144055000.0,3820000.0,140235000.0,139417000.0,1.25,0.7679,0.3102,0.0681,0.0659,0.4823,1160061800.0,656069900.0,1.2478,1.2516,1.2516,140235000.0,,140235000.0,0.5485,0.5361,SBAC
2020-12-31 00:00:00,2083137900.0,476528000.0,1606609900.0,194267000.0,633693900.0,-651443000.0,392744000.0,-17749000.0,-41796000.0,24047000.0,24104000.0,0.22,0.7712,0.3042,-0.0085,0.0116,0.4788,1375721800.0,633693900.0,0.2119,0.2157,0.2157,24047000.0,,24047000.0,0.6604,0.5405,SBAC
2020-09-30 00:00:00,2060891100.0,469794000.0,1591097100.0,190819000.0,622509900.0,-696445000.0,392989000.0,-73935000.0,-59352000.0,-14583000.0,-14327000.0,-0.14,0.772,0.3021,-0.0359,-0.007,0.49,1363942800.0,622509900.0,-0.1507,-0.1334,-0.1334,-14583000.0,,-14583000.0,0.6618,0.557,SBAC
2020-06-30 00:00:00,2045498100.0,471784000.0,1573714100.0,184939000.0,616019900.0,-684426000.0,392104000.0,-68406000.0,-52913000.0,-15493000.0,-15216000.0,-0.15,0.7694,0.3012,-0.0334,-0.0074,0.4634,1327225900.0,616019900.0,-0.1611,-0.1437,-0.1437,-15493000.0,,-15493000.0,0.6489,0.536,SBAC
