Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,3086000000.0,1690600000.0,1395400000.0,635200000.0,738400000.0,31625000.0,61525000.0,38200000.0,739100000.0,163700000.0,575400000.0,575700000.0,7.56,0.4522,0.2393,0.2395,0.1866,0.1571,883838000.0,738400000.0,7.5571,7.5902,7.5902,575400000.0,575400000.0,0.2864,0.1793,IEX
2022-06-30 00:00:00,2974019000.0,1639750000.0,1334269000.0,619780000.0,697400000.0,31523000.0,17699000.0,38100000.0,661757000.0,149343000.0,512400000.0,512742000.0,6.71,0.4486,0.2345,0.2225,0.1724,0.1494,833096000.0,697400000.0,6.712,6.7426,6.7426,512400000.0,512414000.0,0.2801,0.1721,IEX
2022-03-31 00:00:00,2863919000.0,1580450000.0,1283469000.0,596880000.0,669100000.0,35644000.0,-15201000.0,39800000.0,614557000.0,138043000.0,476500000.0,476742000.0,6.23,0.4482,0.2336,0.2146,0.1665,0.1633,795896000.0,669100000.0,6.235,6.2654,6.2654,476500000.0,476514000.0,0.2779,0.1871,IEX
2021-12-31 00:00:00,2764819000.0,1531250000.0,1233569000.0,577480000.0,637000000.0,37779000.0,-28901000.0,41000000.0,579757000.0,130443000.0,449300000.0,449442000.0,5.88,0.4462,0.2304,0.2097,0.1626,0.1782,756796000.0,637000000.0,5.8809,5.9118,5.9118,449300000.0,449314000.0,0.2737,0.2045,IEX
2021-09-30 00:00:00,2664795100.0,1476281900.0,1188513100.0,551130000.0,613952100.0,46410000.0,-35047000.0,42242000.0,556388000.0,124684000.0,431690000.0,431732000.0,5.66,0.446,0.2304,0.2088,0.162,0.1891,722785100.0,613952100.0,5.6377,5.6751,5.6751,431690000.0,431704000.0,0.2712,0.2115,IEX
2021-06-30 00:00:00,2533889100.0,1414544900.0,1119344100.0,522020000.0,583965100.0,48423000.0,-57359000.0,43384000.0,526606000.0,106768000.0,419838000.0,419838000.0,5.53,0.4417,0.2305,0.2078,0.1657,0.1964,674566100.0,583965100.0,5.4924,5.5309,5.5309,419838000.0,419838000.0,0.2662,0.2213,IEX
2021-03-31 00:00:00,2409138100.0,1361093900.0,1048044100.0,497785000.0,536259100.0,49980000.0,-47858000.0,44623000.0,488401000.0,99899000.0,388502000.0,388502000.0,5.13,0.435,0.2226,0.2027,0.1613,0.2244,623119100.0,536259100.0,5.0879,5.1289,5.1289,388502000.0,388502000.0,0.2586,0.2465,IEX
2020-12-31 00:00:00,2351600100.0,1324199900.0,1027400100.0,494900000.0,520700100.0,47834000.0,-50400000.0,44800000.0,470300000.0,92500000.0,377800000.0,377800000.0,5.0,0.4369,0.2214,0.2,0.1607,0.2201,605900100.0,520700100.0,4.9449,4.9908,4.9908,377800000.0,377800000.0,0.2577,0.2421,IEX
2020-09-30 00:00:00,2342848100.0,1317741100.0,1025107000.0,495513000.0,515918300.0,,-53416000.0,44996000.0,462502000.0,88963000.0,373539000.0,373539000.0,4.95,0.4375,0.2202,0.1974,0.1594,0.2163,599184300.0,515918200.0,4.8953,4.9444,4.9444,373539000.0,373539000.0,0.2558,0.2386,IEX
2020-06-30 00:00:00,2385981100.0,1330396100.0,1055585000.0,506400000.0,526470300.0,,-56027000.0,45684000.0,470443000.0,95558000.0,374885000.0,374885000.0,4.96,0.4424,0.2207,0.1972,0.1571,0.2169,607877300.0,526470200.0,4.9019,4.9559,4.9559,374885000.0,374885000.0,0.2548,0.2357,IEX
2020-03-31 00:00:00,2466831100.0,1353709100.0,1113122000.0,520963000.0,571159300.0,,-47761000.0,44256000.0,523398000.0,106168000.0,417230000.0,417230000.0,5.52,0.4512,0.2315,0.2122,0.1691,0.1917,650805300.0,571159200.0,5.4507,5.5135,5.5135,417230000.0,417230000.0,0.2638,0.2125,IEX
2019-12-31 00:00:00,2494600100.0,1369600100.0,1125000000.0,525000000.0,579000300.0,,-46100000.0,44300000.0,532900000.0,107400000.0,425500000.0,425500000.0,5.63,0.451,0.2321,0.2136,0.1706,0.1913,657300300.0,579000200.0,5.5621,5.6284,5.6284,425500000.0,425500000.0,0.2635,0.2117,IEX
2019-09-30 00:00:00,2502670100.0,1370877900.0,1131792200.0,529607000.0,584271200.0,,-44579000.0,44298000.0,539692000.0,112884000.0,426808000.0,426808000.0,5.64,0.4522,0.2335,0.2156,0.1705,0.1912,661278200.0,584271100.0,5.5744,5.6411,5.6411,426808000.0,426808000.0,0.2642,0.212,IEX
2019-06-30 00:00:00,2501312100.0,1371264900.0,1130047200.0,531829000.0,587639200.0,,-43922000.0,43926000.0,543717000.0,115751000.0,427966000.0,427966000.0,5.64,0.4518,0.2349,0.2174,0.1711,0.1787,663719200.0,587639100.0,5.5693,5.6405,5.6405,427966000.0,427966000.0,0.2653,0.2026,IEX
2019-03-31 00:00:00,2493573100.0,1368495900.0,1125077200.0,534449000.0,580187200.0,,-44379000.0,44055000.0,535808000.0,113925000.0,421883000.0,421883000.0,5.54,0.4512,0.2327,0.2149,0.1692,0.1758,656671200.0,580187100.0,5.4659,5.5398,5.5398,421883000.0,421883000.0,0.2633,0.199,IEX
2018-12-31 00:00:00,2483666100.0,1365770900.0,1117895200.0,536724000.0,569088200.0,,-40149000.0,44134000.0,528939000.0,118366000.0,410573000.0,410573000.0,5.37,0.4501,0.2291,0.213,0.1653,0.1706,647964200.0,569088100.0,5.2934,5.3731,5.3731,410573000.0,410573000.0,0.2609,0.193,IEX
2018-09-30 00:00:00,2455476100.0,1350342100.0,1105134000.0,537603000.0,564895000.0,,-41179000.0,44067000.0,523716000.0,117534000.0,406182000.0,406182000.0,5.31,0.4501,0.2301,0.2133,0.1654,0.1659,645864000.0,564895000.0,5.2293,5.3128,5.3128,406182000.0,406182000.0,0.263,0.1881,IEX
