Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,7243000000.0,1971000000.0,5272000000.0,2276000000.0,1674000000.0,1335000000.0,,88000000.0,1310000000.0,409000000.0,901000000.0,901000000.0,3.21,0.7279,0.1843,0.1809,0.1244,0.2175,1854000000.0,1335000000.0,3.207,3.2235,3.2235,901000000.0,901000000.0,0.256,0.2469,EA
2022-06-30 00:00:00,7183000000.0,2029000000.0,5154000000.0,2260000000.0,1668000000.0,1248000000.0,58000000.0,-15000000.0,1209000000.0,313000000.0,896000000.0,896000000.0,3.16,0.7175,0.1737,0.1683,0.1247,0.2452,1721000000.0,1248000000.0,3.1597,3.1796,3.1796,896000000.0,896000000.0,0.2396,0.2734,EA
2022-03-31 00:00:00,6986000000.0,1991000000.0,4995000000.0,2206000000.0,1626000000.0,1129000000.0,58000000.0,-28000000.0,1081000000.0,292000000.0,789000000.0,789000000.0,2.76,0.715,0.1616,0.1547,0.1129,0.2449,1609000000.0,1129000000.0,2.7588,2.7782,2.7782,789000000.0,789000000.0,0.2303,0.2718,EA
2021-12-31 00:00:00,6518000000.0,1850000000.0,4668000000.0,2069000000.0,1586000000.0,939000000.0,55000000.0,-70000000.0,890000000.0,250000000.0,640000000.0,640000000.0,2.22,0.7162,0.1441,0.1365,0.0982,0.2547,1362000000.0,939000000.0,2.2243,2.2392,2.2392,640000000.0,640000000.0,0.209,0.2801,EA
2021-09-30 00:00:00,6414000000.0,1759000000.0,4655000000.0,1983000000.0,1495000000.0,1088000000.0,52000000.0,-51000000.0,1044000000.0,259000000.0,785000000.0,785000000.0,2.72,0.7258,0.1696,0.1628,0.1224,0.1977,1421000000.0,1088000000.0,2.7153,2.7336,2.7336,785000000.0,785000000.0,0.2215,0.2208,EA
2021-06-30 00:00:00,5721000000.0,1521000000.0,4200000000.0,1855000000.0,1383000000.0,897000000.0,48000000.0,-40000000.0,857000000.0,181000000.0,676000000.0,676000000.0,2.34,0.7341,0.1568,0.1498,0.1182,0.2243,1146000000.0,897000000.0,2.3223,2.3421,2.3421,676000000.0,676000000.0,0.2003,0.247,EA
2021-03-31 00:00:00,5629000000.0,1494000000.0,4135000000.0,1778000000.0,1281000000.0,1046000000.0,45000000.0,-29000000.0,1017000000.0,180000000.0,837000000.0,837000000.0,2.9,0.7346,0.1858,0.1807,0.1487,0.3215,1227000000.0,1046000000.0,2.8664,2.8962,2.8962,837000000.0,837000000.0,0.218,0.3436,EA
2020-12-31 00:00:00,5670000000.0,1444000000.0,4226000000.0,1712000000.0,1220000000.0,1272000000.0,45000000.0,-6000000.0,1266000000.0,87000000.0,1179000000.0,1179000000.0,4.08,0.7453,0.2243,0.2233,0.2079,0.34,1434000000.0,1272000000.0,4.0912,4.1428,4.1428,1179000000.0,1179000000.0,0.2529,0.3635,EA
2020-09-30 00:00:00,5590000000.0,1351000000.0,4239000000.0,1650000000.0,1183000000.0,1382000000.0,44000000.0,13000000.0,1395000000.0,81000000.0,1314000000.0,1314000000.0,4.53,0.7583,0.2472,0.2496,0.2351,0.3417,1537000000.0,1382000000.0,4.5455,4.6001,4.6001,1314000000.0,1314000000.0,0.275,0.3651,EA
2020-06-30 00:00:00,5787000000.0,1470000000.0,4317000000.0,1616000000.0,1174000000.0,1501000000.0,,39000000.0,1540000000.0,-443000000.0,1983000000.0,1983000000.0,6.78,0.746,0.2594,0.2661,0.3427,0.3256,1651000000.0,1501000000.0,6.7992,6.8549,6.8549,1983000000.0,1983000000.0,0.2853,0.3485,EA
