Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Non-operating Income/Expense,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,6118000000.0,1986000000.0,4131000000.0,812000000.0,1672599900.0,1654999800.0,-31000000.0,1666000000.0,276000000.0,1390400200.0,1379000000.0,3.79,0.6752,0.2705,0.2723,0.2254,0.1757,1999000000.0,1654999900.0,3.8096,3.8889,3.8889,1390400200.0,1391000000.0,0.3267,0.2649,ISRG
2022-06-30 00:00:00,5964000000.0,1913000000.0,4050000000.0,760000000.0,1598499900.0,1698699800.0,-11000000.0,1724000000.0,272000000.0,1452900200.0,1436000000.0,3.93,0.6791,0.2848,0.2891,0.2408,0.217,2035000000.0,1698699900.0,3.9645,4.0602,4.0602,1452900200.0,1453000000.0,0.3412,0.2915,ISRG
2022-03-31 00:00:00,5906000000.0,1852300000.0,4052700000.0,715300000.0,1530299900.0,1812299800.0,37000000.0,1843200000.0,182200000.0,1662300200.0,1645200000.0,4.5333,0.6862,0.3069,0.3121,0.2786,0.2446,2142900000.0,1812299900.0,4.536,4.6548,4.6548,1662300200.0,1662000000.0,0.3628,0.3107,ISRG
2021-12-31 00:00:00,5710100000.0,1761800000.0,3948300000.0,665100000.0,1465199900.0,1820999800.0,53000000.0,1890000000.0,162800000.0,1728100200.0,1705500000.0,4.7366,0.6915,0.3189,0.331,0.2987,0.304,2144300000.0,1820999900.0,4.7242,4.8528,4.8528,1728100200.0,1728200000.0,0.3755,0.3659,ISRG
2021-09-30 00:00:00,5488200000.0,1697100100.0,3791100000.0,636900000.0,1368400000.0,1786400000.0,61700000.0,1872500000.0,163700000.0,1709000000.0,1689700000.0,4.7333,0.6908,0.3255,0.3412,0.3079,0.3434,2110600000.0,1786399900.0,4.689,4.8168,4.8168,1709000000.0,1708800000.0,0.3846,0.3916,ISRG
2021-06-30 00:00:00,5162900000.0,1616500100.0,3546399900.0,626900000.0,1305300000.0,1614199900.0,152500000.0,1766700000.0,128100000.0,1638600000.0,1622600000.0,4.5866,0.6869,0.3127,0.3422,0.3143,0.3219,1929399900.0,1614199800.0,4.5088,4.6316,4.6316,1638600000.0,1638600000.0,0.3737,0.3723,ISRG
2021-03-31 00:00:00,4551000000.0,1525400100.0,3025599900.0,607800000.0,1234200000.0,1183599900.0,164100000.0,1347700000.0,161900000.0,1185800000.0,1173400000.0,3.3266,0.6648,0.2601,0.2961,0.2578,0.2889,1485799900.0,1183599800.0,3.271,3.3616,3.3616,1185800000.0,1185800000.0,0.3265,0.3537,ISRG
2020-12-31 00:00:00,4358400000.0,1497200100.0,2861199900.0,595100000.0,1216300000.0,1049799900.0,157200000.0,1207000000.0,140200000.0,1066800000.0,1060600000.0,3.02,0.6565,0.2409,0.2769,0.2433,0.2623,1343099900.0,1049799800.0,2.9552,3.0384,3.0384,1066800000.0,1066800000.0,0.3082,0.3407,ISRG
2020-09-30 00:00:00,4307000000.0,1445599900.0,2861399900.0,601900000.0,1227900000.0,1031599900.0,170600000.0,1202200000.0,136300000.0,1065900000.0,1053100100.0,3.0133,0.6644,0.2395,0.2791,0.2445,0.2295,1308099900.0,1031599900.0,2.9609,3.0504,3.0504,1065900000.0,1065900100.0,0.3037,0.3274,ISRG
2020-06-30 00:00:00,4357500000.0,1434799900.0,2922700000.0,582800000.0,1213000000.0,1126900000.0,119100000.0,1246000000.0,98200000.0,1147800000.0,1136000100.0,3.2667,0.6707,0.2586,0.2859,0.2607,0.2496,1384199900.0,1126900000.0,3.1995,3.302,3.302,1147800000.0,1147800100.0,0.3177,0.3515,ISRG
2020-03-31 00:00:00,4604300000.0,1425499900.0,3178800000.0,560400000.0,1213100000.0,1405300000.0,125300000.0,1530600000.0,136600000.0,1394000000.0,1386300100.0,3.9934,0.6904,0.3052,0.3324,0.3011,0.261,1645899900.0,1405300000.0,3.888,4.0156,4.0156,1394000000.0,1394000100.0,0.3575,0.3514,ISRG
2019-12-31 00:00:00,4478500000.0,1368299900.0,3110200000.0,557300000.0,1178400000.0,1374500000.0,127700000.0,1502200000.0,120400000.0,1381800000.0,1379300100.0,3.9867,0.6945,0.3069,0.3354,0.308,0.2618,1590599900.0,1374500000.0,3.8555,3.9913,3.9913,1381800000.0,1381800100.0,0.3552,0.3569,ISRG
2019-09-30 00:00:00,4247300000.0,1297400000.0,2949899800.0,520600000.0,1120400000.0,1308900000.0,120400000.0,1429300000.0,118900000.0,1310400000.0,1314100000.0,3.81,0.6945,0.3082,0.3365,0.3094,0.2459,1493099900.0,1308900200.0,3.6581,3.7949,3.7949,1310400000.0,1310400000.0,0.3515,0.3258,ISRG
2019-06-30 00:00:00,4040000000.0,1233400000.0,2806599800.0,492300000.0,1057800000.0,1256500000.0,109000000.0,1365500000.0,162000000.0,1203500000.0,1209800000.0,3.52,0.6947,0.311,0.338,0.2995,0.2494,1423300100.0,1256500200.0,3.3601,3.4965,3.4965,1203500000.0,1203500000.0,0.3523,0.3235,ISRG
2019-03-31 00:00:00,3850400000.0,1170500000.0,2679899800.0,466600000.0,1038400000.0,1174900000.0,94400000.0,1269300000.0,127600000.0,1141700000.0,1146800000.0,3.35,0.696,0.3051,0.3297,0.2978,0.2495,1317800100.0,1174900200.0,3.1923,3.3303,3.3303,1141700000.0,1141700000.0,0.3423,0.3175,ISRG
2018-12-31 00:00:00,3724200000.0,1120100000.0,2604099800.0,418100000.0,986600000.0,1199400000.0,80100000.0,1279500000.0,154500000.0,1125000000.0,1127900000.0,3.31,0.6992,0.3221,0.3436,0.3029,0.2637,1332800100.0,1199400200.0,3.1566,3.2981,3.2981,1125000000.0,1125000000.0,0.3579,0.3141,ISRG
2018-09-30 00:00:00,3569699900.0,1067300000.0,2502399900.0,385300000.0,920700000.0,1196399800.0,65600000.0,1262000000.0,459800000.0,802200000.0,803900000.0,2.34,0.701,0.3352,0.3535,0.2252,0.2803,1324299800.0,1196399900.0,2.2475,2.3535,2.3535,802200000.0,802200000.0,0.371,0.3259,ISRG
2018-06-30 00:00:00,3456599900.0,1028400000.0,2428199900.0,361100000.0,903400000.0,1163699800.0,54500000.0,1218200000.0,409200000.0,809000000.0,810000000.0,2.37,0.7025,0.3367,0.3524,0.2343,0.2981,1282399700.0,1163699900.0,2.2837,2.3906,2.3906,809000000.0,809000000.0,0.371,0.3465,ISRG
2018-03-31 00:00:00,3306099900.0,980100000.0,2325999900.0,350600000.0,829200000.0,1146199800.0,46400000.0,1192600000.0,415200000.0,777400000.0,777700000.0,2.2856,0.7035,0.3467,0.3607,0.2352,0.3039,1258399700.0,1146199900.0,2.2128,2.3126,2.3126,777400000.0,777400000.0,0.3806,0.3577,ISRG
2017-12-31 00:00:00,3138199900.0,936200000.0,2201999900.0,328600000.0,810500000.0,1062899800.0,41900000.0,1104800000.0,433900000.0,670900000.0,670900000.0,1.9712,0.7017,0.3387,0.352,0.2138,0.3037,1172899700.0,1062899900.0,1.923,2.0022,2.0022,670900000.0,670900000.0,0.3737,0.3645,ISRG
2017-09-30 00:00:00,3005200000.0,907199900.0,2098000100.0,310600000.0,784600000.0,1002800100.0,41300000.0,1044100000.0,135300000.0,908800000.0,908800000.0,2.6723,0.6981,0.3337,0.3474,0.3024,0.3208,1090400100.0,1002800100.0,2.5995,2.6974,2.6974,908800000.0,908800000.0,0.3628,0.3799,ISRG
2017-06-30 00:00:00,2880300000.0,863399900.0,2016900100.0,289800000.0,748500000.0,978600100.0,40900000.0,1019500000.0,198300000.0,821200000.0,821200000.0,2.3912,0.7002,0.3398,0.354,0.2851,0.3178,1069800100.0,978600100.0,2.3378,2.4129,2.4129,821200000.0,821200000.0,0.3714,0.3668,ISRG
2017-03-31 00:00:00,2791600000.0,833899900.0,1957700100.0,259900000.0,733700000.0,964100100.0,38800000.0,1002900000.0,220200000.0,782700000.0,782700000.0,2.2612,0.7013,0.3454,0.3593,0.2804,0.3598,1066100100.0,964100100.0,2.2155,2.2784,2.2784,782700000.0,782700000.0,0.3819,0.3946,ISRG
2016-12-31 00:00:00,2706500000.0,813599900.0,1892900100.0,239600000.0,703600000.0,949700100.0,35600000.0,985300000.0,247000000.0,738300000.0,738300000.0,2.1278,0.6994,0.3509,0.364,0.2728,0.3817,1051900100.0,949700100.0,2.0874,2.1418,2.1418,738300000.0,738300000.0,0.3887,0.4016,ISRG
2016-09-30 00:00:00,2624000000.0,802300000.0,1821700000.0,223100000.0,671900000.0,926699900.0,29800000.0,956500000.0,234600000.0,721900000.0,721900000.0,2.109,0.6942,0.3532,0.3645,0.2751,0.3884,1053499900.0,926699900.0,2.063,2.1094,2.1094,721900000.0,721900000.0,0.4015,0.4097,ISRG
2016-06-30 00:00:00,2530800000.0,800300000.0,1730500000.0,211500000.0,658800000.0,860199900.0,23100000.0,883300000.0,205100000.0,678200000.0,678200000.0,2.0023,0.6838,0.3399,0.349,0.268,0.3622,997899900.0,860199900.0,1.9617,2.002,2.002,678200000.0,678200000.0,0.3943,0.3896,ISRG
2016-03-31 00:00:00,2446800000.0,800700000.0,1646100000.0,206200000.0,651300000.0,788599900.0,19700000.0,808300000.0,180100000.0,628200000.0,628200000.0,1.8711,0.6728,0.3223,0.3303,0.2567,0.3424,915999900.0,788599900.0,1.8341,1.8718,1.8718,628200000.0,628200000.0,0.3744,0.3716,ISRG
2015-12-31 00:00:00,2384400000.0,806500000.0,1577900000.0,197400000.0,640500000.0,739999900.0,18500000.0,758500000.0,169700000.0,588800000.0,588800000.0,1.7622,0.6618,0.3104,0.3181,0.2469,0.3041,855899900.0,739999900.0,1.7263,1.7635,1.7635,588800000.0,588800000.0,0.359,0.3381,ISRG
2015-09-30 00:00:00,2312599900.0,800100000.0,1512499800.0,192100000.0,640200000.0,680199900.0,11300000.0,691500000.0,145900000.0,545600000.0,545600000.0,1.6444,0.654,0.2941,0.299,0.2359,0.2405,817799900.0,680199900.0,1.5991,1.6358,1.6358,545600000.0,545600000.0,0.3536,0.2952,ISRG
2015-06-30 00:00:00,2272999900.0,795700000.0,1477299800.0,188600000.0,639300000.0,649399900.0,9600000.0,659000000.0,157000000.0,502000000.0,502000000.0,1.5266,0.6499,0.2857,0.2899,0.2209,0.2384,764799900.0,649399900.0,1.4824,1.5181,1.5181,502000000.0,502000000.0,0.3365,0.2875,ISRG
2015-03-31 00:00:00,2199099900.0,763900000.0,1435199800.0,179400000.0,637200000.0,618599900.0,4600000.0,623200000.0,151700000.0,471500000.0,471500000.0,1.4355,0.6526,0.2813,0.2834,0.2144,0.23,730099900.0,618599900.0,1.3943,1.4263,1.4263,471500000.0,471500000.0,0.332,0.2831,ISRG
2014-12-31 00:00:00,2131699900.0,717900000.0,1413799800.0,178000000.0,691000000.0,544799900.0,4200000.0,549000000.0,130200000.0,418800000.0,418800000.0,1.2711,0.6632,0.2556,0.2575,0.1965,0.2625,653099900.0,544799900.0,1.2343,1.2611,1.2611,418800000.0,418800000.0,0.3064,0.312,ISRG
2014-09-30 00:00:00,2103200100.0,684800000.0,1418400000.0,172400000.0,678700000.0,567300000.0,11400000.0,578700100.0,140500000.0,438200000.0,438200000.0,1.3077,0.6744,0.2697,0.2752,0.2083,0.2999,647700000.0,567300000.0,1.2814,1.3091,1.3091,438200000.0,438200000.0,0.308,0.3328,ISRG
2014-06-30 00:00:00,2052100100.0,637600000.0,1414500000.0,168100000.0,664000000.0,582400000.0,13300000.0,595700100.0,124400000.0,471300000.0,471300000.0,1.3777,0.6893,0.2838,0.2903,0.2297,0.3234,667900000.0,582400000.0,1.3522,1.3798,1.3798,471300000.0,471300000.0,0.3255,0.367,ISRG
2014-03-31 00:00:00,2118400100.0,643100000.0,1475300000.0,169100000.0,648300000.0,657900000.0,18000000.0,675900100.0,149500000.0,526400000.0,526400000.0,1.5077,0.6964,0.3106,0.3191,0.2485,0.3268,753200000.0,657900000.0,1.4782,1.5097,1.5097,526400000.0,526400000.0,0.3556,0.3721,ISRG
