Date,Revenue,Cost of Revenue,Gross Profit,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,64722000000.0,56315000000.0,8407000000.0,8510000000.0,567000000.0,-1530000000.0,567000000.0,6980000000.0,1111000000.0,5869000000.0,5869000000.0,21.85,0.1299,0.1315,0.1078,0.0907,0.1322,9840000000.0,8510000000.0,21.7688,,21.8512,,21.8538,5869000000.0,,5869000000.0,0.152,0.1567,LMT
2022-06-30 00:00:00,64167000000.0,55578000000.0,8589000000.0,8645000000.0,563000000.0,-3085000000.0,563000000.0,5560000000.0,855000000.0,4705000000.0,4705000000.0,17.34,0.1339,0.1347,0.0866,0.0733,0.1161,10011000000.0,8645000000.0,17.2761,,17.3419,,17.3445,4705000000.0,,4705000000.0,0.156,0.1394,LMT
2022-03-31 00:00:00,65750000000.0,56966000000.0,8784000000.0,8874000000.0,564000000.0,-1474000000.0,564000000.0,7400000000.0,1189000000.0,6211000000.0,6211000000.0,22.72,0.1336,0.135,0.1125,0.0945,0.1122,10231000000.0,8874000000.0,22.6369,,22.7223,,22.7249,6211000000.0,,6211000000.0,0.1556,0.1351,LMT
2021-12-31 00:00:00,67044000000.0,57983000000.0,9061000000.0,9123000000.0,569000000.0,-1573000000.0,569000000.0,7550000000.0,1235000000.0,6315000000.0,6315000000.0,22.84,0.1352,0.1361,0.1126,0.0942,0.1148,10487000000.0,9123000000.0,22.76,-0.2,22.8473,-0.2,22.8499,6315000000.0,-55000000.0,6315000000.0,0.1564,0.1375,LMT
2021-09-30 00:00:00,66347000000.0,57494000000.0,8853000000.0,8957000000.0,572000000.0,-1710000000.0,572000000.0,7247000000.0,1189000000.0,6058000000.0,6058000000.0,21.75,0.1334,0.135,0.1092,0.0913,0.0772,10319000000.0,8957000000.0,21.678,-0.22,21.7591,-0.23,21.755,6058000000.0,-63000000.0,6058000000.0,0.1555,0.1019,LMT
2021-06-30 00:00:00,66814000000.0,58127000000.0,8687000000.0,8810000000.0,576000000.0,-186000000.0,576000000.0,8624000000.0,1427000000.0,7197000000.0,7142000000.0,25.61,0.13,0.1319,0.1291,0.1069,0.0744,10162000000.0,8810000000.0,25.7138,,25.6156,,25.812,7197000000.0,,7142000000.0,0.1521,0.1003,LMT
2021-03-31 00:00:00,66005000000.0,57256000000.0,8749000000.0,8704000000.0,583000000.0,-288000000.0,583000000.0,8416000000.0,1408000000.0,7008000000.0,6953000000.0,24.88,0.1326,0.1319,0.1275,0.1053,0.0888,10029000000.0,8704000000.0,24.985,,24.884,,25.0804,7008000000.0,,6953000000.0,0.1519,0.1154,LMT
2020-12-31 00:00:00,65398000000.0,56744000000.0,8654000000.0,8644000000.0,591000000.0,-409000000.0,591000000.0,8235000000.0,1347000000.0,6888000000.0,6833000000.0,24.4,0.1323,0.1322,0.1259,0.1045,0.0981,9934000000.0,8644000000.0,24.5,,24.4036,,24.6,6888000000.0,,6833000000.0,0.1519,0.1251,LMT
2020-09-30 00:00:00,64244000000.0,55681000000.0,8563000000.0,8504000000.0,599000000.0,-624000000.0,599000000.0,7880000000.0,1286000000.0,6594000000.0,6539000000.0,23.31,0.1333,0.1324,0.1227,0.1018,0.0962,9753000000.0,8504000000.0,23.4109,4.1,23.3209,4.15,23.5213,6594000000.0,1243000000.0,6539000000.0,0.1518,0.1224,LMT
2020-06-30 00:00:00,62920000000.0,54430000000.0,8490000000.0,8462000000.0,,-857000000.0,616000000.0,7605000000.0,1156000000.0,6449000000.0,6449000000.0,22.93,0.1349,0.1345,0.1209,0.1025,0.1095,9694000000.0,8462000000.0,22.8209,,22.9435,,22.9413,6449000000.0,,6449000000.0,0.1541,0.1347,LMT
2020-03-31 00:00:00,61127000000.0,52857000000.0,8270000000.0,8384000000.0,,-1058000000.0,630000000.0,7326000000.0,1083000000.0,6243000000.0,6243000000.0,22.15,0.1353,0.1372,0.1198,0.1021,0.1058,9597000000.0,8384000000.0,22.0321,,22.1641,,22.1619,6243000000.0,,6243000000.0,0.157,0.1303,LMT
2019-12-31 00:00:00,59812000000.0,51445000000.0,8367000000.0,8545000000.0,,-1304000000.0,653000000.0,7241000000.0,1011000000.0,6230000000.0,6230000000.0,22.08,0.1399,0.1429,0.1211,0.1042,0.0974,9734000000.0,8545000000.0,21.9501,,22.0922,,22.09,6230000000.0,,6230000000.0,0.1627,0.1222,LMT
