Date,Revenue,Cost of Revenue,Gross Profit,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2019-09-30 00:00:00,58345000000.0,50159000000.0,8186000000.0,8247000000.0,,-1355000000.0,667000000.0,6892000000.0,907000000.0,5985000000.0,5985000000.0,21.19,0.1403,0.1413,0.1181,0.1026,0.1155,9418000000.0,8247000000.0,21.0381,4.69,21.1879,4.75,21.1894,5985000000.0,1420000000.0,5985000000.0,0.1614,0.1378,LMT
2019-06-30 00:00:00,57492000000.0,49448000000.0,8044000000.0,8105000000.0,,-1419000000.0,682000000.0,6686000000.0,836000000.0,5850000000.0,5850000000.0,20.67,0.1399,0.141,0.1163,0.1018,0.0796,9265000000.0,8105000000.0,20.5159,,20.6669,,20.6705,5850000000.0,,5850000000.0,0.1612,0.1028,LMT
2019-03-31 00:00:00,56463000000.0,48659000000.0,7804000000.0,7892000000.0,,-1469000000.0,684000000.0,6423000000.0,830000000.0,5593000000.0,5593000000.0,19.72,0.1382,0.1398,0.1138,0.0991,0.05,9051000000.0,7892000000.0,19.565,,19.7157,,19.7193,5593000000.0,,5593000000.0,0.1603,0.0738,LMT
2018-12-31 00:00:00,53762000000.0,46488000000.0,7274000000.0,7334000000.0,,-1496000000.0,668000000.0,5838000000.0,792000000.0,5046000000.0,5046000000.0,17.74,0.1353,0.1364,0.1086,0.0939,0.0346,8495000000.0,7334000000.0,17.5901,,17.7363,,17.7399,5046000000.0,,5046000000.0,0.158,0.0584,LMT
2018-09-30 00:00:00,53195000000.0,46154000000.0,7041000000.0,7432000000.0,,-1505000000.0,671000000.0,5927000000.0,2951000000.0,2976000000.0,3049000000.0,11.06,0.1324,0.1397,0.1114,0.0573,0.0208,8604000000.0,7432000000.0,10.4126,,10.7499,,10.4892,2976000000.0,,3049000000.0,0.1617,0.0457,LMT
2018-06-30 00:00:00,51218000000.0,44498000000.0,6720000000.0,7146000000.0,,-1497000000.0,656000000.0,5649000000.0,3183000000.0,2466000000.0,2539000000.0,9.15,0.1312,0.1395,0.1103,0.0496,0.0511,8326000000.0,7146000000.0,8.5955,,8.923,,8.6623,2466000000.0,,2539000000.0,0.1626,0.0747,LMT
2018-03-31 00:00:00,50383000000.0,43760000000.0,6623000000.0,7067000000.0,,-1496000000.0,651000000.0,5571000000.0,3313000000.0,2258000000.0,2331000000.0,8.34,0.1315,0.1403,0.1106,0.0463,0.0837,8256000000.0,7067000000.0,7.8241,,8.1525,,7.8918,2258000000.0,,2331000000.0,0.1639,0.108,LMT
2017-12-31 00:00:00,49960000000.0,43589000000.0,6371000000.0,6744000000.0,,-1498000000.0,651000000.0,5246000000.0,3356000000.0,1890000000.0,1963000000.0,6.92,0.1275,0.135,0.105,0.0393,0.1061,7939000000.0,6744000000.0,6.5,,6.8207,,6.56,1890000000.0,,1963000000.0,0.1589,0.1296,LMT
2017-09-30 00:00:00,49910000000.0,43556000000.0,6354000000.0,6562000000.0,,-1765000000.0,648000000.0,4797000000.0,1223000000.0,3574000000.0,3566000000.0,12.56,0.1273,0.1315,0.0961,0.0714,0.0919,7769000000.0,6562000000.0,12.2249,,12.3277,,12.3551,3574000000.0,,3566000000.0,0.1557,0.1141,LMT
2017-06-30 00:00:00,49120000000.0,42982000000.0,6138000000.0,6473000000.0,,-1546000000.0,648000000.0,4927000000.0,1227000000.0,3700000000.0,4998000000.0,17.31,0.125,0.1318,0.1003,0.1018,0.0842,7676000000.0,6473000000.0,12.5142,,16.997,,12.6409,3700000000.0,,4998000000.0,0.1563,0.1071,LMT
2017-03-31 00:00:00,48134000000.0,42422000000.0,5712000000.0,6132000000.0,,-1337000000.0,653000000.0,4795000000.0,1151000000.0,3644000000.0,5064000000.0,17.41,0.1187,0.1274,0.0996,0.1052,0.0853,7336000000.0,6132000000.0,12.1647,,17.0553,,12.3007,3644000000.0,,5064000000.0,0.1524,0.1078,LMT
2016-12-31 00:00:00,47290000000.0,41889000000.0,5401000000.0,5888000000.0,,-1134000000.0,663000000.0,4754000000.0,1093000000.0,3661000000.0,5173000000.0,17.39,0.1142,0.1245,0.1005,0.1094,0.0872,7103000000.0,5888000000.0,12.08,4.99,17.2837,5.05,12.23,3661000000.0,1512000000.0,5173000000.0,0.1502,0.1097,LMT
2016-09-30 00:00:00,42218000000.0,37748000000.0,4470000000.0,4840000000.0,,-608000000.0,634000000.0,4232000000.0,875000000.0,3357000000.0,5247000000.0,17.05,0.1059,0.1146,0.1002,0.1243,0.1127,6028000000.0,4840000000.0,10.979,6.19,17.3928,6.28,11.1187,3357000000.0,1890000000.0,5247000000.0,0.1428,0.138,LMT
2016-06-30 00:00:00,40727000000.0,36544000000.0,4183000000.0,4444000000.0,,-550000000.0,576000000.0,3894000000.0,870000000.0,3024000000.0,3717000000.0,11.83,0.1027,0.1091,0.0956,0.0913,0.1229,5573000000.0,4444000000.0,9.789,2.22,12.1741,2.25,9.9287,3024000000.0,693000000.0,3717000000.0,0.1368,0.1478,LMT
2016-03-31 00:00:00,40793000000.0,36469000000.0,4324000000.0,4514000000.0,,-487000000.0,515000000.0,4027000000.0,973000000.0,3054000000.0,3625000000.0,11.44,0.106,0.1107,0.0987,0.0889,0.1186,5592000000.0,4514000000.0,9.7979,1.92,11.7832,1.95,9.9363,3054000000.0,602000000.0,3625000000.0,0.1371,0.1425,LMT
2015-12-31 00:00:00,40536000000.0,36044000000.0,4492000000.0,4712000000.0,,-413000000.0,443000000.0,4299000000.0,1173000000.0,3126000000.0,3605000000.0,11.61,0.1108,0.1162,0.1061,0.0889,0.1027,5738000000.0,4712000000.0,9.9299,1.62,11.6179,1.65,10.0701,3126000000.0,510000000.0,3605000000.0,0.1416,0.1258,LMT
2015-09-30 00:00:00,38690000000.0,34263000000.0,4427000000.0,4755000000.0,,-380000000.0,388000000.0,4375000000.0,1269000000.0,3106000000.0,3576000000.0,11.43,0.1144,0.1229,0.1131,0.0924,0.0684,5749000000.0,4755000000.0,9.8015,0.38,11.4365,0.39,9.9439,3106000000.0,125000000.0,3576000000.0,0.1486,0.0914,LMT
2015-06-30 00:00:00,39744000000.0,35139000000.0,4605000000.0,4955000000.0,,-358000000.0,366000000.0,4597000000.0,1359000000.0,3238000000.0,3599000000.0,11.44,0.1159,0.1247,0.1157,0.0906,0.053,5960000000.0,4955000000.0,10.141,,11.4392,,10.3014,3238000000.0,,3599000000.0,0.15,0.0757,LMT
2015-03-31 00:00:00,39407000000.0,34832000000.0,4575000000.0,4936000000.0,,-341000000.0,347000000.0,4595000000.0,1397000000.0,3198000000.0,3559000000.0,11.27,0.1161,0.1253,0.1166,0.0903,0.0473,5937000000.0,4936000000.0,9.9621,,11.2678,,10.13,3198000000.0,,3559000000.0,0.1507,0.0691,LMT
2014-12-31 00:00:00,39946000000.0,35263000000.0,4683000000.0,5012000000.0,,-335000000.0,340000000.0,4677000000.0,1424000000.0,3253000000.0,3614000000.0,11.41,0.1172,0.1255,0.1171,0.0905,0.0756,6006000000.0,5012000000.0,10.09,,11.4078,,10.27,3253000000.0,,3614000000.0,0.1504,0.0968,LMT
2014-09-30 00:00:00,44603000000.0,39878000000.0,4725000000.0,5084000000.0,,-338000000.0,339000000.0,4746000000.0,1548000000.0,3198000000.0,3198000000.0,10.07,0.1059,0.114,0.1064,0.0717,0.0943,6096000000.0,5084000000.0,9.8914,,10.0667,,10.0643,3198000000.0,,3198000000.0,0.1367,0.1122,LMT
2014-06-30 00:00:00,44836000000.0,40202000000.0,4634000000.0,4946000000.0,,-338000000.0,341000000.0,4608000000.0,1456000000.0,3152000000.0,3183000000.0,9.98,0.1034,0.1103,0.1028,0.071,0.0916,5943000000.0,4946000000.0,9.7019,,9.9763,,9.8768,3152000000.0,,3183000000.0,0.1325,0.1096,LMT
2014-03-31 00:00:00,44938000000.0,40421000000.0,4517000000.0,4818000000.0,,-340000000.0,344000000.0,4478000000.0,1356000000.0,3122000000.0,3153000000.0,9.85,0.1005,0.1072,0.0996,0.0702,0.083,5813000000.0,4818000000.0,9.5777,,9.8478,,9.7483,3122000000.0,,3153000000.0,0.1294,0.1015,LMT
2013-12-31 00:00:00,45358000000.0,41171000000.0,4187000000.0,4505000000.0,,-350000000.0,350000000.0,4155000000.0,1205000000.0,2950000000.0,2981000000.0,9.3,0.0923,0.0993,0.0916,0.0657,0.0818,5495000000.0,4505000000.0,9.04,,9.2896,,9.1901,2950000000.0,,2981000000.0,0.1211,0.1002,LMT
2013-09-30 00:00:00,45924000000.0,41480000000.0,4444000000.0,4732000000.0,,-365000000.0,358000000.0,4367000000.0,1336000000.0,3031000000.0,3062000000.0,9.53,0.0968,0.103,0.0951,0.0667,0.0299,5713000000.0,4732000000.0,9.2798,0.14,9.5253,0.15,9.4254,3031000000.0,51000000.0,3062000000.0,0.1244,0.0499,LMT
2013-06-30 00:00:00,46446000000.0,42166000000.0,4280000000.0,4615000000.0,,-375000000.0,371000000.0,4240000000.0,1324000000.0,2916000000.0,2916000000.0,9.06,0.0922,0.0994,0.0913,0.0628,0.0441,5611000000.0,4615000000.0,8.9198,,9.0555,,9.0554,2916000000.0,,2916000000.0,0.1208,0.0639,LMT
2013-03-31 00:00:00,46959000000.0,42731000000.0,4228000000.0,4509000000.0,,-363000000.0,379000000.0,4146000000.0,1308000000.0,2838000000.0,2838000000.0,8.79,0.09,0.096,0.0883,0.0604,0.0484,5498000000.0,4509000000.0,8.6593,,8.7846,,8.7845,2838000000.0,,2838000000.0,0.1171,0.0679,LMT
2012-12-31 00:00:00,47182000000.0,42986000000.0,4196000000.0,4434000000.0,,-362000000.0,383000000.0,4072000000.0,1327000000.0,2745000000.0,2745000000.0,8.48,0.0889,0.094,0.0863,0.0582,0.0131,5422000000.0,4434000000.0,8.36,,8.4801,,8.48,2745000000.0,,2745000000.0,0.1149,0.0331,LMT
