Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,11278000000.0,,11003000000.0,186000000.0,8211000000.0,2139000000.0,5000000.0,,2022000000.0,513000000.0,1509000000.0,1503000000.0,6.98,0.9756,0.1897,0.1793,0.1333,0.0,,2139000000.0,7.0017,7.1875,7.1875,1509000000.0,1507000000.0,0.0,0.0,RJF
2022-06-30 00:00:00,10979000000.0,,10867000000.0,163000000.0,8186000000.0,2071000000.0,17000000.0,,1966000000.0,467000000.0,1499000000.0,1494000000.0,7.02,0.9898,0.1886,0.1791,0.1361,0.8038,2256000000.0,2071000000.0,7.0399,7.2365,7.2365,1499000000.0,1496000000.0,0.2055,0.8077,RJF
2022-03-31 00:00:00,10705000000.0,,10620000000.0,136000000.0,7978000000.0,1966000000.0,14000000.0,,1936000000.0,431000000.0,1505000000.0,1503000000.0,7.1333,0.9921,0.1837,0.1809,0.1404,1.1952,2130000000.0,1966000000.0,7.0946,7.2996,7.2996,1505000000.0,1503000000.0,0.199,1.2003,RJF
2021-12-31 00:00:00,10364000000.0,,10319000000.0,123000000.0,7751000000.0,1916000000.0,35000000.0,,1950000000.0,413000000.0,1537000000.0,1535000000.0,7.3333,0.9957,0.1849,0.1882,0.1481,0.1997,2083000000.0,1916000000.0,7.2543,7.462,7.462,1537000000.0,1535000000.0,0.201,0.2063,RJF
2021-09-30 00:00:00,9767000000.0,,9760000000.0,111000000.0,7356000000.0,1778000000.0,13000000.0,264000000.0,1791000000.0,388000000.0,1403000000.0,1401000000.0,6.7466,0.9993,0.182,0.1834,0.1434,0.6764,1927000000.0,1778000000.0,6.6431,6.8206,6.8206,1403000000.0,1402000000.0,0.1973,0.6839,RJF
2021-06-30 00:00:00,9144000000.0,,9144000000.0,103000000.0,6975000000.0,1550000000.0,-63000000.0,,1487000000.0,304000000.0,1183000000.0,1182000000.0,5.7466,1.0,0.1695,0.1626,0.1293,0.3738,1694000000.0,1550000000.0,5.6209,5.7506,5.7506,1183000000.0,1183000000.0,0.1853,0.3876,RJF
2021-03-31 00:00:00,8507000000.0,,8507000000.0,93000000.0,6573000000.0,1463000000.0,-163000000.0,,1300000000.0,252000000.0,1048000000.0,1047000000.0,5.0866,1.0,0.172,0.1528,0.1231,0.2036,1616000000.0,1463000000.0,4.9933,5.0953,5.0953,1048000000.0,1048000000.0,0.19,0.2171,RJF
2020-12-31 00:00:00,8203000000.0,,8203000000.0,113000000.0,6337000000.0,1396000000.0,-304000000.0,,1092000000.0,230000000.0,862000000.0,861000000.0,4.1799,1.0,0.1702,0.1331,0.105,0.6481,1565000000.0,1396000000.0,4.1157,4.1919,4.1919,862000000.0,862000000.0,0.1908,0.6618,RJF
2020-09-30 00:00:00,7990000000.0,,7990000000.0,134000000.0,6174000000.0,1338000000.0,-286000000.0,366000000.0,1052000000.0,234000000.0,818000000.0,817000000.0,3.9533,1.0,0.1675,0.1317,0.1023,0.4919,1514000000.0,1338000000.0,3.8898,3.9633,3.9633,818000000.0,818000000.0,0.1895,0.5074,RJF
2020-06-30 00:00:00,7788000000.0,,7788000000.0,159000000.0,6077000000.0,1198000000.0,-48000000.0,303000000.0,1150000000.0,276000000.0,874000000.0,872000000.0,4.2,1.0,0.1538,0.1477,0.112,0.4109,1370000000.0,1198000000.0,4.1323,4.2145,4.2145,874000000.0,874000000.0,0.1759,0.428,RJF
