Date,Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,21620000000.0,21056000000.0,8633000000.0,11907000000.0,445000000.0,354000000.0,30000000.0,11466000000.0,1682000000.0,9784000000.0,9784000000.0,10.01,0.9739,0.5507,0.5303,0.4525,0.4763,12966000000.0,11907000000.0,10.0078,10.0437,10.0437,9784000000.0,9784000000.0,0.5997,0.5219,MA
2022-06-30 00:00:00,20855000000.0,20476000000.0,8433000000.0,11512000000.0,436000000.0,49000000.0,19000000.0,11210000000.0,1511000000.0,9699000000.0,9699000000.0,9.87,0.9818,0.552,0.5375,0.4651,0.4322,12414000000.0,11512000000.0,9.8646,9.9024,9.9024,9699000000.0,9699000000.0,0.5953,0.4781,MA
2022-03-31 00:00:00,19887000000.0,19697000000.0,8210000000.0,10835000000.0,427000000.0,-56000000.0,118000000.0,10890000000.0,1400000000.0,9490000000.0,9490000000.0,9.62,0.9904,0.5448,0.5476,0.4772,0.4434,11927000000.0,10835000000.0,9.6074,9.6464,9.6464,9490000000.0,9490000000.0,0.5997,0.4919,MA
2021-12-31 00:00:00,18882000000.0,18884000000.0,7980000000.0,10082000000.0,425000000.0,-147000000.0,220000000.0,10307000000.0,1620000000.0,8687000000.0,8687000000.0,8.78,1.0001,0.5339,0.5459,0.4601,0.4581,11491000000.0,10082000000.0,8.7571,8.7925,8.7925,8687000000.0,8687000000.0,0.6086,0.5012,MA
2021-09-30 00:00:00,17788000000.0,17788000000.0,7647000000.0,9313000000.0,424000000.0,78000000.0,323000000.0,9652000000.0,1559000000.0,8093000000.0,8093000000.0,8.16,1.0,0.5236,0.5426,0.455,0.4379,11003000000.0,9313000000.0,8.1309,8.162,8.162,8093000000.0,8093000000.0,0.6186,0.4794,MA
2021-06-30 00:00:00,16640000000.0,16640000000.0,7187000000.0,8701000000.0,420000000.0,50000000.0,423000000.0,8751000000.0,1559000000.0,7192000000.0,7192000000.0,7.23,1.0,0.5229,0.5259,0.4322,0.4198,10596000000.0,8701000000.0,7.198,7.2252,7.2252,7192000000.0,7192000000.0,0.6368,0.459,MA
2021-03-31 00:00:00,15447000000.0,15447000000.0,6714000000.0,8067000000.0,417000000.0,-104000000.0,418000000.0,7963000000.0,1417000000.0,6546000000.0,6546000000.0,6.55,1.0,0.5222,0.5155,0.4238,0.4004,9839000000.0,8067000000.0,6.5282,6.5526,6.5526,6546000000.0,6546000000.0,0.637,0.442,MA
2020-12-31 00:00:00,15301000000.0,15301000000.0,6567000000.0,8081000000.0,380000000.0,-321000000.0,380000000.0,7760000000.0,1349000000.0,6411000000.0,6411000000.0,6.39,1.0,0.5281,0.5072,0.419,0.4259,9733000000.0,8081000000.0,6.3727,6.3982,6.3982,6411000000.0,6411000000.0,0.6361,0.4721,MA
2020-09-30 00:00:00,15595000000.0,15595000000.0,6569000000.0,8422000000.0,339000000.0,-355000000.0,339000000.0,8067000000.0,1341000000.0,6726000000.0,6726000000.0,6.68,1.0,0.54,0.5173,0.4313,0.4623,10010000000.0,8422000000.0,6.6626,6.6891,6.6891,6726000000.0,6726000000.0,0.6419,0.5098,MA
2020-06-30 00:00:00,16225000000.0,16225000000.0,6653000000.0,8972000000.0,,-286000000.0,297000000.0,8686000000.0,1365000000.0,7321000000.0,7321000000.0,7.25,1.0,0.553,0.5353,0.4512,0.4842,10530000000.0,8972000000.0,7.2258,7.2585,7.2585,7321000000.0,7321000000.0,0.649,0.5333,MA
2020-03-31 00:00:00,17003000000.0,17003000000.0,6786000000.0,9662000000.0,,-147000000.0,247000000.0,9515000000.0,1566000000.0,7949000000.0,7949000000.0,7.85,1.0,0.5683,0.5596,0.4675,0.4667,11244000000.0,9662000000.0,7.8151,7.852,7.852,7949000000.0,7949000000.0,0.6613,0.5134,MA
2019-12-31 00:00:00,16883000000.0,16883000000.0,6697000000.0,9664000000.0,,67000000.0,224000000.0,9731000000.0,1613000000.0,8118000000.0,8118000000.0,7.98,1.0,0.5724,0.5764,0.4808,0.4416,11327000000.0,9664000000.0,7.9432,7.9822,7.9822,8118000000.0,8118000000.0,0.6709,0.4847,MA
2019-09-30 00:00:00,16276000000.0,16276000000.0,6531000000.0,8499000000.0,,-28000000.0,207000000.0,8471000000.0,1554000000.0,6917000000.0,6917000000.0,6.77,1.0,0.5222,0.5205,0.425,0.3606,10216000000.0,8499000000.0,6.739,6.7766,6.7766,6917000000.0,6917000000.0,0.6277,0.4015,MA
2019-06-30 00:00:00,15707000000.0,15707000000.0,6327000000.0,8131000000.0,,70000000.0,192000000.0,8201000000.0,1493000000.0,6708000000.0,6708000000.0,6.52,1.0,0.5177,0.5221,0.4271,0.3801,9874000000.0,8131000000.0,6.491,6.5269,6.5269,6708000000.0,6708000000.0,0.6286,0.4168,MA
2019-03-31 00:00:00,15259000000.0,15259000000.0,6122000000.0,7670000000.0,,-66000000.0,189000000.0,7604000000.0,1375000000.0,6229000000.0,6229000000.0,6.01,1.0,0.5027,0.4983,0.4082,0.3919,9419000000.0,7670000000.0,5.9887,6.0234,6.0234,6229000000.0,6229000000.0,0.6173,0.426,MA
2018-12-31 00:00:00,14950000000.0,14950000000.0,6081000000.0,7282000000.0,,-78000000.0,186000000.0,7204000000.0,1345000000.0,5859000000.0,5859000000.0,5.62,1.0,0.4871,0.4819,0.3919,0.3825,8976000000.0,7282000000.0,5.5959,5.6282,5.6282,5859000000.0,5859000000.0,0.6004,0.4163,MA
2018-09-30 00:00:00,14455000000.0,14455000000.0,6053000000.0,7570000000.0,,-97000000.0,180000000.0,7473000000.0,2286000000.0,5187000000.0,5187000000.0,4.96,1.0,0.5237,0.517,0.3588,0.4297,9157000000.0,7570000000.0,4.947,4.9762,4.9762,5187000000.0,5187000000.0,0.6335,0.4645,MA
2018-06-30 00:00:00,13955000000.0,13955000000.0,5921000000.0,7224000000.0,,-83000000.0,167000000.0,7141000000.0,2423000000.0,4718000000.0,4718000000.0,4.47,1.0,0.5177,0.5117,0.3381,0.4034,8776000000.0,7224000000.0,4.4653,4.4902,4.4902,4718000000.0,4718000000.0,0.6289,0.4397,MA
2018-03-31 00:00:00,13343000000.0,13343000000.0,5821000000.0,6941000000.0,,-94000000.0,158000000.0,6847000000.0,2521000000.0,4326000000.0,4326000000.0,4.07,1.0,0.5202,0.5132,0.3242,0.4135,8428000000.0,6941000000.0,4.0645,4.0859,4.0859,4326000000.0,4326000000.0,0.6316,0.4476,MA
2017-12-31 00:00:00,12497000000.0,12497000000.0,5424000000.0,6622000000.0,,-100000000.0,154000000.0,6522000000.0,2607000000.0,3915000000.0,3915000000.0,3.65,1.0,0.5299,0.5219,0.3133,0.4194,8060000000.0,6622000000.0,3.6521,3.6691,3.6691,3915000000.0,3915000000.0,0.645,0.4532,MA
