Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin
138699000000.0,44151000000.0,94548000000.0,18568000000.0,24023000000.0,51957000000.0,,398000000.0,2574000000.0,52210000000.0,5944000000.0,46266000000.0,46266000000.0,6.06,0.6817,0.3746,0.3764,0.3336,0.3126,64173000000.0,51957000000.0,6.0041,6.0628,6.0628,46266000000.0,46266000000.0,0.4627,0.419
134249000000.0,43346000000.0,90903000000.0,17997000000.0,23583000000.0,49323000000.0,,657000000.0,2631000000.0,49853000000.0,5530000000.0,44323000000.0,44323000000.0,5.8,0.6771,0.3674,0.3713,0.3302,0.3023,61347000000.0,49323000000.0,5.7407,5.7966,5.7966,44323000000.0,44323000000.0,0.457,0.4032
129814000000.0,43411000000.0,86403000000.0,17464000000.0,23249000000.0,45690000000.0,,,2649000000.0,46153000000.0,5059000000.0,41094000000.0,41094000000.0,5.36,0.6656,0.352,0.3555,0.3166,0.2976,57506000000.0,45690000000.0,5.31,5.3627,5.3627,41094000000.0,41094000000.0,0.443,0.4032
125843000000.0,42910000000.0,82933000000.0,16876000000.0,23098000000.0,42959000000.0,,729000000.0,2686000000.0,43688000000.0,4448000000.0,39240000000.0,39240000000.0,5.11,0.659,0.3414,0.3472,0.3118,0.304,54641000000.0,42959000000.0,5.0612,5.114,5.114,39240000000.0,39240000000.0,0.4342,0.4147
122211000000.0,42240000000.0,79971000000.0,16296000000.0,22742000000.0,40933000000.0,,839000000.0,2689000000.0,41772000000.0,6846000000.0,34926000000.0,34926000000.0,4.54,0.6544,0.3349,0.3418,0.2858,0.2753,52207000000.0,40933000000.0,4.5054,4.5447,4.5447,34926000000.0,34926000000.0,0.4272,0.3886
118459000000.0,41339000000.0,77120000000.0,15695000000.0,22541000000.0,38884000000.0,,1043000000.0,2709000000.0,39927000000.0,6386000000.0,33541000000.0,33541000000.0,4.35,0.651,0.3282,0.3371,0.2831,0.2693,49942000000.0,38884000000.0,4.3204,4.3609,4.3609,33541000000.0,33541000000.0,0.4216,0.3894
114906000000.0,39980000000.0,74926000000.0,15129000000.0,22492000000.0,37305000000.0,,1406000000.0,2735000000.0,38711000000.0,19892000000.0,18819000000.0,18819000000.0,2.44,0.6521,0.3247,0.3369,0.1638,0.2785,47904000000.0,37305000000.0,2.4191,2.4489,2.4489,18819000000.0,18819000000.0,0.4169,0.3925
110360000000.0,38353000000.0,72007000000.0,14726000000.0,22223000000.0,35058000000.0,,1416000000.0,2733000000.0,36474000000.0,19903000000.0,16571000000.0,16571000000.0,2.14,0.6525,0.3177,0.3305,0.1502,0.2922,45319000000.0,35058000000.0,2.1261,2.152,2.152,16571000000.0,16571000000.0,0.4106,0.3976
105880000000.0,37067000000.0,68813000000.0,14307000000.0,21839000000.0,32361000000.0,,1391000000.0,2716000000.0,33752000000.0,17985000000.0,15767000000.0,15767000000.0,1.83,0.6499,0.3056,0.3188,0.1489,0.3167,42449000000.0,32361000000.0,2.0107,2.0449,2.0449,15767000000.0,15767000000.0,0.4009,0.4106
102273000000.0,35858000000.0,66415000000.0,13947000000.0,21370000000.0,30792000000.0,,1413000000.0,2634000000.0,32205000000.0,18376000000.0,13829000000.0,13829000000.0,1.49,0.6494,0.3011,0.3149,0.1352,0.3254,40623000000.0,30792000000.0,1.7604,1.7907,1.7907,13829000000.0,13829000000.0,0.3972,0.4105
