Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Non-operating Income/Expense,Non-operating Interest Expenses,Investment Gain/Loss (Other),EBT,Income Tax Provision,Income after Tax,Share of Subsidiary Earnings,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,4100000000.0,275580000.0,3824632200.0,139936000.0,493742400.0,161000000.0,454613000.0,27262000.0,-56000000.0,-19054000.0,-58262000.0,-5652000.0,-43000000.0,-0.11,0.9328,0.1204,-0.0137,-0.0105,0.2259,1633190300.0,493742200.0,-0.08,,-0.0978,,-0.09,-36652000.0,,-36000000.0,0.3983,0.2798,VTR
2022-06-30 00:00:00,4039000000.0,274167000.0,3764847200.0,134774000.0,473317400.0,256000000.0,444016000.0,177418000.0,14000000.0,-9247000.0,-149509000.0,-4850000.0,17000000.0,0.05,0.9321,0.1172,0.0035,0.0042,0.2207,1601278200.0,473317200.0,0.07,,0.0588,,0.06,23059000.0,,24000000.0,0.3965,0.2707,VTR
2022-03-31 00:00:00,3935194000.0,275884000.0,3659386200.0,132447000.0,485191400.0,132851000.0,440116000.0,218710000.0,104904000.0,-1816000.0,-67125000.0,964000.0,145391000.0,0.39,0.9299,0.1233,0.0267,0.0369,0.2258,1581626300.0,485191200.0,0.4,,0.3973,,0.4,152549000.0,,153288000.0,0.4019,0.2747,VTR
2021-12-31 00:00:00,3827485000.0,276769000.0,3551238200.0,129758000.0,412349300.0,-25293000.0,440089000.0,218788000.0,13376000.0,4827000.0,-167212000.0,4983000.0,49182000.0,0.14,0.9278,0.1077,0.0035,0.0128,0.2243,1538666300.0,412349100.0,0.15,,0.1477,,0.15,56559000.0,,56890000.0,0.402,0.2728,VTR
2021-09-30 00:00:00,3726650000.0,279684000.0,3447044000.0,130693000.0,486331100.0,-188130000.0,443842000.0,216200000.0,128828000.0,8895000.0,-33577000.0,24994000.0,200633000.0,0.53,0.925,0.1305,0.0346,0.0538,0.2417,1559802100.0,486331000.0,0.54,,0.5502,,0.55,207617000.0,,207843000.0,0.4186,0.2882,VTR
2021-06-30 00:00:00,3669590000.0,282382000.0,3387208000.0,132515000.0,519909100.0,-461026000.0,450531000.0,78530000.0,58883000.0,1920000.0,56963000.0,23087000.0,152384000.0,0.4,0.923,0.1417,0.016,0.0415,0.2971,1551201200.0,519909000.0,0.42,,0.4227,,0.43,158580000.0,,158580000.0,0.4227,0.3431,VTR
2021-03-31 00:00:00,3693594000.0,278912000.0,3414682000.0,130007000.0,443232100.0,-528536000.0,463612000.0,38526000.0,-85304000.0,54635000.0,-139939000.0,12470000.0,-91177000.0,-0.25,0.9245,0.12,-0.0231,-0.0247,0.3309,1587797100.0,443232000.0,-0.24,,-0.2396,,-0.24,-88943000.0,,-88943000.0,0.4299,0.3718,VTR
2020-12-31 00:00:00,3795357000.0,281087000.0,3514270000.0,130158000.0,615678100.0,-535089000.0,469541000.0,262218000.0,80589000.0,-96534000.0,177123000.0,1844000.0,439149000.0,1.17,0.9259,0.1622,0.0212,0.1157,0.343,1705304000.0,615678000.0,1.17,,1.1816,,1.18,441185000.0,,441185000.0,0.4493,0.3821,VTR
2020-09-30 00:00:00,3870195900.0,286313000.0,3583882900.0,134978000.0,581271800.0,-560104000.0,472040000.0,241490000.0,21168000.0,-95161000.0,116329000.0,-15694000.0,340141000.0,0.91,0.926,0.1502,0.0055,0.0879,0.3507,1772438600.0,581271900.0,0.9,0.62,0.9068,,0.9,342125000.0,,342125000.0,0.458,0.3898,VTR
2020-06-30 00:00:00,3934410900.0,287533000.0,3646877900.0,143427000.0,685222800.0,-573077000.0,470502000.0,228904000.0,112146000.0,-89961000.0,202107000.0,-15705000.0,412649000.0,1.11,0.9269,0.1742,0.0285,0.1049,0.3245,1880061700.0,685222900.0,1.09,,1.1034,,1.09,415306000.0,,415306000.0,0.4779,0.3631,VTR
2020-03-31 00:00:00,3941929900.0,290542000.0,3651387900.0,158426000.0,863881800.0,-515928000.0,457739000.0,246800000.0,347954000.0,-204069000.0,552023000.0,-12384000.0,780348000.0,2.11,0.9263,0.2192,0.0883,0.198,0.3183,1935029800.0,863881900.0,2.1,,2.1161,,2.11,786439000.0,,786439000.0,0.4909,0.3592,VTR
2019-12-31 00:00:00,3872749900.0,289129000.0,3583620900.0,158726000.0,857876800.0,-498458000.0,451662000.0,26022000.0,359419000.0,-56310000.0,415729000.0,-2454000.0,433016000.0,1.19,0.9253,0.2215,0.0928,0.1118,0.3308,1918514800.0,857876900.0,1.19,,1.2003,,1.2,439297000.0,,439297000.0,0.4954,0.3713,VTR
2019-09-30 00:00:00,3800009000.0,275194000.0,3524815000.0,156840000.0,945007000.0,-566113100.0,445479000.0,,378894000.0,-85654000.0,464548000.0,-9829000.0,483846000.0,1.33,0.9276,0.2487,0.0997,0.1273,0.3391,1897119100.0,945007000.0,1.4382,,1.3543,,1.36,525599000.0,,489706000.0,0.4992,0.3809,VTR
2019-06-30 00:00:00,3753392000.0,263184000.0,3490208000.0,155987000.0,948567000.0,-561054100.0,439093000.0,,387513000.0,-94986000.0,482499000.0,-11399000.0,500559000.0,1.39,0.9299,0.2527,0.1032,0.1334,0.3336,1882384000.0,948567000.0,1.4982,0.58,1.4108,,1.42,541944000.0,-10000.0,506069000.0,0.5015,0.3731,VTR
2019-03-31 00:00:00,3744979000.0,254440000.0,3490539000.0,149564000.0,963599000.0,-574501100.0,441753000.0,,389098000.0,-37968000.0,427066000.0,-15241000.0,456549000.0,1.28,0.9321,0.2573,0.1039,0.1219,0.3408,1877607000.0,963599000.0,1.29,,1.3003,,1.31,463519000.0,-25000.0,463471000.0,0.5014,0.3764,VTR
2018-12-31 00:00:00,3745810000.0,245097000.0,3500713000.0,145978000.0,988895000.0,-604070100.0,442497000.0,,384825000.0,-39953000.0,424778000.0,-55034000.0,409467000.0,1.15,0.9346,0.264,0.1027,0.1093,0.3336,1896760000.0,988895000.0,1.16,0.0,1.1677,-0.0001,1.17,415991000.0,,415981000.0,0.5064,0.3688,VTR
2018-09-30 00:00:00,3717835000.0,243704000.0,3474131000.0,148437000.0,1023859100.0,-534030000.0,443924000.0,,489829000.0,-57983000.0,547812000.0,-52181000.0,739748000.0,2.08,0.9345,0.2754,0.1318,0.199,0.3341,1920016100.0,1023859100.0,3.3818,,2.0995,,3.51,1212904000.0,,746484100.0,0.5164,0.3669,VTR
2018-06-30 00:00:00,3681225000.0,242632000.0,3438593000.0,142077000.0,1050976100.0,-509434000.0,450212000.0,,541542000.0,-58471000.0,600013000.0,-50715000.0,1251734000.0,3.51,0.9341,0.2855,0.1471,0.34,0.3523,1938416100.0,1050976100.0,3.5318,0.4699,3.538,,3.66,1266571000.0,-44000.0,1258394100.0,0.5266,0.3846,VTR
2018-03-31 00:00:00,3634411000.0,239554000.0,3394857000.0,138703000.0,1062627100.0,-509976000.0,450755000.0,,552651000.0,-59896000.0,612547000.0,-44450000.0,1237046000.0,3.47,0.9341,0.2924,0.1521,0.3404,0.3471,1963930100.0,1062627100.0,3.58,-0.0002,3.4936,-0.0002,3.61,1285370000.0,-67000.0,1242062100.0,0.5404,0.3827,VTR
2017-12-31 00:00:00,3574149000.0,236398000.0,3337751000.0,135490000.0,1064248100.0,-479537000.0,448196000.0,,584711000.0,-59799000.0,644510000.0,-561000.0,1356470000.0,3.81,0.9339,0.2978,0.1636,0.3795,0.3627,1947717100.0,1064248100.0,3.8,-0.0003,3.8306,-0.0003,3.83,1361222000.0,-110000.0,1361112100.0,0.5449,0.3997,VTR
2017-09-30 00:00:00,3554574000.0,232635000.0,3321939000.0,132048000.0,1055804900.0,-470072000.0,443984000.0,,585733000.0,-15955000.0,601688000.0,6001000.0,1171553000.0,3.3,0.9346,0.297,0.1648,0.3296,0.3672,1936348900.0,1055804900.0,1.99,-0.0007,3.3151,-0.0007,1.99,705892000.0,-262000.0,1176139000.0,0.5447,0.4025,VTR
2017-06-30 00:00:00,3521762000.0,221554000.0,3300208000.0,130298000.0,1044296900.0,-465951000.0,435178000.0,,578346000.0,-16677000.0,595023000.0,6182000.0,707047000.0,2.01,0.9371,0.2965,0.1642,0.2008,0.3665,1917923000.0,1044296900.0,1.97,-0.0009,2.0155,-0.0009,1.98,699408000.0,-361000.0,711132000.0,0.5446,0.4025,VTR
2017-03-31 00:00:00,3474676000.0,209615000.0,3265061000.0,129110000.0,1013120900.0,-460112000.0,425271000.0,,553009000.0,-26067000.0,579076000.0,7706000.0,698378000.0,2.0,0.9397,0.2916,0.1592,0.201,0.3758,1883498000.0,1013120900.0,1.95,-0.0012,2.0079,-0.0012,1.96,684985000.0,-486000.0,701604000.0,0.5421,0.4096,VTR
2016-12-31 00:00:00,3443522000.0,199095000.0,3244427000.0,126875000.0,975649900.0,-457142000.0,419740000.0,,518508000.0,-31343000.0,549851000.0,4358000.0,649231000.0,1.88,0.9422,0.2833,0.1506,0.1885,0.3593,1864595000.0,975649900.0,1.87,-0.0025,1.8901,-0.0026,1.89,652412000.0,-922000.0,651490000.0,0.5415,0.3934,VTR
2016-09-30 00:00:00,3409083000.0,195436000.0,3213647100.0,123023000.0,947157900.0,-454276000.0,415693000.0,,492882000.0,-40055000.0,532937000.0,1928000.0,566322000.0,1.66,0.9427,0.2778,0.1446,0.1661,0.3743,1840133000.0,947157800.0,1.49,0.0011,1.6704,-0.0086,1.54,534865000.0,-3086000.0,567718000.0,0.5398,0.4057,VTR
2016-06-30 00:00:00,3369573000.0,195211000.0,3174362100.0,123570000.0,896985900.0,-509589000.0,407765000.0,,387397000.0,-42215000.0,429612000.0,42000.0,439722000.0,1.3,0.9421,0.2662,0.115,0.1305,0.3653,1820973900.0,896985800.0,1.21,-0.0686,1.3111,-0.0783,1.25,429654000.0,-25351000.0,440651000.0,0.5404,0.3982,VTR
2016-03-31 00:00:00,3333089000.0,198567000.0,3134522100.0,125435000.0,871267900.0,-493977000.0,388059000.0,,377291000.0,-40455000.0,417746000.0,-1367000.0,446381000.0,1.33,0.9404,0.2614,0.1132,0.1339,0.3666,1819714800.0,871267800.0,1.21,-0.0182,1.3422,-0.0179,1.23,416379000.0,-6960000.0,447497000.0,0.546,0.3996,VTR
2015-12-31 00:00:00,3286398000.0,200790000.0,3085608100.0,128035000.0,854101000.0,-502426000.0,367114000.0,,351675000.0,-39284000.0,390959000.0,-1420000.0,417843000.0,1.26,0.9389,0.2599,0.107,0.1271,0.3929,1809082900.0,854100900.0,1.17,0.0332,1.2691,0.0336,1.18,389539000.0,11103000.0,419222000.0,0.5505,0.4256,VTR
2015-09-30 00:00:00,3024280900.0,194667000.0,2829613900.0,128501000.0,700335900.0,-446168000.0,298820000.0,,254168000.0,-41288000.0,295456000.0,-1885000.0,400305000.0,1.25,0.9356,0.2316,0.084,0.1324,0.4133,1658443800.0,700336000.0,0.94,0.3,1.2594,0.31,0.95,293571000.0,92222000.0,401669000.0,0.5484,0.4487,VTR
2015-06-30 00:00:00,2901606900.0,190776000.0,2710830900.0,125851000.0,676794900.0,-372102000.0,279010000.0,,304693000.0,-32478000.0,337171000.0,-977000.0,486585000.0,1.55,0.9343,0.2332,0.105,0.1677,0.4417,1596884900.0,676795000.0,1.11,0.43,1.5628,0.44,1.12,336194000.0,132776000.0,488206000.0,0.5503,0.4745,VTR
2015-03-31 00:00:00,2840940900.0,182563000.0,2658377900.0,123198000.0,700716000.0,-380941000.0,286552000.0,,319775000.0,-19415000.0,339190000.0,-638000.0,475162000.0,1.57,0.9357,0.2466,0.1126,0.1673,0.4302,1563803000.0,700716100.0,1.18,0.38,1.5797,0.38,1.2,338552000.0,114278000.0,476486000.0,0.5505,0.4627,VTR
2014-12-31 00:00:00,2776812900.0,175924000.0,2600888900.0,121738000.0,717378900.0,-366676000.0,292065000.0,,350703000.0,-8732000.0,359435000.0,-139000.0,475767000.0,1.61,0.9366,0.2583,0.1263,0.1713,0.4204,1526662900.0,717379000.0,1.26,0.34,1.6214,0.34,1.28,359296000.0,99735000.0,477001000.0,0.5498,0.4519,VTR
2014-09-30 00:00:00,2636005900.0,-59812000.0,2695817900.0,123962000.0,664539000.0,-332818000.0,261041000.0,,331721000.0,6092000.0,325629000.0,-492000.0,477017000.0,1.62,1.0227,0.2521,0.1258,0.181,0.4522,1428876900.0,664539000.0,1.16,0.46,1.626,0.46,1.17,325137000.0,136282000.0,477933000.0,0.5421,0.4853,VTR
2014-06-30 00:00:00,2642322900.0,-63425000.0,2705747900.0,123157000.0,692200000.0,-321614000.0,267480000.0,,370586000.0,5199000.0,365387000.0,-335000.0,486181000.0,1.65,1.024,0.262,0.1403,0.184,0.4534,1438147900.0,692200000.0,1.28,0.37,1.6581,0.37,1.29,365052000.0,108937000.0,486878000.0,0.5443,0.4855,VTR
