Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2018-03-31 00:00:00,7368000000.0,5374000000.0,1994000000.0,12000000.0,389000000.0,1242000000.0,-408000000.0,387000000.0,834000000.0,140000000.0,694000000.0,694000000.0,0.91,0.2706,0.1686,0.1132,0.0942,0.1455,1750000000.0,1242000000.0,0.9154,,0.9191,,0.9191,694000000.0,,694000000.0,0.2375,0.1767,WY
2017-12-31 00:00:00,7196000000.0,5298000000.0,1898000000.0,14000000.0,397000000.0,1131000000.0,-415000000.0,393000000.0,716000000.0,134000000.0,582000000.0,582000000.0,0.77,0.2638,0.1572,0.0995,0.0809,0.1369,1652000000.0,1131000000.0,0.7692,,0.7728,,0.7728,582000000.0,,582000000.0,0.2296,0.1669,WY
2017-09-30 00:00:00,6969000000.0,5260000000.0,1709000000.0,17000000.0,411000000.0,829000000.0,-400000000.0,405000000.0,429000000.0,56000000.0,373000000.0,862000000.0,1.15,0.2452,0.119,0.0616,0.1237,0.0408,1360000000.0,829000000.0,0.5115,,1.1857,,0.5035,373000000.0,,862000000.0,0.1951,0.0999,WY
2017-06-30 00:00:00,6806000000.0,5214000000.0,1592000000.0,18000000.0,416000000.0,885000000.0,-375000000.0,421000000.0,510000000.0,105000000.0,405000000.0,959000000.0,1.28,0.2339,0.13,0.0749,0.1409,0.0216,1423000000.0,885000000.0,0.5497,,1.316,,0.551,405000000.0,,959000000.0,0.2091,0.1058,WY
2017-03-31 00:00:00,6653000000.0,5149000000.0,1504000000.0,18000000.0,434000000.0,976000000.0,-363000000.0,435000000.0,613000000.0,102000000.0,511000000.0,1092000000.0,1.46,0.2261,0.1467,0.0921,0.1641,0.0233,1532000000.0,976000000.0,0.678,,1.5102,,0.6791,511000000.0,,1103000000.0,0.2303,0.1087,WY
2016-12-31 00:00:00,6365000000.0,4980000000.0,1385000000.0,19000000.0,427000000.0,822000000.0,-318000000.0,431000000.0,504000000.0,89000000.0,415000000.0,1005000000.0,1.36,0.2176,0.1291,0.0792,0.1579,0.0353,1387000000.0,822000000.0,0.55,0.84,1.4293,0.85,0.55,415000000.0,612000000.0,1027000000.0,0.2179,0.1155,WY
2016-09-30 00:00:00,5588000000.0,4340000000.0,1248000000.0,18000000.0,403000000.0,726000000.0,-288000000.0,409000000.0,438000000.0,32000000.0,406000000.0,513000000.0,0.73,0.2233,0.1299,0.0784,0.0918,0.1983,1274000000.0,726000000.0,0.5185,0.19,0.7939,0.19,0.517,406000000.0,140000000.0,546000000.0,0.228,0.2192,WY
2016-06-30 00:00:00,5234000000.0,4085000000.0,1149000000.0,17000000.0,380000000.0,631000000.0,-289000000.0,382000000.0,342000000.0,-34000000.0,376000000.0,466000000.0,0.78,0.2195,0.1206,0.0653,0.089,0.1473,1158000000.0,631000000.0,0.5385,0.22,0.8625,0.22,0.537,376000000.0,134000000.0,510000000.0,0.2212,0.2216,WY
2016-03-31 00:00:00,4924000000.0,3871000000.0,1053000000.0,18000000.0,351000000.0,583000000.0,-278000000.0,353000000.0,305000000.0,-66000000.0,371000000.0,442000000.0,0.83,0.2139,0.1184,0.0619,0.0898,0.1271,1081000000.0,583000000.0,0.5985,0.21,0.9151,0.21,0.597,371000000.0,115000000.0,486000000.0,0.2195,0.2102,WY
2015-12-31 00:00:00,5246000000.0,4153000000.0,1093000000.0,18000000.0,351000000.0,644000000.0,-291000000.0,341000000.0,353000000.0,-58000000.0,411000000.0,462000000.0,0.89,0.2083,0.1228,0.0673,0.0881,0.106,1123000000.0,644000000.0,0.71,0.48,0.9799,0.47,0.71,411000000.0,307000000.0,506000000.0,0.2141,0.2049,WY
