Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Non-operating Income/Expense,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,44866000000.0,,49411000000.0,789000000.0,19309000000.0,16981000000.0,,16981000000.0,3111000000.0,13870000000.0,13388000000.0,37.55,1.1013,0.3785,0.3785,0.2984,1.5833,19197000000.0,16981000000.0,38.9896,39.6368,39.6368,13870000000.0,13870000000.0,0.4279,1.6283,GS
2022-06-30 00:00:00,47015000000.0,,51044000000.0,755000000.0,18760000000.0,20067000000.0,450000000.0,20067000000.0,3888000000.0,16179000000.0,15710000000.0,44.23,1.0857,0.4268,0.4268,0.3341,0.5336,22126000000.0,20067000000.0,45.642,46.3785,46.3785,16179000000.0,16179000000.0,0.4706,0.5308,GS
2022-03-31 00:00:00,52540000000.0,,54568000000.0,635000000.0,20091000000.0,23363000000.0,585000000.0,23363000000.0,4625000000.0,18738000000.0,18271000000.0,51.72,1.0386,0.4447,0.4447,0.3478,0.3163,25372000000.0,23363000000.0,52.9328,53.7719,53.7719,18738000000.0,18738000000.0,0.4829,0.319,GS
2021-12-31 00:00:00,58445000000.0,,59339000000.0,553000000.0,21921000000.0,27044000000.0,534000000.0,27044000000.0,5409000000.0,21635000000.0,21151000000.0,59.76,1.0153,0.4627,0.4627,0.3619,0.1426,29059000000.0,27044000000.0,60.8066,61.726,61.726,21635000000.0,21635000000.0,0.4972,0.1551,GS
2021-09-30 00:00:00,57958000000.0,,58441000000.0,449000000.0,20904000000.0,27560000000.0,376000000.0,27560000000.0,5354000000.0,22206000000.0,21704000000.0,61.18,1.0083,0.4755,0.4755,0.3745,0.2297,29585000000.0,27560000000.0,62.0379,62.8921,62.8921,22206000000.0,22206000000.0,0.5105,0.2322,GS
2021-06-30 00:00:00,55614000000.0,,55614000000.0,354000000.0,20658000000.0,25017000000.0,580000000.0,25017000000.0,4822000000.0,20195000000.0,19653000000.0,56.02,1.0,0.4498,0.4498,0.3534,1.1517,27001000000.0,25017000000.0,56.1969,56.9119,56.9119,20195000000.0,20195000000.0,0.4855,1.191,GS
2021-03-31 00:00:00,53521000000.0,,53521000000.0,328000000.0,19806000000.0,19468000000.0,3314000000.0,19468000000.0,4386000000.0,15082000000.0,14503000000.0,47.09,1.0,0.3637,0.3637,0.271,0.5999,21431000000.0,19468000000.0,41.8354,42.322,42.322,15082000000.0,15082000000.0,0.4004,0.6375,GS
2020-12-31 00:00:00,44560000000.0,3917000000.0,44560000000.0,401000000.0,16922000000.0,12479000000.0,3424000000.0,12479000000.0,3020000000.0,9459000000.0,8915000000.0,31.41,1.0,0.28,0.28,0.2001,-0.383,14381000000.0,12479000000.0,26.2531,26.5404,26.5404,9459000000.0,9459000000.0,0.3227,-0.3081,GS
2020-09-30 00:00:00,42774000000.0,3645000000.0,42774000000.0,512000000.0,17536000000.0,9259000000.0,,9259000000.0,2389000000.0,6870000000.0,6277000000.0,23.92,1.0,0.2165,0.2165,0.1467,0.3853,11127000000.0,9259000000.0,19.0032,19.2156,19.2156,6870000000.0,6870000000.0,0.2601,0.4697,GS
2020-06-30 00:00:00,40316000000.0,3587000000.0,39463000000.0,611000000.0,17162000000.0,7376000000.0,,7376000000.0,1996000000.0,5380000000.0,4837000000.0,18.98,0.9788,0.183,0.183,0.12,-0.2304,9249000000.0,7376000000.0,14.6625,14.8281,14.8281,5380000000.0,5380000000.0,0.2294,-0.1258,GS
2020-03-31 00:00:00,36482000000.0,3465000000.0,34806000000.0,708000000.0,15938000000.0,9212000000.0,,9212000000.0,1784000000.0,7428000000.0,6838000000.0,18.55,0.9541,0.2525,0.2525,0.1874,0.2963,10985000000.0,9212000000.0,20.0187,20.2441,20.2441,7428000000.0,7428000000.0,0.3011,0.4168,GS
2019-12-31 00:00:00,36546000000.0,3252000000.0,34108000000.0,739000000.0,15865000000.0,10583000000.0,,10583000000.0,2117000000.0,8466000000.0,7897000000.0,21.16,0.9333,0.2896,0.2896,0.2161,0.6035,12287000000.0,10583000000.0,22.546,22.7826,22.7826,8466000000.0,8466000000.0,0.3362,0.6531,GS
2019-09-30 00:00:00,34671000000.0,3268000000.0,32233000000.0,747000000.0,14478000000.0,10970000000.0,,10970000000.0,1883000000.0,9087000000.0,8495000000.0,22.53,0.9297,0.3164,0.3164,0.245,-0.4143,12587000000.0,10970000000.0,23.9219,24.1608,24.1608,9087000000.0,9087000000.0,0.363,-0.338,GS
2019-06-30 00:00:00,35168000000.0,3129000000.0,32869000000.0,745000000.0,14644000000.0,11632000000.0,,11632000000.0,1898000000.0,9734000000.0,9155000000.0,24.05,0.9346,0.3308,0.3308,0.2603,-0.8518,13093000000.0,11632000000.0,25.3707,25.6368,25.6368,9734000000.0,9734000000.0,0.3723,-0.7623,GS
2019-03-31 00:00:00,35343000000.0,3118000000.0,33055000000.0,742000000.0,14647000000.0,11781000000.0,,11781000000.0,1903000000.0,9878000000.0,9305000000.0,24.23,0.9353,0.3333,0.3333,0.2633,-0.8606,13178000000.0,11781000000.0,25.4993,25.7864,25.7864,9878000000.0,9878000000.0,0.3729,-0.7594,GS
2018-12-31 00:00:00,36616000000.0,3200000000.0,34246000000.0,740000000.0,15374000000.0,12481000000.0,,12481000000.0,2022000000.0,10459000000.0,9860000000.0,25.52,0.9353,0.3409,0.3409,0.2693,0.3357,13809000000.0,12481000000.0,26.8043,27.1379,27.1379,10459000000.0,10459000000.0,0.3771,0.4524,GS
2018-09-30 00:00:00,37027000000.0,3102000000.0,33925000000.0,707000000.0,15604000000.0,12881000000.0,,12881000000.0,6888000000.0,5993000000.0,5395000000.0,13.9,0.9162,0.3479,0.3479,0.1457,-0.2993,14182000000.0,12881000000.0,15.6218,15.7944,15.7944,5993000000.0,5993000000.0,0.383,-0.1832,GS
2018-06-30 00:00:00,36533000000.0,3099000000.0,33434000000.0,678000000.0,15618000000.0,12779000000.0,,12779000000.0,7182000000.0,5597000000.0,4977000000.0,12.64,0.9152,0.3498,0.3498,0.1362,-0.0508,14043000000.0,12779000000.0,14.4036,14.5894,14.5894,5597000000.0,5597000000.0,0.3844,0.034,GS
2018-03-31 00:00:00,34784000000.0,3028000000.0,31756000000.0,636000000.0,15348000000.0,12012000000.0,,12012000000.0,7149000000.0,4863000000.0,4260000000.0,10.6,0.9129,0.3453,0.3453,0.1225,-0.5885,13206000000.0,12012000000.0,12.3004,12.4839,12.4839,4863000000.0,4863000000.0,0.3797,-0.5193,GS
2017-12-31 00:00:00,32730000000.0,2876000000.0,29854000000.0,588000000.0,14448000000.0,11132000000.0,,11132000000.0,6846000000.0,4286000000.0,3685000000.0,8.81,0.9121,0.3401,0.3401,0.1126,-0.7057,12284000000.0,11132000000.0,10.4767,10.6723,10.6723,4286000000.0,4286000000.0,0.3753,-0.626,GS
2017-09-30 00:00:00,32591000000.0,3038000000.0,29553000000.0,544000000.0,14602000000.0,11421000000.0,,11421000000.0,2860000000.0,8561000000.0,7981000000.0,19.49,0.9068,0.3504,0.3504,0.2449,-0.3185,12490000000.0,11421000000.0,20.4935,20.8779,20.8779,8561000000.0,8561000000.0,0.3832,-0.241,GS
2017-06-30 00:00:00,32433000000.0,2940000000.0,29493000000.0,498000000.0,14687000000.0,11313000000.0,,11313000000.0,2786000000.0,8527000000.0,8046000000.0,19.36,0.9094,0.3488,0.3488,0.2481,-0.5546,12349000000.0,11313000000.0,20.1157,20.4913,20.4913,8527000000.0,8527000000.0,0.3808,-0.467,GS
2017-03-31 00:00:00,32478000000.0,2824000000.0,29654000000.0,469000000.0,14759000000.0,11267000000.0,,11267000000.0,2749000000.0,8518000000.0,8049000000.0,19.13,0.913,0.3469,0.3469,0.2478,0.0851,12283000000.0,11267000000.0,19.834,20.2012,20.2012,8518000000.0,8518000000.0,0.3782,0.1739,GS
2016-12-31 00:00:00,30790000000.0,2823000000.0,27967000000.0,457000000.0,14126000000.0,10304000000.0,,10304000000.0,2906000000.0,7398000000.0,7087000000.0,16.61,0.9083,0.3347,0.3347,0.2302,0.1302,11302000000.0,10304000000.0,17.0031,17.3094,17.3094,7398000000.0,7398000000.0,0.3671,0.2109,GS
2016-09-30 00:00:00,29711000000.0,2555000000.0,27156000000.0,474000000.0,13804000000.0,7979000000.0,,7979000000.0,2163000000.0,5816000000.0,5508000000.0,12.72,0.914,0.2686,0.2686,0.1854,0.3376,8995000000.0,7979000000.0,13.2935,13.5302,13.5302,5816000000.0,5816000000.0,0.3027,0.4133,GS
2016-06-30 00:00:00,28404000000.0,2607000000.0,25797000000.0,505000000.0,12909000000.0,7157000000.0,,7157000000.0,2009000000.0,5148000000.0,4738000000.0,10.71,0.9082,0.252,0.252,0.1668,0.5707,8148000000.0,7157000000.0,11.5355,11.7487,11.7487,5148000000.0,5148000000.0,0.2869,0.6382,GS
2016-03-31 00:00:00,29541000000.0,2629000000.0,26912000000.0,540000000.0,13409000000.0,6420000000.0,,6420000000.0,2046000000.0,4374000000.0,4020000000.0,8.95,0.911,0.2173,0.2173,0.1361,-0.05,7431000000.0,6420000000.0,9.6574,9.8518,9.8518,4374000000.0,4374000000.0,0.2515,0.0069,GS
2015-12-31 00:00:00,33820000000.0,2576000000.0,31244000000.0,557000000.0,15219000000.0,8778000000.0,,8778000000.0,2695000000.0,6083000000.0,5568000000.0,12.29,0.9238,0.2596,0.2596,0.1646,0.2329,9769000000.0,8778000000.0,13.2644,13.5509,13.5509,6083000000.0,6083000000.0,0.2889,0.2803,GS
2015-09-30 00:00:00,34235000000.0,2619000000.0,31616000000.0,550000000.0,15110000000.0,10916000000.0,,10916000000.0,3432000000.0,7484000000.0,7026000000.0,15.51,0.9235,0.3189,0.3189,0.2052,0.1047,11974000000.0,10916000000.0,16.1863,16.5738,16.5738,7484000000.0,7484000000.0,0.3498,0.1409,GS
2015-06-30 00:00:00,35761000000.0,2578000000.0,33183000000.0,556000000.0,15547000000.0,12175000000.0,,12175000000.0,3876000000.0,8299000000.0,7839000000.0,17.25,0.9279,0.3405,0.3405,0.2192,-0.1761,13312000000.0,12175000000.0,17.853,18.3178,18.3178,8299000000.0,8299000000.0,0.3722,-0.1494,GS
2015-03-31 00:00:00,35817000000.0,2544000000.0,33273000000.0,550000000.0,15638000000.0,13270000000.0,,13270000000.0,3982000000.0,9288000000.0,8876000000.0,19.45,0.929,0.3705,0.3705,0.2478,0.0627,14436000000.0,13270000000.0,19.8629,20.4081,20.4081,9288000000.0,9288000000.0,0.403,0.0845,GS
2014-12-31 00:00:00,34528000000.0,2501000000.0,32027000000.0,549000000.0,15199000000.0,12357000000.0,,12357000000.0,3880000000.0,8477000000.0,8077000000.0,17.55,0.9276,0.3579,0.3579,0.2339,-0.2485,13694000000.0,12357000000.0,17.9142,18.4726,18.4726,8477000000.0,8477000000.0,0.3966,-0.2297,GS
2014-09-30 00:00:00,35622000000.0,2426000000.0,33196000000.0,551000000.0,15449000000.0,12699000000.0,,12699000000.0,4056000000.0,8643000000.0,8293000000.0,17.85,0.9319,0.3565,0.3565,0.2328,-0.3089,14158000000.0,12699000000.0,18.0203,18.6874,18.6874,8643000000.0,8643000000.0,0.3975,-0.2895,GS
2014-06-30 00:00:00,33957000000.0,2375000000.0,31582000000.0,539000000.0,15026000000.0,11561000000.0,,11561000000.0,3642000000.0,7919000000.0,7579000000.0,16.23,0.9301,0.3405,0.3405,0.2232,-0.1612,12999000000.0,11561000000.0,16.3001,17.0411,17.0411,7919000000.0,7919000000.0,0.3828,-0.1409,GS
2014-03-31 00:00:00,33444000000.0,2375000000.0,31069000000.0,538000000.0,14800000000.0,11385000000.0,,11385000000.0,3572000000.0,7813000000.0,7487000000.0,15.94,0.929,0.3404,0.3404,0.2239,0.1606,12795000000.0,11385000000.0,15.855,16.7098,16.7098,7813000000.0,7813000000.0,0.3826,0.18,GS
2013-12-31 00:00:00,34206000000.0,2341000000.0,31865000000.0,541000000.0,15158000000.0,11737000000.0,,11737000000.0,3697000000.0,8040000000.0,7726000000.0,16.32,0.9316,0.3431,0.3431,0.2259,0.114,13059000000.0,11737000000.0,16.0929,17.0591,17.0591,8040000000.0,8040000000.0,0.3818,0.1328,GS
2013-09-30 00:00:00,34660000000.0,2297000000.0,32363000000.0,538000000.0,14921000000.0,12498000000.0,,12498000000.0,3898000000.0,8600000000.0,8311000000.0,17.39,0.9337,0.3606,0.3606,0.2398,0.0701,13846000000.0,12498000000.0,17.0143,17.9814,17.9814,8600000000.0,8600000000.0,0.3995,0.0898,GS
2013-06-30 00:00:00,36289000000.0,2271000000.0,34018000000.0,544000000.0,16208000000.0,12629000000.0,,12629000000.0,4034000000.0,8595000000.0,8340000000.0,17.27,0.9374,0.348,0.348,0.2298,0.2089,14093000000.0,12629000000.0,16.9178,17.786,17.786,8595000000.0,8595000000.0,0.3884,0.228,GS
2013-03-31 00:00:00,34304000000.0,2202000000.0,32102000000.0,533000000.0,15439000000.0,11399000000.0,,11399000000.0,3773000000.0,7626000000.0,7406000000.0,15.18,0.9358,0.3323,0.3323,0.2159,0.0792,13006000000.0,11399000000.0,14.9315,15.6235,15.6235,7626000000.0,7626000000.0,0.3791,0.0993,GS
2012-12-31 00:00:00,34163000000.0,2208000000.0,31955000000.0,509000000.0,15468000000.0,11207000000.0,,11207000000.0,3732000000.0,7475000000.0,7292000000.0,14.7,0.9354,0.328,0.328,0.2134,0.3503,12945000000.0,11207000000.0,14.4837,15.0645,15.0645,7475000000.0,7475000000.0,0.3789,0.377,GS
