Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,2078904000.0,839958000.0,1338552000.0,76772000.0,609404100.0,26730000.0,304804000.0,264243000.0,274764000.0,262153000.0,0.58,0.6439,0.2931,0.1271,0.1261,0.4481,1260594100.0,609404000.0,0.4526,0.1379,0.5919,0.1382,0.4537,274764000.0,84044000.0,347705000.0,0.6064,0.4968,INVH
2022-06-30 00:00:00,1992278000.0,816156000.0,1303211000.0,76018000.0,600261100.0,11200000.0,307720000.0,281720000.0,275735000.0,279640000.0,0.57,0.6541,0.3013,0.1414,0.1404,0.4553,1244302100.0,600261000.0,0.4596,0.1214,0.5823,0.1216,0.4607,275735000.0,73139000.0,354355000.0,0.6246,0.4981,INVH
2022-03-31 00:00:00,1949629000.0,796780000.0,1256920000.0,76504000.0,567151100.0,-80002000.0,313644000.0,242019000.0,234507000.0,258102000.0,0.5,0.6447,0.2909,0.1241,0.1324,0.438,1199236100.0,567151000.0,0.3974,0.1079,0.5065,0.1081,0.3984,234507000.0,63550000.0,305213000.0,0.6151,0.4633,INVH
2021-12-31 00:00:00,1923772000.0,777759000.0,1218856000.0,75815000.0,542230100.0,-167500000.0,322661000.0,213375000.0,202768000.0,244100000.0,0.45,0.6336,0.2819,0.1109,0.1269,0.4679,1164481100.0,542230000.0,0.3501,0.1037,0.4548,0.1039,0.351,202768000.0,60008000.0,273247000.0,0.6053,0.4723,INVH
2021-09-30 00:00:00,1903416000.0,763219000.0,1177271000.0,72826000.0,520223800.0,-238883000.0,338922000.0,196169900.0,200463900.0,239867000.0,0.46,0.6185,0.2733,0.1031,0.126,0.4602,1138022900.0,520223900.0,0.3516,0.1027,0.4554,0.1029,0.3525,200463900.0,58571000.0,254671900.0,0.5979,0.4486,INVH
2021-06-30 00:00:00,1890142000.0,753670000.0,1136472000.0,71429000.0,495939800.0,-334165000.0,347265000.0,161774900.0,161774900.0,220640000.0,0.4,0.6013,0.2624,0.0856,0.1167,0.4545,1101039900.0,495939900.0,0.2856,0.107,0.3936,0.1072,0.2864,161774900.0,60630000.0,222404900.0,0.5825,0.4078,INVH
2021-03-31 00:00:00,1848264000.0,742083000.0,1106181000.0,66027000.0,480224800.0,-329208000.0,352572000.0,151016900.0,151016900.0,203182000.0,0.37,0.5985,0.2598,0.0817,0.1099,0.4671,1080750900.0,480224900.0,0.2687,0.0958,0.3654,0.0959,0.2694,151016900.0,53878000.0,204894900.0,0.5847,0.411,INVH
2020-12-31 00:00:00,1822828000.0,739156000.0,1083672000.0,63305000.0,467140800.0,-324286000.0,353923000.0,142854900.0,142854900.0,195764000.0,0.36,0.5945,0.2563,0.0784,0.1074,0.4611,1062689900.0,467140900.0,0.2572,0.0982,0.3564,0.0984,0.2579,142854900.0,54594000.0,197448900.0,0.583,0.3822,INVH
2020-09-30 00:00:00,1803005100.0,737777000.0,1065228100.0,62001000.0,447412900.0,-341793000.0,346958000.0,105619900.0,105619900.0,177081000.0,0.33,0.5908,0.2481,0.0586,0.0982,0.6268,1036779900.0,447412900.0,0.1931,0.1339,0.3281,0.1343,0.1937,105619900.0,73253000.0,178872900.0,0.575,0.3866,INVH
2020-06-30 00:00:00,1787147100.0,736319000.0,1050828100.0,60434000.0,436394900.0,-335363000.0,348312000.0,101031900.0,101031900.0,178157000.0,0.33,0.588,0.2442,0.0565,0.0997,0.6447,1025940900.0,436394900.0,0.186,0.1456,0.3327,0.1461,0.1865,101031900.0,78959000.0,179990900.0,0.5741,0.382,INVH
2020-03-31 00:00:00,1778974100.0,737383000.0,1041591100.0,61964000.0,428011900.0,-345758000.0,357947000.0,82253900.0,82253900.0,174206000.0,0.32,0.5855,0.2406,0.0462,0.0979,0.691,1017434900.0,428011900.0,0.153,0.1751,0.329,0.1756,0.1534,82253900.0,93964000.0,176217900.0,0.5719,0.3635,INVH
2019-12-31 00:00:00,1764685100.0,731601000.0,1033084100.0,74274000.0,406347900.0,-355573000.0,367173000.0,50774900.0,50774900.0,145068000.0,0.27,0.5854,0.2303,0.0288,0.0822,0.7344,997289900.0,406347900.0,0.0954,0.1809,0.2769,0.1813,0.0956,50774900.0,96336000.0,147110900.0,0.5651,0.3752,INVH
2019-09-30 00:00:00,1753024000.0,725945000.0,1027079000.0,84239000.0,393519000.0,-366531000.0,375262000.0,26988000.0,26988000.0,118243000.0,0.22,0.5859,0.2245,0.0154,0.0675,0.6965,981197000.0,393519000.0,0.0508,0.1774,0.2283,0.1774,0.0509,26988000.0,93283000.0,120271000.0,0.5597,0.3645,INVH
2019-06-30 00:00:00,1743949000.0,721295000.0,1022654000.0,88986000.0,379779000.0,-376433000.0,383759000.0,3346000.0,3346000.0,85451000.0,0.16,0.5864,0.2178,0.0019,0.049,0.6543,973491000.0,379779000.0,0.0062,0.1609,0.1671,0.1608,0.0063,3346000.0,83983000.0,87329000.0,0.5582,0.3591,INVH
2019-03-31 00:00:00,1734793000.0,718471000.0,1016322000.0,97666000.0,348916000.0,-376932000.0,385279000.0,-28016000.0,-28016000.0,32463000.0,0.06,0.5858,0.2011,-0.0161,0.0187,0.5926,952139000.0,348916000.0,-0.0538,0.1187,0.0648,0.1186,-0.0537,-28016000.0,61752000.0,33736000.0,0.5488,0.3599,INVH
2018-12-31 00:00:00,1722962000.0,720896000.0,1002066000.0,98764000.0,321942000.0,-376637000.0,383595000.0,-54695000.0,-54695000.0,-5744000.0,-0.01,0.5816,0.1869,-0.0317,-0.0033,0.5018,930056000.0,321942000.0,-0.1051,0.0956,-0.0096,0.0955,-0.105,-54695000.0,49682000.0,-5013000.0,0.5398,0.3257,INVH
2018-09-30 00:00:00,1620300000.0,673543000.0,946757000.0,137009000.0,251320000.0,-355113000.0,361333000.0,-103793000.0,-103793000.0,-76787000.0,-0.17,0.5843,0.1551,-0.0641,-0.0474,0.3578,828654000.0,251320000.0,-0.2298,0.0496,-0.1803,0.0496,-0.2298,-103793000.0,26612000.0,-77181000.0,0.5114,0.312,INVH
2018-06-30 00:00:00,1429585000.0,590949000.0,838636000.0,143319000.0,197474000.0,-317062000.0,320565000.0,-119588000.0,-119588000.0,-100121000.0,-0.24,0.5866,0.1381,-0.0837,-0.07,0.3172,696038000.0,197474000.0,-0.294,0.0396,-0.2545,0.0396,-0.294,-119588000.0,18856000.0,-100732000.0,0.4869,0.2822,INVH
2018-03-31 00:00:00,1239375000.0,513153000.0,726222000.0,137109000.0,173602000.0,-279694000.0,280697000.0,-106092000.0,-106092000.0,-80437000.0,-0.19,0.586,0.1401,-0.0856,-0.0649,0.2999,590479000.0,173602000.0,-0.274,0.0645,-0.2095,0.0646,-0.2741,-106092000.0,25077000.0,-81015000.0,0.4764,0.2558,INVH
2017-12-31 00:00:00,1054456000.0,434839000.0,619617000.0,167739000.0,118207000.0,-257929000.0,256970000.0,-139722000.0,-139722000.0,-105337000.0,-0.3,0.5876,0.1121,-0.1325,-0.0999,0.3513,463589000.0,118207000.0,-0.4116,0.0999,-0.3117,0.1,-0.4117,-139722000.0,33896000.0,-105826000.0,0.4396,0.2494,INVH
2017-09-30 00:00:00,959069000.0,501089000.0,457980000.0,126253000.0,140944000.0,-260644000.0,259624000.0,-119690000.0,-119690000.0,-86041000.0,,0.4775,0.147,-0.1248,-0.0897,0.3774,454406000.0,140944000.0,,,,,,-119690000.0,33659000.0,-86031000.0,0.4738,0.2845,INVH
2017-06-30 00:00:00,948571000.0,498931000.0,449640000.0,117602000.0,155534000.0,-273883000.0,271193000.0,-118339000.0,-118339000.0,-85480000.0,,0.474,0.164,-0.1248,-0.0901,0.354,476662000.0,155534000.0,,,,,,-118339000.0,32869000.0,-85470000.0,0.5025,0.2782,INVH
2017-03-31 00:00:00,936851000.0,495767000.0,441084000.0,114584000.0,151592000.0,-285994000.0,284358000.0,-134392000.0,-134392000.0,-110675000.0,,0.4708,0.1618,-0.1435,-0.1181,0.3469,482215000.0,151592000.0,,,,,,-134392000.0,23727000.0,-110665000.0,0.5147,0.2656,INVH
2016-12-31 00:00:00,922603000.0,488510000.0,434093000.0,71678000.0,190769000.0,-287626000.0,286063000.0,-96847000.0,-96847000.0,-78259000.0,,0.4705,0.2068,-0.105,-0.0848,0.2711,522919000.0,190769000.0,,,,,,-96847000.0,18598000.0,-78249000.0,0.5668,0.2711,INVH
2016-09-30 00:00:00,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,INVH
2016-06-30 00:00:00,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,INVH
