Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Non-operating Income/Expense,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,77150000000.0,15311000000.0,74349000000.0,54768000000.0,19581000000.0,367000000.0,19581000000.0,3773000000.0,15808000000.0,14374000000.0,7.3,0.9637,0.0,0.2538,0.1863,0.0707,7.48,-0.1114,8.0209,-0.1115,7.53,15808000000.0,-230000000.0,15700000000.0,0.0,0.134,C
2022-06-30 00:00:00,73411000000.0,9914000000.0,73288000000.0,52239000000.0,21049000000.0,312000000.0,21049000000.0,4087000000.0,16962000000.0,15552000000.0,7.82,0.9983,0.0,0.2867,0.2118,-0.0589,8.0,-0.1114,8.5323,-0.1115,8.06,16962000000.0,-214000000.0,16856000000.0,0.0,0.0041,C
2022-03-31 00:00:00,73242000000.0,8233000000.0,71403000000.0,48977000000.0,22426000000.0,231000000.0,22426000000.0,4060000000.0,18366000000.0,17177000000.0,8.48,0.9749,0.0,0.3062,0.2345,0.0637,8.54,0.0034,9.1958,0.0034,8.6,18366000000.0,5000000.0,18305000000.0,0.0,0.1227,C
2021-12-31 00:00:00,75735000000.0,7981000000.0,71884000000.0,44415000000.0,27469000000.0,210000000.0,27469000000.0,5451000000.0,22018000000.0,21117000000.0,10.08,0.9492,0.0,0.3627,0.2788,0.2503,10.14,0.0034,10.8338,0.0034,10.21,22018000000.0,,21980000000.0,0.0,0.3021,C
2021-09-30 00:00:00,77650000000.0,7333000000.0,72569000000.0,43609000000.0,28960000000.0,124000000.0,28960000000.0,5796000000.0,23164000000.0,21587000000.0,10.72,0.9346,0.0,0.373,0.278,0.3719,10.54,0.0076,11.2495,0.0077,10.6,23164000000.0,13000000.0,23152000000.0,0.0,0.4207,C
2021-06-30 00:00:00,80619000000.0,8195000000.0,72424000000.0,45372000000.0,27052000000.0,123000000.0,27052000000.0,5380000000.0,21672000000.0,20381000000.0,9.97,0.8983,0.0,0.3356,0.2528,0.2272,9.75,0.0043,10.449,0.0043,9.8,21672000000.0,7000000.0,21679000000.0,0.0,0.2747,C
2021-03-31 00:00:00,84156000000.0,9719000000.0,74437000000.0,53624000000.0,20813000000.0,179000000.0,20813000000.0,4277000000.0,16536000000.0,15285000000.0,7.63,0.8845,0.0,0.2473,0.1816,0.2894,7.29,-0.001,7.94,-0.0011,7.32,16536000000.0,-4000000.0,16532000000.0,0.0,0.334,C
2020-12-31 00:00:00,88839000000.0,13338000000.0,75501000000.0,61869000000.0,13632000000.0,165000000.0,13632000000.0,2525000000.0,11107000000.0,9879000000.0,5.06,0.8499,0.0,0.1534,0.1112,-0.2703,4.73,-0.01,5.3155,-0.0101,4.75,11107000000.0,-20000000.0,11087000000.0,0.0,-0.2321,C
2020-09-30 00:00:00,94702000000.0,17744000000.0,76958000000.0,63065000000.0,13893000000.0,188000000.0,13893000000.0,2112000000.0,11781000000.0,10901000000.0,5.11,0.8126,0.0,0.1467,0.1151,-0.0296,4.95,-0.0147,5.5453,-0.0148,4.99,11781000000.0,-30000000.0,11751000000.0,0.0,0.0028,C
2020-06-30 00:00:00,100689000000.0,22459000000.0,78230000000.0,62269000000.0,15961000000.0,192000000.0,15961000000.0,2414000000.0,13547000000.0,12668000000.0,5.78,0.7769,0.0,0.1585,0.1258,0.0259,5.67,-0.0214,6.2416,-0.0214,5.71,13547000000.0,-38000000.0,13509000000.0,0.0,0.0567,C
2020-03-31 00:00:00,103934000000.0,26712000000.0,77222000000.0,56205000000.0,21017000000.0,155000000.0,21017000000.0,3735000000.0,17282000000.0,16318000000.0,7.22,0.743,0.0,0.2022,0.157,-0.0559,7.23,-0.0109,7.8379,-0.0109,7.27,17282000000.0,-20000000.0,17262000000.0,0.0,-0.0073,C
2019-12-31 00:00:00,103449000000.0,28382000000.0,75067000000.0,51166000000.0,23901000000.0,,23901000000.0,4430000000.0,19471000000.0,18171000000.0,8.04,0.7256,0.0,0.231,0.1757,-0.1732,8.04,-0.0018,8.6551,-0.0018,8.08,19471000000.0,-4000000.0,19467000000.0,0.0,-0.1241,C
2019-09-30 00:00:00,102500000000.0,29468000000.0,73032000000.0,49527000000.0,23505000000.0,,23505000000.0,4728000000.0,18777000000.0,17061000000.0,7.54,0.7125,0.0,0.2293,0.1664,-0.3298,7.54,-0.0049,8.1357,-0.0081,7.56,18777000000.0,-8000000.0,18769000000.0,0.0,-0.2778,C
2019-06-30 00:00:00,101147000000.0,28300000000.0,72847000000.0,49260000000.0,23587000000.0,,23587000000.0,5120000000.0,18467000000.0,16770000000.0,7.2,0.7202,0.0,0.2332,0.1658,-0.1426,7.2,0.0019,7.7818,-0.0013,7.21,18467000000.0,-1000000.0,18466000000.0,0.0,-0.0902,C
2019-03-31 00:00:00,98981000000.0,26423000000.0,72558000000.0,49191000000.0,23367000000.0,,23367000000.0,5191000000.0,18176000000.0,16440000000.0,6.88,0.733,0.0,0.2361,0.1661,-0.1091,6.88,0.0019,7.4625,-0.0013,6.89,18176000000.0,-3000000.0,18173000000.0,0.0,-0.077,C
2018-12-31 00:00:00,97120000000.0,24266000000.0,72854000000.0,49409000000.0,23445000000.0,,23445000000.0,5357000000.0,18088000000.0,16671000000.0,6.69,0.7501,0.0,0.2414,0.1717,0.3438,6.69,0.0001,7.2514,-0.0031,6.69,18088000000.0,-8000000.0,18080000000.0,0.0,0.3805,C
