Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,1048475000.0,347688000.0,700787000.0,53545000.0,518801000.0,-124090000.0,130894000.0,394711000.0,394711000.0,375486000.0,4.74,0.6684,0.4948,0.3765,0.3581,0.1638,819861000.0,518801000.0,4.9662,,4.9855,,4.9855,394711000.0,,394711000.0,0.782,0.4967,FRT
2022-06-30 00:00:00,1022308000.0,334923000.0,687385000.0,52698000.0,412647000.0,-122169000.0,128083000.0,290478000.0,290478000.0,271468000.0,3.47,0.6724,0.4036,0.2841,0.2655,0.0525,707209000.0,412647000.0,3.7214,,3.7235,,3.7235,290478000.0,,290478000.0,0.6918,0.4795,FRT
2022-03-31 00:00:00,989834000.0,324730000.0,665104000.0,51940000.0,397910000.0,-123840000.0,127186000.0,274070000.0,274070000.0,255993000.0,3.29,0.6719,0.402,0.2769,0.2586,0.0201,685686000.0,397910000.0,3.5275,,3.5298,,3.5298,274070000.0,,274070000.0,0.6927,0.4664,FRT
2021-12-31 00:00:00,951224000.0,316617000.0,634607000.0,49856000.0,394725000.0,-125644000.0,127698000.0,269081000.0,269081000.0,252245000.0,3.26,0.6671,0.415,0.2829,0.2652,0.0344,674701000.0,394725000.0,3.478,,3.4794,,3.4794,269081000.0,,269081000.0,0.7093,0.4975,FRT
2021-09-30 00:00:00,916583000.0,307164000.0,609419000.0,47664000.0,399034000.0,-144484000.0,133054000.0,254550000.0,254550000.0,232253000.0,3.03,0.6649,0.4353,0.2777,0.2534,0.0043,665618000.0,399034000.0,3.3229,,3.3239,,3.3239,254550000.0,,254550000.0,0.7262,0.5109,FRT
2021-06-30 00:00:00,877496000.0,300669000.0,576827000.0,44719000.0,317149000.0,-150763000.0,137033000.0,166386000.0,166386000.0,151842000.0,1.98,0.6574,0.3614,0.1896,0.173,-0.0232,578753000.0,317149000.0,2.1739,,2.1741,,2.1741,166386000.0,,166386000.0,0.6596,0.4966,FRT
2021-03-31 00:00:00,822098000.0,295444000.0,526654000.0,41687000.0,286581000.0,-157395000.0,139929000.0,129186000.0,129186000.0,116145000.0,1.52,0.6406,0.3486,0.1571,0.1413,-0.1125,543294000.0,286581000.0,1.6978,,1.6978,,1.6978,129186000.0,,129186000.0,0.6609,0.4456,FRT
2020-12-31 00:00:00,835494000.0,290162000.0,545332000.0,41680000.0,289524000.0,-153636000.0,136289000.0,135888000.0,135888000.0,122672000.0,1.62,0.6527,0.3465,0.1626,0.1468,-0.1735,544551000.0,289524000.0,1.7995,,1.7995,,1.7995,135888000.0,,135888000.0,0.6518,0.4428,FRT
2020-09-30 00:00:00,855130000.0,289437000.0,565693000.0,40080000.0,313946000.0,-131303000.0,125802000.0,182643000.0,182643000.0,175287000.0,2.32,0.6615,0.3671,0.2136,0.205,-0.1238,565980000.0,313946000.0,2.4332,,2.4332,,2.4332,182643000.0,,182643000.0,0.6619,0.4514,FRT
2020-06-30 00:00:00,880880000.0,300599000.0,580281000.0,41832000.0,404276000.0,-120904000.0,116626000.0,283372000.0,283372000.0,269041000.0,3.57,0.6588,0.4589,0.3217,0.3054,-0.108,650327000.0,404276000.0,3.7759,,3.7759,,3.7759,283372000.0,,283372000.0,0.7383,0.4552,FRT
2020-03-31 00:00:00,935118000.0,300187000.0,634931000.0,43440000.0,465560000.0,-110380000.0,110035000.0,355180000.0,355180000.0,339436000.0,4.51,0.679,0.4979,0.3798,0.363,0.0037,707884000.0,465560000.0,4.7384,,4.7384,,4.7384,355180000.0,,355180000.0,0.757,0.5088,FRT
