Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2020-03-31 00:00:00,2471385900.0,1324952100.0,1146433800.0,,582661800.0,63753000.0,,582662000.0,145644000.0,437018000.0,422154000.0,1.55,0.4639,0.2616,0.2358,0.1708,0.2679,777433800.0,646414800.0,1.5915,1.6036,1.6036,437018000.0,437018000.0,0.3146,0.2859,BRO
2019-12-31 00:00:00,2392170900.0,1308165100.0,1084005800.0,,525928900.0,63660000.0,,525929000.0,127415000.0,398514000.0,385641000.0,1.42,0.4531,0.2465,0.2199,0.1612,0.262,720352800.0,589588800.0,1.4511,1.4626,1.4626,398514000.0,398514000.0,0.3011,0.2835,BRO
2019-09-30 00:00:00,2321930000.0,1251578900.0,1070351100.0,,524491200.0,59699000.0,,524491000.0,129044000.0,395447000.0,383393000.0,1.41,0.461,0.2516,0.2259,0.1651,0.2602,712042100.0,584190100.0,1.4383,1.4498,1.4498,395447000.0,395447000.0,0.3067,0.2839,BRO
2019-06-30 00:00:00,2234097000.0,1188503900.0,1045593100.0,,515153100.0,52348000.0,,515153000.0,129159000.0,385994000.0,374996000.0,1.38,0.468,0.254,0.2306,0.1679,0.2429,690024000.0,567501000.0,1.4037,1.4179,1.4179,385994000.0,385994000.0,0.3089,0.2667,BRO
2019-03-31 00:00:00,2132065000.0,1130851900.0,1001213100.0,,492541100.0,46107000.0,,492541000.0,125218000.0,367323000.0,357727000.0,1.32,0.4696,0.2526,0.231,0.1678,0.2079,655818000.0,538648000.0,1.3342,1.3519,1.3519,367323000.0,367323000.0,0.3076,0.2314,BRO
2018-12-31 00:00:00,2014246000.0,1068913900.0,945332100.0,,462462000.0,40580000.0,,462462000.0,118207000.0,344255000.0,335958000.0,1.24,0.4693,0.2497,0.2296,0.1668,0.2636,614037000.0,503042000.0,1.2495,1.2704,1.2704,344255000.0,344255000.0,0.3048,0.2818,BRO
2018-09-30 00:00:00,1979814100.0,1049109000.0,930705100.0,,468185000.0,38053000.0,,468185000.0,9877000.0,458308000.0,447506000.0,1.655,0.4701,0.2557,0.2365,0.226,0.2258,613739000.0,506238000.0,1.6592,1.6908,1.6908,458308000.0,458308000.0,0.31,0.2444,BRO
2018-06-30 00:00:00,1924610100.0,1027126000.0,897484100.0,,450104100.0,38483000.0,,450104000.0,21936000.0,428168000.0,418230000.0,1.545,0.4663,0.2539,0.2339,0.2173,0.2187,596133100.0,488587100.0,1.5472,1.5779,1.5779,428168000.0,428168000.0,0.3097,0.2334,BRO
2018-03-31 00:00:00,1917728100.0,1019685000.0,898043100.0,,457196100.0,38305000.0,,457196000.0,36848000.0,420348000.0,410386000.0,1.51,0.4683,0.2584,0.2384,0.214,0.2108,603860100.0,495501100.0,1.5169,1.546,1.546,420348000.0,420348000.0,0.3149,0.225,BRO
2017-12-31 00:00:00,1881347100.0,994652000.0,886695100.0,,449722100.0,38316000.0,,449722000.0,50092000.0,399630000.0,389884000.0,1.43,0.4713,0.2594,0.239,0.2072,0.2242,598044100.0,488038100.0,1.4396,1.4662,1.4662,399630000.0,399630000.0,0.3179,0.2349,BRO
2017-09-30 00:00:00,1840695000.0,968848000.0,871847000.0,,438289100.0,38813000.0,,438289000.0,168538000.0,269751000.0,263086000.0,0.96,0.4737,0.2592,0.2381,0.1429,0.2138,587408100.0,477102100.0,0.971,0.9876,0.9876,269751000.0,269751000.0,0.3191,0.2203,BRO
2017-06-30 00:00:00,1827323000.0,960439000.0,866884000.0,,430842100.0,39303000.0,,430842000.0,165459000.0,265383000.0,258697000.0,0.945,0.4744,0.2573,0.2358,0.1416,0.2337,580542100.0,470145100.0,0.9566,0.9713,0.9713,265383000.0,265383000.0,0.3177,0.2421,BRO
2017-03-31 00:00:00,1807536000.0,947024000.0,860512000.0,,431917100.0,39266000.0,,431917000.0,166386000.0,265531000.0,258591000.0,0.945,0.4761,0.2607,0.239,0.1431,0.2514,581393100.0,471183100.0,0.9598,0.9731,0.9731,265531000.0,265531000.0,0.3216,0.2588,BRO
2016-12-31 00:00:00,1766629000.0,925217000.0,841412000.0,,423499100.0,39481000.0,,423499000.0,166008000.0,257491000.0,250786000.0,0.92,0.4763,0.2621,0.2397,0.142,0.2254,572447100.0,462980100.0,0.9343,0.9457,0.9457,257491000.0,257491000.0,0.324,0.2327,BRO
2016-09-30 00:00:00,1737562000.0,904347000.0,833215000.0,,423635100.0,39461000.0,,423635000.0,165835000.0,257800000.0,251252000.0,0.92,0.4795,0.2665,0.2438,0.1446,0.2307,572658100.0,463096100.0,0.9345,0.9465,0.9465,257800000.0,257800000.0,0.3296,0.2362,BRO
2016-06-30 00:00:00,1707455000.0,882850000.0,824605000.0,,419493100.0,39460000.0,,419493000.0,165811000.0,253682000.0,247442000.0,0.905,0.4829,0.2688,0.2457,0.1449,0.2251,567695100.0,458953100.0,0.9163,0.9293,0.9293,253682000.0,253682000.0,0.3325,0.2302,BRO
2016-03-31 00:00:00,1680384000.0,869349000.0,811035000.0,,411330100.0,39294000.0,,411330000.0,162893000.0,248437000.0,242654000.0,0.885,0.4826,0.2682,0.2448,0.1444,0.2111,559260100.0,450624100.0,0.8936,0.9075,0.9075,248437000.0,248437000.0,0.3328,0.2168,BRO
2015-12-31 00:00:00,1660509000.0,856952000.0,803557000.0,,402559100.0,39248000.0,,402559000.0,159241000.0,243318000.0,237623000.0,0.86,0.4839,0.2661,0.2424,0.1431,0.2253,550275100.0,441807100.0,0.8683,0.8828,0.8828,243318000.0,243318000.0,0.3314,0.2299,BRO
2015-09-30 00:00:00,1648932000.0,872898000.0,776034100.0,,345968100.0,39438000.0,,345968000.0,136190000.0,209778000.0,204813000.0,0.74,0.4706,0.2337,0.2098,0.1242,0.2352,494627100.0,385406000.0,0.7463,0.7588,0.7588,209778000.0,209778000.0,0.3,0.2367,BRO
2015-06-30 00:00:00,1638183000.0,859868000.0,778315100.0,,345823100.0,36854000.0,,345823000.0,135141000.0,210682000.0,205601000.0,0.735,0.4751,0.2336,0.2111,0.1255,0.2614,492729100.0,382677000.0,0.7446,0.7564,0.7564,210682000.0,210682000.0,0.3008,0.2654,BRO
2015-03-31 00:00:00,1616500000.0,838664000.0,777836100.0,,346690100.0,34187000.0,,346690000.0,135258000.0,211432000.0,206259000.0,0.74,0.4812,0.2356,0.2145,0.1276,0.2234,489480100.0,380877000.0,0.7424,0.7532,0.7532,211432000.0,211432000.0,0.3028,0.228,BRO
2014-12-31 00:00:00,1575796000.0,811112000.0,764684100.0,,339749100.0,28408000.0,,339749000.0,132853000.0,206896000.0,201710000.0,0.725,0.4853,0.2336,0.2156,0.128,0.2372,472039100.0,368157000.0,0.724,0.734,0.734,206896000.0,206896000.0,0.2996,0.2443,BRO
2014-09-30 00:00:00,1525941100.0,763093000.0,762848100.0,26848000.0,377745000.0,22698000.0,,377745000.0,148019000.0,229726000.0,223783000.0,0.8,0.4999,0.2624,0.2475,0.1467,0.2281,498644000.0,400443000.0,0.8046,0.8132,0.8132,229726000.0,229726000.0,0.3268,0.2391,BRO
2014-06-30 00:00:00,1463833100.0,740495000.0,723338100.0,28639000.0,360515000.0,19535000.0,,360515000.0,141371000.0,219144000.0,213256000.0,0.765,0.4941,0.2596,0.2463,0.1457,0.2267,473136000.0,380050000.0,0.7678,0.7753,0.7753,219144000.0,219144000.0,0.3232,0.2357,BRO
2014-03-31 00:00:00,1391861100.0,707612000.0,684249100.0,26268000.0,344955000.0,16528000.0,,344955000.0,135559000.0,209396000.0,203882000.0,0.725,0.4916,0.2597,0.2478,0.1465,0.2212,449088000.0,361483000.0,0.7337,0.7413,0.7413,209396000.0,209396000.0,0.3227,0.2295,BRO
2013-12-31 00:00:00,1363279100.0,683000000.0,680279100.0,22603000.0,357609000.0,16440000.0,,357609000.0,140497000.0,217112000.0,211666000.0,0.75,0.499,0.2744,0.2623,0.1553,0.2779,459466000.0,374049000.0,0.7611,0.7697,0.7697,217112000.0,217112000.0,0.337,0.2856,BRO
2013-09-30 00:00:00,1322944000.0,662007000.0,660937100.0,19376000.0,350394100.0,16120000.0,,350394000.0,137870000.0,212524000.0,207295000.0,0.74,0.4996,0.277,0.2649,0.1567,0.2528,449663100.0,366514000.0,0.7437,0.755,0.755,212524000.0,212524000.0,0.3399,0.2579,BRO
2013-06-30 00:00:00,1267434000.0,631170000.0,636264100.0,15853000.0,336588100.0,15991000.0,,336588000.0,132309000.0,204279000.0,199248000.0,0.71,0.502,0.2782,0.2656,0.1572,0.2533,433318100.0,352579000.0,0.7157,0.7279,0.7279,204279000.0,204279000.0,0.3419,0.2599,BRO
2013-03-31 00:00:00,1232558000.0,618408000.0,614150100.0,15968000.0,321512100.0,15994000.0,,321512000.0,126769000.0,194743000.0,189621000.0,0.68,0.4983,0.2738,0.2608,0.1538,0.2602,417526100.0,337506000.0,0.6836,0.696,0.696,194743000.0,194743000.0,0.3387,0.269,BRO
2012-12-31 00:00:00,1200032000.0,608506000.0,591526100.0,15865000.0,304811100.0,16097000.0,,304811000.0,120766000.0,184045000.0,178732000.0,0.64,0.4929,0.2674,0.254,0.1489,0.1753,399854100.0,320908000.0,0.648,0.6603,0.6603,184045000.0,184045000.0,0.3332,0.1836,BRO
