Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,3410497900.0,1758211000.0,1652286800.0,,822622900.0,111981000.0,138900000.0,822623000.0,194319000.0,628304000.0,616462000.0,2.22,0.4845,0.274,0.2412,0.1808,0.2584,1113815900.0,934604100.0,2.2554,2.2658,2.2658,628304000.0,628304000.0,0.3266,0.2681,BRO
2022-06-30 00:00:00,3253197900.0,1682911000.0,1570286800.0,,801122800.0,86681000.0,123038000.0,801123000.0,187519000.0,613604000.0,601562000.0,2.17,0.4827,0.2729,0.2463,0.1849,0.245,1050515800.0,887804000.0,2.205,2.216,2.216,613604000.0,613604000.0,0.3229,0.2528,BRO
2022-03-31 00:00:00,3140797900.0,1666411000.0,1474386800.0,,788622800.0,66981000.0,126434000.0,788623000.0,180919000.0,607704000.0,595362000.0,2.15,0.4694,0.2724,0.2511,0.1896,0.2531,1013715800.0,855604000.0,2.1862,2.1975,2.1975,607704000.0,607704000.0,0.3228,0.2616,BRO
2021-12-31 00:00:00,3051397900.0,1636911000.0,1414486800.0,,762822800.0,64981000.0,113844000.0,762823000.0,175719000.0,587104000.0,574162000.0,2.08,0.4636,0.2713,0.25,0.1882,0.2713,983715800.0,827804000.0,2.1164,2.1271,2.1271,587104000.0,587104000.0,0.3224,0.2806,BRO
2021-09-30 00:00:00,2955012100.0,1597571000.0,1357441100.0,,752917200.0,65439000.0,83344000.0,752917000.0,170197000.0,582720000.0,568935000.0,2.06,0.4594,0.2769,0.2548,0.1925,0.2316,971051200.0,818356100.0,2.1023,2.1121,2.1121,582720000.0,582720000.0,0.3286,0.2449,BRO
2021-06-30 00:00:00,2858674100.0,1565338000.0,1293336100.0,,714945300.0,62473000.0,66524000.0,714945000.0,144646000.0,570299000.0,555874000.0,2.01,0.4524,0.272,0.2501,0.1945,0.2248,924983300.0,777418100.0,2.0585,2.0683,2.0683,570299000.0,570299000.0,0.3236,0.2396,BRO
2021-03-31 00:00:00,2730180100.0,1516253000.0,1213927100.0,,658046300.0,59982000.0,51563000.0,658046000.0,130263000.0,527783000.0,512778000.0,1.86,0.4446,0.263,0.241,0.1878,0.2819,859963300.0,718028100.0,1.9082,1.9174,1.9174,527783000.0,527783000.0,0.315,0.3025,BRO
2020-12-31 00:00:00,2613375100.0,1436377000.0,1176998100.0,,624099300.0,58973000.0,57496000.0,624099000.0,143616000.0,480483000.0,465286000.0,1.69,0.4504,0.2614,0.2388,0.178,0.2528,820238300.0,683072100.0,1.7418,1.7515,1.7515,480483000.0,480483000.0,0.3139,0.2761,BRO
2020-09-30 00:00:00,2550251900.0,1393504100.0,1156747800.0,,595230800.0,58189000.0,89096000.0,595231000.0,135549000.0,459682000.0,444290000.0,1.62,0.4536,0.2562,0.2334,0.1742,0.2807,787410800.0,653419700.0,1.6708,1.6814,1.6814,459682000.0,459682000.0,0.3088,0.3022,BRO
2020-06-30 00:00:00,2494972900.0,1361857100.0,1133115800.0,,588540800.0,61269000.0,,588541000.0,147332000.0,441209000.0,425785000.0,1.56,0.4542,0.2604,0.2359,0.1707,0.2946,782151800.0,649809800.0,1.6069,1.6183,1.6183,441209000.0,441209000.0,0.3135,0.3163,BRO
