Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,14550000000.0,8849000000.0,5701000000.0,2838000000.0,5930000000.0,723000000.0,347000000.0,723000000.0,5315000000.0,1233000000.0,4082000000.0,4082000000.0,1.87,0.3918,0.4076,0.3653,0.2805,0.2619,7168000000.0,5930000000.0,1.8794,1.8837,,1.8837,4082000000.0,4082000000.0,0.4926,0.3804,CSX
2022-06-30 00:00:00,13947000000.0,8395000000.0,5552000000.0,2710000000.0,5787000000.0,707000000.0,336000000.0,707000000.0,5171000000.0,1232000000.0,3939000000.0,3939000000.0,1.78,0.3981,0.4149,0.3708,0.2824,0.2662,7008000000.0,5787000000.0,1.7886,1.7928,,1.7928,3939000000.0,3939000000.0,0.5025,0.375,CSX
2022-03-31 00:00:00,13122000000.0,6876000000.0,6246000000.0,2622000000.0,5775000000.0,717000000.0,20000000.0,717000000.0,5143000000.0,1209000000.0,3934000000.0,3934000000.0,1.76,0.476,0.4401,0.3919,0.2998,0.2962,7104000000.0,5775000000.0,1.7596,1.7636,,1.7636,3934000000.0,3934000000.0,0.5414,0.3937,CSX
2021-12-31 00:00:00,12522000000.0,5468000000.0,7054000000.0,2550000000.0,5594000000.0,722000000.0,-197000000.0,722000000.0,4951000000.0,1170000000.0,3781000000.0,3781000000.0,1.68,0.5633,0.4467,0.3954,0.3019,0.3064,6935000000.0,5594000000.0,1.6767,1.6804,,1.6804,3781000000.0,3781000000.0,0.5538,0.4072,CSX
2021-09-30 00:00:00,11920000000.0,4083000000.0,7837000000.0,2435000000.0,5443000000.0,731000000.0,-466000000.0,731000000.0,4740000000.0,1133000000.0,3607000000.0,3607000000.0,1.59,0.6575,0.4566,0.3977,0.3026,0.3036,6790000000.0,5443000000.0,1.5869,1.5906,2.4,1.5906,3607000000.0,3607000000.0,0.5696,0.4156,CSX
2021-06-30 00:00:00,11276000000.0,2756000000.0,8520000000.0,2378000000.0,5148000000.0,741000000.0,-719000000.0,741000000.0,4429000000.0,1054000000.0,3375000000.0,3375000000.0,1.48,0.7556,0.4565,0.3928,0.2993,0.2782,6536000000.0,5148000000.0,1.4751,1.4786,,1.4786,3375000000.0,3375000000.0,0.5796,0.3971,CSX
2021-03-31 00:00:00,10541000000.0,2621000000.0,7920000000.0,2289000000.0,4285000000.0,751000000.0,-734000000.0,751000000.0,3551000000.0,850000000.0,2701000000.0,2701000000.0,1.1767,0.7514,0.4065,0.3369,0.2562,0.2644,5669000000.0,4285000000.0,1.1764,1.1791,,1.1791,2701000000.0,2701000000.0,0.5378,0.4095,CSX
2020-12-31 00:00:00,10583000000.0,2598000000.0,7985000000.0,2275000000.0,4362000000.0,754000000.0,-735000000.0,754000000.0,3627000000.0,862000000.0,2765000000.0,2765000000.0,1.2,0.7545,0.4122,0.3427,0.2613,0.2545,5745000000.0,4362000000.0,1.1996,1.2022,,1.2022,2765000000.0,2765000000.0,0.5429,0.4028,CSX
2020-09-30 00:00:00,10643000000.0,2875000000.0,7768000000.0,2345000000.0,4301000000.0,754000000.0,-687000000.0,754000000.0,3614000000.0,838000000.0,2776000000.0,2776000000.0,1.2,0.7299,0.4041,0.3396,0.2608,0.2493,5681000000.0,4301000000.0,1.1998,1.2018,3.05,1.2018,2776000000.0,2776000000.0,0.5338,0.3985,CSX
2020-06-30 00:00:00,10973000000.0,3001000000.0,7972000000.0,2409000000.0,4447000000.0,,-676000000.0,753000000.0,3771000000.0,875000000.0,2896000000.0,2896000000.0,1.24,0.7265,0.4053,0.3437,0.2639,0.2945,5817000000.0,4447000000.0,1.2401,1.2423,3.75,1.2423,2896000000.0,2896000000.0,0.5301,0.4344,CSX
2020-03-31 00:00:00,11779000000.0,3093000000.0,8686000000.0,2550000000.0,4924000000.0,,-659000000.0,746000000.0,4265000000.0,998000000.0,3267000000.0,3267000000.0,1.3833,0.7374,0.418,0.3621,0.2774,0.2896,6287000000.0,4924000000.0,1.3826,1.3853,3.0967,1.3853,3267000000.0,3267000000.0,0.5337,0.4122,CSX
2019-12-31 00:00:00,11937000000.0,3158000000.0,8779000000.0,2616000000.0,4965000000.0,,-649000000.0,737000000.0,4316000000.0,985000000.0,3331000000.0,3331000000.0,1.39,0.7354,0.4159,0.3616,0.279,0.2888,6314000000.0,4965000000.0,1.3909,1.3943,,1.3943,3331000000.0,3331000000.0,0.5289,0.4063,CSX
2019-09-30 00:00:00,12195000000.0,2978000000.0,9217000000.0,2636000000.0,5060000000.0,,-627000000.0,719000000.0,4433000000.0,1030000000.0,3403000000.0,3403000000.0,1.3967,0.7558,0.4149,0.3635,0.279,0.2916,6410000000.0,5060000000.0,1.3944,1.3992,,1.3992,3403000000.0,3403000000.0,0.5256,0.4077,CSX
2019-06-30 00:00:00,12346000000.0,3094000000.0,9252000000.0,2693000000.0,5066000000.0,,-608000000.0,695000000.0,4458000000.0,1017000000.0,3441000000.0,3441000000.0,1.3867,0.7494,0.4103,0.3611,0.2787,0.2861,6412000000.0,5066000000.0,1.383,1.3886,2.1167,1.3886,3441000000.0,3441000000.0,0.5194,0.3968,CSX
2019-03-31 00:00:00,12387000000.0,3266000000.0,9121000000.0,2714000000.0,5044000000.0,,-588000000.0,668000000.0,4456000000.0,1008000000.0,3448000000.0,3448000000.0,1.3634,0.7363,0.4072,0.3597,0.2784,0.2771,6382000000.0,5044000000.0,1.3604,1.3667,1.03,1.3667,3448000000.0,3448000000.0,0.5152,0.3914,CSX
2018-12-31 00:00:00,12250000000.0,3312000000.0,8938000000.0,2738000000.0,4869000000.0,,-565000000.0,639000000.0,4304000000.0,995000000.0,3309000000.0,3309000000.0,1.2834,0.7296,0.3975,0.3513,0.2701,0.2624,6200000000.0,4869000000.0,1.281,1.287,,1.287,3309000000.0,3309000000.0,0.5061,0.3789,CSX
2018-09-30 00:00:00,11970000000.0,3402000000.0,8568000000.0,2735000000.0,4746000000.0,,-557000000.0,608000000.0,4189000000.0,-2417000000.0,6606000000.0,6606000000.0,2.4867,0.7158,0.3965,0.35,0.5519,0.2101,6069000000.0,4746000000.0,2.4591,2.468,,2.468,6606000000.0,6606000000.0,0.507,0.3356,CSX
2018-06-30 00:00:00,11584000000.0,3408000000.0,8176000000.0,2765000000.0,4321000000.0,,-532000000.0,578000000.0,3789000000.0,-2382000000.0,6171000000.0,6171000000.0,2.3067,0.7058,0.373,0.3271,0.5327,0.1924,5641000000.0,4321000000.0,2.2791,2.287,,2.287,6171000000.0,6171000000.0,0.487,0.338,CSX
2018-03-31 00:00:00,11415000000.0,3356000000.0,8059000000.0,2847000000.0,3995000000.0,,-523000000.0,558000000.0,3472000000.0,-2332000000.0,5804000000.0,5804000000.0,2.1533,0.706,0.35,0.3042,0.5085,0.137,5313000000.0,3995000000.0,2.1263,2.1335,,2.1335,5804000000.0,5804000000.0,0.4654,0.2974,CSX
2017-12-31 00:00:00,11408000000.0,3406000000.0,8002000000.0,2946000000.0,3720000000.0,,-578000000.0,546000000.0,3142000000.0,-2329000000.0,5471000000.0,5471000000.0,2.0233,0.7014,0.3261,0.2754,0.4796,0.134,5035000000.0,3720000000.0,1.9953,2.0019,,2.0019,5471000000.0,5471000000.0,0.4414,0.3043,CSX
2017-09-30 00:00:00,11582000000.0,3407000000.0,8175000000.0,3099000000.0,3622000000.0,,-712000000.0,562000000.0,2910000000.0,1121000000.0,1789000000.0,1789000000.0,0.6466,0.7058,0.3127,0.2513,0.1545,0.1189,4948000000.0,3622000000.0,0.6456,0.6477,,0.6477,1789000000.0,1789000000.0,0.4272,0.2948,CSX
2017-06-30 00:00:00,11549000000.0,3356000000.0,8193000000.0,3136000000.0,3595000000.0,,-720000000.0,569000000.0,2875000000.0,1090000000.0,1785000000.0,1785000000.0,0.6366,0.7094,0.3113,0.2489,0.1546,0.0813,4911000000.0,3595000000.0,0.6375,0.6391,,0.6391,1785000000.0,1785000000.0,0.4252,0.2611,CSX
2017-03-31 00:00:00,11320000000.0,3353000000.0,7967000000.0,3134000000.0,3478000000.0,,-723000000.0,573000000.0,2755000000.0,1035000000.0,1720000000.0,1720000000.0,0.61,0.7038,0.3072,0.2434,0.1519,0.0993,4786000000.0,3478000000.0,0.6093,0.6101,,0.6101,1720000000.0,1720000000.0,0.4228,0.2942,CSX
2016-12-31 00:00:00,11069000000.0,3270000000.0,7799000000.0,3135000000.0,3413000000.0,,-672000000.0,579000000.0,2741000000.0,1027000000.0,1714000000.0,1714000000.0,0.6033,0.7046,0.3083,0.2476,0.1548,0.0757,4714000000.0,3413000000.0,0.6026,0.6033,,0.6033,1714000000.0,1714000000.0,0.4259,0.2747,CSX
2016-09-30 00:00:00,10813000000.0,3306000000.0,7507000000.0,3106000000.0,3176000000.0,,-445000000.0,563000000.0,2731000000.0,1009000000.0,1722000000.0,1722000000.0,0.6,0.6943,0.2937,0.2526,0.1593,0.1113,4441000000.0,3176000000.0,0.5995,0.6,,0.6,1722000000.0,1722000000.0,0.4107,0.3094,CSX
2016-06-30 00:00:00,11042000000.0,3437000000.0,7605000000.0,3131000000.0,3268000000.0,,-453000000.0,560000000.0,2815000000.0,1041000000.0,1774000000.0,1774000000.0,0.6133,0.6887,0.296,0.2549,0.1607,0.1032,4514000000.0,3268000000.0,0.6108,0.6113,,0.6113,1774000000.0,1774000000.0,0.4088,0.3061,CSX
