Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2016-03-31 00:00:00,11402000000.0,3564000000.0,7838000000.0,3207000000.0,3445000000.0,,-450000000.0,553000000.0,2995000000.0,1113000000.0,1882000000.0,1882000000.0,0.6433,0.6874,0.3021,0.2627,0.1651,0.1045,4671000000.0,3445000000.0,0.6414,0.6421,,0.6421,1882000000.0,1882000000.0,0.4097,0.3012,CSX
2015-12-31 00:00:00,11811000000.0,3769000000.0,8042000000.0,3290000000.0,3584000000.0,,-446000000.0,544000000.0,3138000000.0,1170000000.0,1968000000.0,1968000000.0,0.67,0.6809,0.3034,0.2657,0.1666,0.0809,4792000000.0,3584000000.0,0.6667,0.6674,,0.6674,1968000000.0,1968000000.0,0.4057,0.2853,CSX
2015-09-30 00:00:00,12222000000.0,3942000000.0,8280000000.0,3400000000.0,3694000000.0,,-522000000.0,537000000.0,3172000000.0,1179000000.0,1993000000.0,1993000000.0,0.6733,0.6775,0.3022,0.2595,0.1631,0.0657,4880000000.0,3694000000.0,0.6708,0.672,,0.672,1993000000.0,1993000000.0,0.3993,0.2907,CSX
2015-06-30 00:00:00,12504000000.0,4134000000.0,8370000000.0,3458000000.0,3737000000.0,,-551000000.0,538000000.0,3186000000.0,1191000000.0,1995000000.0,1995000000.0,0.67,0.6694,0.2989,0.2548,0.1595,0.0617,4912000000.0,3737000000.0,0.6685,0.6695,,0.6695,1995000000.0,1995000000.0,0.3928,0.2783,CSX
2015-03-31 00:00:00,12684000000.0,4362000000.0,8322000000.0,3442000000.0,3717000000.0,,-568000000.0,539000000.0,3149000000.0,1178000000.0,1971000000.0,1971000000.0,0.66,0.6561,0.293,0.2483,0.1554,0.0728,4880000000.0,3717000000.0,0.6579,0.6587,,0.6587,1971000000.0,1971000000.0,0.3847,0.2707,CSX
2014-12-31 00:00:00,12669000000.0,4528000000.0,8141000000.0,3377000000.0,3613000000.0,,-569000000.0,545000000.0,3044000000.0,1117000000.0,1927000000.0,1927000000.0,0.6433,0.6426,0.2852,0.2403,0.1521,0.0755,4764000000.0,3613000000.0,0.641,0.6416,,0.6416,1927000000.0,1927000000.0,0.376,0.2639,CSX
2014-09-30 00:00:00,12509000000.0,4571000000.0,7938000000.0,3271000000.0,3525000000.0,,-582000000.0,551000000.0,2943000000.0,1081000000.0,1862000000.0,1862000000.0,0.62,0.6346,0.2818,0.2353,0.1489,0.0797,4667000000.0,3525000000.0,0.6177,0.6172,,0.6172,1862000000.0,1862000000.0,0.3731,0.2454,CSX
2014-06-30 00:00:00,12273000000.0,4539000000.0,7734000000.0,3217000000.0,3389000000.0,,-550000000.0,550000000.0,2839000000.0,1031000000.0,1808000000.0,1808000000.0,0.6033,0.6302,0.2761,0.2313,0.1473,0.0847,4517000000.0,3389000000.0,0.5969,0.5965,,0.5965,1808000000.0,1808000000.0,0.368,0.2553,CSX
2014-03-31 00:00:00,12075000000.0,4441000000.0,7634000000.0,3185000000.0,3332000000.0,,-534000000.0,555000000.0,2798000000.0,998000000.0,1800000000.0,1800000000.0,0.5999,0.6322,0.2759,0.2317,0.1491,0.0738,4449000000.0,3332000000.0,0.5909,0.5906,,0.5906,1800000000.0,1800000000.0,0.3684,0.2596,CSX
2013-12-31 00:00:00,12026000000.0,4311000000.0,7715000000.0,3138000000.0,3473000000.0,,-551000000.0,562000000.0,2922000000.0,1058000000.0,1864000000.0,1864000000.0,0.6166,0.6415,0.2888,0.243,0.155,0.0837,4577000000.0,3473000000.0,0.6098,0.6097,,0.6097,1864000000.0,1864000000.0,0.3806,0.2717,CSX
2013-09-30 00:00:00,11885000000.0,4233000000.0,7652000000.0,3087000000.0,3471000000.0,,-498000000.0,568000000.0,2973000000.0,1088000000.0,1885000000.0,1885000000.0,0.6199,0.6438,0.292,0.2501,0.1586,0.095,4565000000.0,3471000000.0,0.6143,0.615,,0.615,1885000000.0,1885000000.0,0.3841,0.2643,CSX
2013-06-30 00:00:00,11794000000.0,4174000000.0,7620000000.0,3050000000.0,3485000000.0,,-500000000.0,570000000.0,2985000000.0,1100000000.0,1885000000.0,1885000000.0,0.6133,0.6461,0.2955,0.2531,0.1598,0.1032,4570000000.0,3485000000.0,0.6111,0.612,,0.612,1885000000.0,1885000000.0,0.3875,0.2742,CSX
2013-03-31 00:00:00,11760000000.0,4183000000.0,7577000000.0,3017000000.0,3488000000.0,,-503000000.0,569000000.0,2985000000.0,1109000000.0,1876000000.0,1876000000.0,0.6033,0.6443,0.2966,0.2538,0.1595,0.0898,4560000000.0,3488000000.0,0.6049,0.606,,0.606,1876000000.0,1876000000.0,0.3878,0.2749,CSX
2012-12-31 00:00:00,11763000000.0,4220000000.0,7543000000.0,3020000000.0,3464000000.0,,-493000000.0,566000000.0,2971000000.0,1108000000.0,1863000000.0,1863000000.0,0.5966,0.6412,0.2945,0.2526,0.1584,0.0672,4523000000.0,3464000000.0,0.5971,0.5982,,0.5982,1863000000.0,1863000000.0,0.3845,0.2504,CSX
