Date,Revenue,Cost of Revenue,Gross Profit,Operating Income,Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Share of Subsidiary Earnings,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,91453000000.0,74546000000.0,16939000000.0,3737000000.0,-108000000.0,384000000.0,3579000000.0,769000000.0,2810000000.0,-3000000.0,2807000000.0,22.05,0.1852,0.0409,0.0391,0.0307,0.0917,4559000000.0,3737000000.0,22.0416,22.1563,22.1563,2807000000.0,2807000000.0,0.0499,0.1052,HUM
2022-06-30 00:00:00,90410000000.0,73478000000.0,15905000000.0,3193000000.0,-264000000.0,370000000.0,3918000000.0,782000000.0,3136000000.0,9000000.0,3143000000.0,24.51,0.1759,0.0353,0.0433,0.0348,0.0302,3982000000.0,3193000000.0,24.519,24.6435,24.6435,3145000000.0,3145000000.0,0.044,0.0442,HUM
2022-03-31 00:00:00,87393000000.0,71528000000.0,14838000000.0,3214000000.0,-669000000.0,348000000.0,3534000000.0,538000000.0,2996000000.0,40000000.0,3035000000.0,23.6,0.1698,0.0368,0.0404,0.0347,0.0238,3964000000.0,3214000000.0,23.5789,23.7036,23.7036,3036000000.0,3036000000.0,0.0454,0.0389,HUM
2021-12-31 00:00:00,84091000000.0,69199000000.0,13865000000.0,3148000000.0,-783000000.0,326000000.0,3354000000.0,485000000.0,2869000000.0,65000000.0,2933000000.0,22.72,0.1649,0.0374,0.0399,0.0349,0.0112,3861000000.0,3148000000.0,22.6746,22.7992,22.7992,2934000000.0,2934000000.0,0.0459,0.0269,HUM
2021-09-30 00:00:00,82131000000.0,67974000000.0,13098000000.0,2741000000.0,-863000000.0,307000000.0,2956000000.0,358000000.0,2598000000.0,75000000.0,2673000000.0,20.76,0.1595,0.0334,0.036,0.0325,0.017,3420000000.0,2741000000.0,20.7303,20.8436,20.8436,2673000000.0,2673000000.0,0.0416,0.0322,HUM
2021-06-30 00:00:00,80450000000.0,66269000000.0,14181000000.0,3936000000.0,-861000000.0,294000000.0,3075000000.0,688000000.0,2387000000.0,95000000.0,2482000000.0,19.04,0.1763,0.0489,0.0382,0.0309,0.0057,4595000000.0,3936000000.0,18.9459,19.058,19.058,2482000000.0,2482000000.0,0.0571,0.0201,HUM
2021-03-31 00:00:00,78888000000.0,63295000000.0,15593000000.0,5135000000.0,-212000000.0,291000000.0,4923000000.0,1288000000.0,3635000000.0,87000000.0,3722000000.0,28.3,0.1977,0.0651,0.0624,0.0472,0.0414,5774000000.0,5135000000.0,28.1434,28.3115,28.3115,3722000000.0,3722000000.0,0.0732,0.0549,HUM
2020-12-31 00:00:00,77155000000.0,61628000000.0,15527000000.0,4986000000.0,-386000000.0,283000000.0,4600000000.0,1307000000.0,3293000000.0,74000000.0,3367000000.0,25.46,0.2012,0.0646,0.0596,0.0436,0.0606,5602000000.0,4986000000.0,25.3136,25.4692,25.4692,3367000000.0,3367000000.0,0.0726,0.0731,HUM
2020-09-30 00:00:00,74388000000.0,59104000000.0,15284000000.0,5694000000.0,-43000000.0,269000000.0,5651000000.0,1564000000.0,4087000000.0,66000000.0,4153000000.0,31.4,0.2055,0.0765,0.076,0.0558,0.0668,6290000000.0,5694000000.0,31.2194,31.4141,31.4141,4153000000.0,4153000000.0,0.0846,0.0789,HUM
2020-06-30 00:00:00,70554000000.0,56850000000.0,13704000000.0,4739000000.0,45000000.0,256000000.0,4784000000.0,1314000000.0,3470000000.0,32000000.0,3502000000.0,26.45,0.1942,0.0672,0.0678,0.0496,0.0799,5333000000.0,4739000000.0,26.2998,26.455,26.455,3502000000.0,3502000000.0,0.0756,0.0921,HUM
2020-03-31 00:00:00,67716000000.0,55993000000.0,11723000000.0,3419000000.0,8000000.0,240000000.0,3427000000.0,832000000.0,2595000000.0,19000000.0,2614000000.0,19.58,0.1731,0.0505,0.0506,0.0386,0.0601,4003000000.0,3419000000.0,19.491,19.5922,19.5922,2614000000.0,2614000000.0,0.0591,0.0718,HUM
2019-12-31 00:00:00,64888000000.0,53857000000.0,11031000000.0,3192000000.0,264000000.0,242000000.0,3456000000.0,763000000.0,2693000000.0,14000000.0,2707000000.0,20.18,0.17,0.0492,0.0533,0.0417,0.0701,3767000000.0,3192000000.0,20.0924,20.1932,20.1932,2707000000.0,2707000000.0,0.0581,0.0814,HUM
2019-09-30 00:00:00,62761000000.0,51601000000.0,11160000000.0,3347000000.0,-48000000.0,243000000.0,3299000000.0,767000000.0,2532000000.0,18000000.0,2550000000.0,18.91,0.1778,0.0533,0.0526,0.0406,0.0599,3916000000.0,3347000000.0,18.8238,18.9117,18.9117,2550000000.0,2550000000.0,0.0624,0.0707,HUM
2019-06-30 00:00:00,60726000000.0,49487000000.0,11239000000.0,3440000000.0,-128000000.0,234000000.0,3312000000.0,833000000.0,2479000000.0,26000000.0,2505000000.0,18.42,0.1851,0.0566,0.0545,0.0413,0.005,3981000000.0,3440000000.0,18.3269,18.4202,18.4202,2505000000.0,2505000000.0,0.0656,0.0155,HUM
2019-03-31 00:00:00,58740000000.0,47705000000.0,11035000000.0,3187000000.0,-1085000000.0,227000000.0,2102000000.0,358000000.0,1744000000.0,,1758000000.0,12.86,0.1879,0.0543,0.0358,0.0299,-0.021,3718000000.0,3187000000.0,12.7864,12.8615,12.8615,1758000000.0,1758000000.0,0.0633,-0.0105,HUM
2018-12-31 00:00:00,56912000000.0,45882000000.0,11030000000.0,3100000000.0,-1037000000.0,218000000.0,2063000000.0,391000000.0,1672000000.0,,1683000000.0,12.24,0.1938,0.0545,0.0362,0.0296,0.0274,3634000000.0,3100000000.0,12.1602,12.2413,12.2413,1683000000.0,1683000000.0,0.0639,0.0382,HUM
2018-09-30 00:00:00,55933000000.0,45088000000.0,10845000000.0,3149000000.0,-1032000000.0,235000000.0,2117000000.0,614000000.0,1503000000.0,,1512000000.0,10.94,0.1939,0.0563,0.0378,0.027,-0.0177,3677000000.0,3149000000.0,11.0025,11.082,11.082,1512000000.0,1512000000.0,0.0657,-0.0072,HUM
2018-06-30 00:00:00,55009000000.0,44487000000.0,10522000000.0,3046000000.0,-1031000000.0,241000000.0,2015000000.0,648000000.0,1367000000.0,,1367000000.0,9.72,0.1913,0.0554,0.0366,0.0249,0.0536,3563000000.0,3046000000.0,9.7915,9.8656,9.8656,1367000000.0,1367000000.0,0.0648,0.0639,HUM
2018-03-31 00:00:00,54284000000.0,43840000000.0,10444000000.0,3284000000.0,-246000000.0,246000000.0,3038000000.0,1214000000.0,1824000000.0,,1824000000.0,12.81,0.1924,0.0605,0.056,0.0336,0.0552,3790000000.0,3284000000.0,12.862,12.9598,12.9598,1824000000.0,1824000000.0,0.0698,0.0651,HUM
2017-12-31 00:00:00,53767000000.0,43496000000.0,10271000000.0,4262000000.0,-242000000.0,242000000.0,4020000000.0,1572000000.0,2448000000.0,,2448000000.0,16.79,0.191,0.0793,0.0748,0.0455,0.0656,4747000000.0,4262000000.0,16.815,16.9421,16.9421,2448000000.0,2448000000.0,0.0883,0.0753,HUM
2017-09-30 00:00:00,53456000000.0,44058000000.0,9398000000.0,3258000000.0,-214000000.0,214000000.0,3044000000.0,1181000000.0,1863000000.0,,1863000000.0,12.81,0.1758,0.0609,0.0569,0.0349,0.0689,3732000000.0,3258000000.0,12.7267,12.8121,12.8121,1863000000.0,1863000000.0,0.0698,0.0784,HUM
2017-06-30 00:00:00,53868000000.0,44316000000.0,9552000000.0,3349000000.0,-202000000.0,202000000.0,3147000000.0,1333000000.0,1814000000.0,,1814000000.0,12.36,0.1773,0.0622,0.0584,0.0337,0.0989,3820000000.0,3349000000.0,12.2758,12.3637,12.3637,1814000000.0,1814000000.0,0.0709,0.1082,HUM
2017-03-31 00:00:00,54341000000.0,44936000000.0,9405000000.0,2932000000.0,-191000000.0,191000000.0,2741000000.0,1266000000.0,1475000000.0,,1475000000.0,9.95,0.1731,0.054,0.0504,0.0271,0.0941,3400000000.0,2932000000.0,9.8749,9.9504,9.9504,1475000000.0,1475000000.0,0.0626,0.1038,HUM
2016-12-31 00:00:00,54379000000.0,45007000000.0,9372000000.0,1741000000.0,-189000000.0,189000000.0,1552000000.0,938000000.0,614000000.0,,614000000.0,3.98,0.1723,0.032,0.0285,0.0113,0.0259,2206000000.0,1741000000.0,4.0685,4.1105,4.1105,614000000.0,614000000.0,0.0406,0.0356,HUM
2016-09-30 00:00:00,54862000000.0,44922000000.0,9940000000.0,2468000000.0,-184000000.0,187000000.0,2284000000.0,1168000000.0,1116000000.0,,1116000000.0,7.34,0.1812,0.045,0.0416,0.0203,0.0823,2928000000.0,2468000000.0,7.4092,7.4844,7.4844,1116000000.0,1116000000.0,0.0534,0.092,HUM
2016-06-30 00:00:00,54531000000.0,44918000000.0,9613000000.0,2214000000.0,-184000000.0,187000000.0,2030000000.0,1050000000.0,980000000.0,,980000000.0,6.44,0.1763,0.0406,0.0372,0.018,0.0194,2664000000.0,2214000000.0,6.5141,6.5817,6.5817,980000000.0,980000000.0,0.0489,0.0289,HUM
2016-03-31 00:00:00,54256000000.0,44661000000.0,9595000000.0,2104000000.0,83000000.0,187000000.0,2187000000.0,1087000000.0,1100000000.0,,1100000000.0,7.24,0.1768,0.0388,0.0403,0.0203,0.0136,2552000000.0,2104000000.0,7.3033,7.3833,7.3833,1100000000.0,1100000000.0,0.047,0.0233,HUM
2015-12-31 00:00:00,54289000000.0,44269000000.0,10020000000.0,2347000000.0,84000000.0,186000000.0,2431000000.0,1155000000.0,1276000000.0,,1276000000.0,8.53,0.1846,0.0432,0.0448,0.0235,0.0064,2794000000.0,2347000000.0,8.4425,8.5377,8.5377,1276000000.0,1276000000.0,0.0515,0.016,HUM
