Date,Revenue,Cost of Revenue,Gross Profit,Operating Income,Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Share of Subsidiary Earnings,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2015-09-30 00:00:00,53256000000.0,42902000000.0,10354000000.0,2429000000.0,43000000.0,224000000.0,2472000000.0,1152000000.0,1320000000.0,,1320000000.0,8.81,0.1944,0.0456,0.0464,0.0248,0.0032,2888000000.0,2429000000.0,8.7235,8.8257,8.8257,1320000000.0,1320000000.0,0.0542,0.0136,HUM
2015-06-30 00:00:00,52131000000.0,41672000000.0,10459000000.0,2323000000.0,52000000.0,215000000.0,2375000000.0,1079000000.0,1296000000.0,,1296000000.0,8.57,0.2006,0.0446,0.0456,0.0249,0.0014,2787000000.0,2323000000.0,8.4928,8.5937,8.5937,1296000000.0,1296000000.0,0.0535,0.0124,HUM
2015-03-31 00:00:00,50621000000.0,40047000000.0,10574000000.0,2431000000.0,-203000000.0,203000000.0,2228000000.0,1019000000.0,1209000000.0,,1209000000.0,7.91,0.2089,0.048,0.044,0.0239,0.0101,2887000000.0,2431000000.0,7.8317,7.9235,7.9235,1209000000.0,1209000000.0,0.057,0.0208,HUM
2014-12-31 00:00:00,48500000000.0,38166000000.0,10334000000.0,2362000000.0,-192000000.0,192000000.0,2170000000.0,1023000000.0,1147000000.0,,1147000000.0,7.42,0.2131,0.0487,0.0447,0.0236,0.0225,2811000000.0,2362000000.0,7.3584,7.439,7.439,1147000000.0,1147000000.0,0.058,0.0334,HUM
2014-09-30 00:00:00,46359000000.0,36620000000.0,9739000000.0,1977000000.0,-143000000.0,143000000.0,1834000000.0,862000000.0,972000000.0,,972000000.0,6.27,0.2101,0.0426,0.0396,0.021,0.0199,2416000000.0,1977000000.0,6.2331,6.3026,6.3026,972000000.0,972000000.0,0.0521,0.0304,HUM
2014-06-30 00:00:00,44440000000.0,35029000000.0,9411000000.0,2009000000.0,-140000000.0,140000000.0,1869000000.0,819000000.0,1050000000.0,,1050000000.0,6.74,0.2118,0.0452,0.0421,0.0236,0.0256,2442000000.0,2009000000.0,6.6927,6.7668,6.7668,1050000000.0,1050000000.0,0.055,0.036,HUM
2014-03-31 00:00:00,42539000000.0,33493000000.0,9046000000.0,2017000000.0,-140000000.0,140000000.0,1877000000.0,751000000.0,1126000000.0,,1126000000.0,7.18,0.2127,0.0474,0.0441,0.0265,0.0358,2448000000.0,2017000000.0,7.1352,7.2121,7.2121,1126000000.0,1126000000.0,0.0575,0.0464,HUM
2013-12-31 00:00:00,41313000000.0,32564000000.0,8749000000.0,2061000000.0,-140000000.0,140000000.0,1921000000.0,690000000.0,1231000000.0,,1231000000.0,7.78,0.2118,0.0499,0.0465,0.0298,0.031,2487000000.0,2061000000.0,7.7348,7.8157,7.8157,1231000000.0,1231000000.0,0.0602,0.0415,HUM
2013-09-30 00:00:00,40683000000.0,31877000000.0,8806000000.0,2384000000.0,-132000000.0,132000000.0,2252000000.0,799000000.0,1453000000.0,,1453000000.0,9.18,0.2165,0.0586,0.0554,0.0357,0.0374,2796000000.0,2384000000.0,9.0951,9.1903,9.1903,1453000000.0,1453000000.0,0.0687,0.0476,HUM
2013-06-30 00:00:00,40015000000.0,31269000000.0,8746000000.0,2464000000.0,-123000000.0,123000000.0,2341000000.0,830000000.0,1511000000.0,,1511000000.0,9.49,0.2186,0.0616,0.0585,0.0378,-0.0239,2848000000.0,2464000000.0,9.4022,9.501,9.501,1511000000.0,1511000000.0,0.0712,-0.0136,HUM
2013-03-31 00:00:00,39393000000.0,30830000000.0,8563000000.0,2365000000.0,-114000000.0,114000000.0,2251000000.0,804000000.0,1447000000.0,,1447000000.0,9.02,0.2174,0.06,0.0571,0.0367,-0.0108,2727000000.0,2365000000.0,8.9316,9.0289,9.0289,1447000000.0,1447000000.0,0.0692,-0.0003,HUM
2012-12-31 00:00:00,39126000000.0,30985000000.0,8141000000.0,2016000000.0,-105000000.0,105000000.0,1911000000.0,689000000.0,1222000000.0,,1222000000.0,7.56,0.2081,0.0515,0.0488,0.0312,0.0387,2354000000.0,2016000000.0,7.476,7.5673,7.5673,1222000000.0,1222000000.0,0.0602,0.0491,HUM
