Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Share of Subsidiary Earnings,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,12105000000.0,6228000000.0,5877000000.0,446000000.0,279000000.0,1008000000.0,225000000.0,-183000000.0,240000000.0,825000000.0,643000000.0,182000000.0,109000000.0,1002000000.0,1.26,0.4855,0.0833,0.0682,0.0828,0.1308,3261000000.0,1008000000.0,1.23,0.04,0.42,0.04,1.23,291000000.0,34000000.0,325000000.0,0.2694,0.2899,NEM
2022-06-30 00:00:00,12366000000.0,6050000000.0,6316000000.0,397000000.0,267000000.0,779000000.0,239000000.0,-321000000.0,251000000.0,458000000.0,769000000.0,-311000000.0,123000000.0,792000000.0,0.99,0.5108,0.063,0.037,0.064,0.1929,3094000000.0,779000000.0,0.94,0.06,-0.1612,0.06,0.94,-188000000.0,50000000.0,-138000000.0,0.2502,0.338,NEM
2022-03-31 00:00:00,12373000000.0,5623000000.0,6750000000.0,379000000.0,258000000.0,1200000000.0,252000000.0,-207000000.0,262000000.0,993000000.0,1077000000.0,-84000000.0,155000000.0,1055000000.0,1.31,0.5455,0.097,0.0803,0.0853,0.1973,3517000000.0,1200000000.0,1.26,0.06,0.1602,0.06,1.26,71000000.0,52000000.0,123000000.0,0.2842,0.334,NEM
2021-12-31 00:00:00,12222000000.0,5435000000.0,6787000000.0,363000000.0,259000000.0,1257000000.0,266000000.0,-149000000.0,274000000.0,1108000000.0,1098000000.0,10000000.0,166000000.0,1166000000.0,1.45,0.5553,0.1028,0.0907,0.0954,0.2149,3580000000.0,1257000000.0,1.39,0.07,0.2916,0.07,1.39,176000000.0,57000000.0,233000000.0,0.2929,0.3501,NEM
2021-09-30 00:00:00,12213000000.0,5250000000.0,6963000000.0,354000000.0,254000000.0,2803000000.0,287000000.0,-254000000.0,281000000.0,2549000000.0,1056000000.0,1493000000.0,208000000.0,2036000000.0,2.54,0.5701,0.2295,0.2087,0.1667,0.2502,5102000000.0,2803000000.0,2.46,0.07,2.1961,0.07,2.47,1701000000.0,60000000.0,1761000000.0,0.4178,0.3821,NEM
2021-06-30 00:00:00,12488000000.0,5152000000.0,7336000000.0,341000000.0,261000000.0,3735000000.0,296000000.0,-235000000.0,290000000.0,3500000000.0,1139000000.0,2361000000.0,222000000.0,2872000000.0,3.58,0.5874,0.2991,0.2803,0.23,0.2891,6056000000.0,3735000000.0,3.23,0.34,3.5662,0.34,3.24,2583000000.0,277000000.0,2860000000.0,0.4849,0.4098,NEM
2021-03-31 00:00:00,11788000000.0,4929000000.0,6859000000.0,304000000.0,269000000.0,3205000000.0,306000000.0,-98000000.0,300000000.0,3107000000.0,962000000.0,2145000000.0,202000000.0,2566000000.0,3.2,0.5819,0.2719,0.2636,0.2177,0.2896,5493000000.0,3205000000.0,2.94,0.25,3.1731,0.25,2.95,2347000000.0,199000000.0,2546000000.0,0.466,0.4061,NEM
2020-12-31 00:00:00,11497000000.0,5014000000.0,6483000000.0,309000000.0,269000000.0,2806000000.0,323000000.0,337000000.0,308000000.0,3143000000.0,704000000.0,2439000000.0,189000000.0,2829000000.0,3.52,0.5639,0.2441,0.2734,0.2461,0.3114,5106000000.0,2806000000.0,3.31,0.2,3.4714,0.2,3.32,2628000000.0,163000000.0,2791000000.0,0.4441,0.4246,NEM
2020-09-30 00:00:00,11083000000.0,5118000000.0,5965000000.0,325000000.0,294000000.0,2405000000.0,338000000.0,424000000.0,319000000.0,2829000000.0,575000000.0,2254000000.0,161000000.0,2570000000.0,3.18,0.5382,0.217,0.2553,0.2319,0.2767,4703000000.0,2405000000.0,3.3,0.22,3.5324,0.22,3.3,2415000000.0,173000000.0,2588000000.0,0.4243,0.3971,NEM
2020-06-30 00:00:00,10626000000.0,5241000000.0,5385000000.0,369000000.0,310000000.0,1865000000.0,,2862000000.0,321000000.0,4727000000.0,828000000.0,3899000000.0,140000000.0,3909000000.0,4.8,0.5068,0.1755,0.4449,0.3679,0.2005,4119000000.0,1865000000.0,5.25,-0.12,5.1542,-0.12,5.26,4039000000.0,-103000000.0,3936000000.0,0.3876,0.3384,NEM
2020-03-31 00:00:00,10518000000.0,5549000000.0,4969000000.0,418000000.0,319000000.0,1446000000.0,,2751000000.0,325000000.0,4197000000.0,684000000.0,3663000000.0,137000000.0,3540000000.0,4.34,0.4724,0.1375,0.399,0.3366,0.1583,3659000000.0,1446000000.0,4.74,-0.07,4.9449,-0.07,4.75,3650000000.0,-61000000.0,3589000000.0,0.3479,0.3072,NEM
2019-12-31 00:00:00,9740000000.0,5195000000.0,4545000000.0,415000000.0,313000000.0,1277000000.0,,2416000000.0,301000000.0,3693000000.0,832000000.0,2879000000.0,95000000.0,2805000000.0,3.48,0.4666,0.1311,0.3792,0.288,0.144,3237000000.0,1277000000.0,3.91,-0.1,3.9526,-0.1,3.92,2956000000.0,-72000000.0,2884000000.0,0.3323,0.2943,NEM
2019-09-30 00:00:00,8821000000.0,4840000000.0,3981000000.0,401000000.0,287000000.0,1132000000.0,,2219000000.0,271000000.0,3351000000.0,963000000.0,2257000000.0,45000000.0,2242000000.0,2.79,0.4513,0.1283,0.3799,0.2542,0.1246,2815000000.0,1132000000.0,2.93,-0.1,2.7068,-0.1,2.62,2433000000.0,-95000000.0,2338000000.0,0.3191,0.2722,NEM
2019-06-30 00:00:00,7834000000.0,4443000000.0,3391000000.0,355000000.0,262000000.0,560000000.0,,-115000000.0,245000000.0,445000000.0,408000000.0,,4000000.0,-81000000.0,-0.14,0.4329,0.0715,0.0568,-0.0103,0.1132,1994000000.0,560000000.0,-0.09,-0.01,,-0.01,0.42,41000000.0,-31000000.0,10000000.0,0.2545,0.2598,NEM
2019-03-31 00:00:00,7239000000.0,4042000000.0,3197000000.0,344000000.0,244000000.0,763000000.0,,-33000000.0,212000000.0,730000000.0,406000000.0,324000000.0,-29000000.0,236000000.0,0.44,0.4416,0.1054,0.1008,0.0326,0.1532,1989000000.0,763000000.0,0.42,0.06,0.5781,0.06,0.74,295000000.0,13000000.0,308000000.0,0.2748,0.2949,NEM
2018-12-31 00:00:00,7253000000.0,4093000000.0,3160000000.0,350000000.0,244000000.0,790000000.0,,-52000000.0,207000000.0,738000000.0,386000000.0,352000000.0,-33000000.0,341000000.0,0.64,0.4357,0.1089,0.1018,0.047,0.1096,2005000000.0,790000000.0,0.53,,0.713,,,319000000.0,61000000.0,380000000.0,0.2764,0.2519,NEM
2018-09-30 00:00:00,7140000000.0,4042000000.0,3098000000.0,337000000.0,247000000.0,713000000.0,,12000000.0,207000000.0,725000000.0,903000000.0,-178000000.0,-37000000.0,-203000000.0,-0.34,0.4339,0.0999,0.1015,-0.0284,0.1064,1915000000.0,713000000.0,-0.5,0.12,-0.286,0.12,-0.49,-215000000.0,63000000.0,-152000000.0,0.2682,0.2566,NEM
2018-06-30 00:00:00,7293000000.0,4100000000.0,3193000000.0,341000000.0,246000000.0,1151000000.0,,-20000000.0,212000000.0,1131000000.0,973000000.0,158000000.0,-27000000.0,148000000.0,0.31,0.4378,0.1578,0.1551,0.0203,0.1235,2382000000.0,1151000000.0,0.2,0.07,0.32,0.07,0.21,131000000.0,40000000.0,171000000.0,0.3266,0.2596,NEM
2018-03-31 00:00:00,7506000000.0,4134000000.0,3372000000.0,334000000.0,241000000.0,1304000000.0,,-143000000.0,227000000.0,1161000000.0,1121000000.0,40000000.0,-23000000.0,31000000.0,0.09,0.4492,0.1737,0.1547,0.0041,0.1464,2538000000.0,1304000000.0,0.05,0.01,0.0442,0.01,0.05,17000000.0,7000000.0,24000000.0,0.3381,0.2686,NEM
2017-12-31 00:00:00,7379000000.0,4062000000.0,3317000000.0,322000000.0,237000000.0,1259000000.0,,-187000000.0,241000000.0,1072000000.0,1127000000.0,-55000000.0,-16000000.0,-114000000.0,-0.18,0.4495,0.1706,0.1453,-0.0154,0.1705,2520000000.0,1259000000.0,-0.14,-0.07,-0.2045,-0.07,-0.14,-71000000.0,-38000000.0,-109000000.0,0.3415,0.2878,NEM
