Date,Revenue,Cost of Revenue,Gross Profit,Operating Income,Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2020-03-31 00:00:00,17718000000.0,16647000000.0,1071000000.0,1008000000.0,-323000000.0,323000000.0,685000000.0,-1000000.0,686000000.0,686000000.0,3.44,0.0604,0.0569,0.0387,0.0387,-0.0508,974000000.0,1008000000.0,3.4269,,3.4521,,3.4521,686000000.0,686000000.0,0.055,-0.0508,LNC
2019-12-31 00:00:00,17258000000.0,15947000000.0,1311000000.0,1245000000.0,-326000000.0,326000000.0,919000000.0,33000000.0,886000000.0,886000000.0,4.4,0.076,0.0721,0.0533,0.0513,-0.1556,1214000000.0,1245000000.0,4.3838,,4.4165,,4.4165,886000000.0,886000000.0,0.0703,-0.1556,LNC
2019-09-30 00:00:00,17444000000.0,14590000000.0,2854000000.0,2781000000.0,-1875000000.0,323000000.0,906000000.0,53000000.0,853000000.0,853000000.0,4.11,0.1636,0.1594,0.0519,0.0489,-0.1117,2750000000.0,2781000000.0,4.0568,,4.11,,4.11,853000000.0,853000000.0,0.1576,-0.1117,LNC
2019-06-30 00:00:00,17070000000.0,15028000000.0,2042000000.0,1967000000.0,-279000000.0,279000000.0,1688000000.0,184000000.0,1504000000.0,1504000000.0,7.19,0.1196,0.1152,0.0989,0.0881,-0.0733,1944000000.0,1967000000.0,7.0985,,7.1878,,7.1878,1504000000.0,1504000000.0,0.1139,-0.0733,LNC
2019-03-31 00:00:00,16780000000.0,14709000000.0,2071000000.0,1995000000.0,-277000000.0,277000000.0,1718000000.0,192000000.0,1526000000.0,1526000000.0,7.15,0.1234,0.1189,0.1024,0.0909,0.0281,1979000000.0,1995000000.0,7.0468,,7.1524,,7.1524,1526000000.0,1526000000.0,0.1179,0.0281,LNC
2018-12-31 00:00:00,16424000000.0,14166000000.0,2258000000.0,2182000000.0,-297000000.0,297000000.0,1885000000.0,244000000.0,1641000000.0,1641000000.0,7.6,0.1375,0.1329,0.1148,0.0999,0.1183,2174000000.0,2182000000.0,7.4743,,7.5995,,7.5995,1641000000.0,1641000000.0,0.1324,0.1183,LNC
2018-09-30 00:00:00,15562000000.0,13277000000.0,2285000000.0,1321000000.0,-291000000.0,291000000.0,1030000000.0,-1027000000.0,2057000000.0,2057000000.0,9.44,0.1468,0.0849,0.0662,0.1322,0.0779,1320000000.0,1321000000.0,9.2557,,9.4162,,9.4162,2057000000.0,2057000000.0,0.0848,0.0779,LNC
2018-06-30 00:00:00,14809000000.0,12560000000.0,2249000000.0,1293000000.0,-285000000.0,285000000.0,1008000000.0,-977000000.0,1985000000.0,1985000000.0,9.06,0.1519,0.0873,0.0681,0.134,0.0822,1292000000.0,1293000000.0,8.8799,,9.0396,,9.0396,1985000000.0,1985000000.0,0.0872,0.0822,LNC
2018-03-31 00:00:00,14366000000.0,12042000000.0,2324000000.0,1370000000.0,-280000000.0,280000000.0,1090000000.0,-921000000.0,2011000000.0,2011000000.0,9.14,0.1618,0.0954,0.0759,0.14,0.057,1365000000.0,1370000000.0,8.9507,,9.112,,9.112,2011000000.0,2011000000.0,0.095,0.057,LNC
2017-12-31 00:00:00,14257000000.0,11926000000.0,2331000000.0,1383000000.0,-253000000.0,253000000.0,1130000000.0,-949000000.0,2079000000.0,2079000000.0,9.39,0.1635,0.097,0.0793,0.1458,0.0553,1360000000.0,1383000000.0,9.1902,,9.3594,,9.3594,2079000000.0,2079000000.0,0.0954,0.0553,LNC
2017-09-30 00:00:00,13843000000.0,11768000000.0,2075000000.0,2034000000.0,-319000000.0,319000000.0,1715000000.0,262000000.0,1453000000.0,1453000000.0,6.49,0.1499,0.1469,0.1239,0.105,0.0868,1994000000.0,2034000000.0,6.3846,,6.4808,,6.4808,1453000000.0,1453000000.0,0.144,0.0868,LNC
2017-06-30 00:00:00,13857000000.0,11687000000.0,2170000000.0,2139000000.0,-322000000.0,322000000.0,1817000000.0,315000000.0,1502000000.0,1502000000.0,6.62,0.1566,0.1544,0.1311,0.1084,0.0677,2081000000.0,2139000000.0,6.5161,,6.6091,,6.6091,1502000000.0,1502000000.0,0.1502,0.0677,LNC
2017-03-31 00:00:00,13587000000.0,11545000000.0,2042000000.0,2025000000.0,-327000000.0,327000000.0,1698000000.0,282000000.0,1416000000.0,1416000000.0,6.15,0.1503,0.149,0.125,0.1042,0.0797,1952000000.0,2025000000.0,6.0627,,6.145,,6.145,1416000000.0,1416000000.0,0.1437,0.0797,LNC
2016-12-31 00:00:00,13330000000.0,11533000000.0,1797000000.0,1789000000.0,-331000000.0,331000000.0,1458000000.0,266000000.0,1192000000.0,1192000000.0,5.05,0.1348,0.1342,0.1094,0.0894,0.0954,1716000000.0,1789000000.0,5.0331,,5.0901,,5.0901,1192000000.0,1192000000.0,0.1287,0.0954,LNC
2016-09-30 00:00:00,13246000000.0,11364000000.0,1882000000.0,1882000000.0,-270000000.0,270000000.0,1612000000.0,326000000.0,1286000000.0,1286000000.0,5.37,0.1421,0.1421,0.1217,0.0971,0.1084,1808000000.0,1882000000.0,5.3447,,5.4223,,5.4223,1286000000.0,1286000000.0,0.1365,0.1084,LNC
2016-06-30 00:00:00,13437000000.0,11898000000.0,1539000000.0,1539000000.0,-271000000.0,271000000.0,1268000000.0,222000000.0,1046000000.0,1046000000.0,4.26,0.1145,0.1145,0.0944,0.0778,0.1635,1465000000.0,1539000000.0,4.2426,,4.3118,,4.3118,1046000000.0,1046000000.0,0.109,0.1635,LNC
2016-03-31 00:00:00,13511000000.0,11936000000.0,1575000000.0,1575000000.0,-272000000.0,272000000.0,1303000000.0,238000000.0,1065000000.0,1065000000.0,4.26,0.1166,0.1166,0.0964,0.0788,0.1662,1501000000.0,1575000000.0,4.2362,,4.3033,,4.3033,1065000000.0,1065000000.0,0.1111,0.1662,LNC
2015-12-31 00:00:00,13572000000.0,11870000000.0,1702000000.0,1702000000.0,-272000000.0,272000000.0,1430000000.0,276000000.0,1154000000.0,1154000000.0,4.6,0.1254,0.1254,0.1054,0.085,0.1653,1628000000.0,1702000000.0,4.5267,,4.6044,,4.6044,1154000000.0,1154000000.0,0.12,0.1653,LNC
2015-09-30 00:00:00,14086000000.0,12305000000.0,1781000000.0,1781000000.0,-270000000.0,270000000.0,1511000000.0,292000000.0,1219000000.0,1220000000.0,4.8,0.1264,0.1264,0.1073,0.0866,0.2072,1707000000.0,1781000000.0,4.7317,,4.8025,,4.8051,1219000000.0,1220000000.0,0.1212,0.2072,LNC
2015-06-30 00:00:00,13781000000.0,11667000000.0,2114000000.0,2114000000.0,-270000000.0,270000000.0,1844000000.0,413000000.0,1431000000.0,1432000000.0,5.58,0.1534,0.1534,0.1338,0.1039,0.1986,2040000000.0,2114000000.0,5.4807,,5.5777,,5.5803,1431000000.0,1432000000.0,0.148,0.1986,LNC
2015-03-31 00:00:00,13682000000.0,11482000000.0,2200000000.0,2200000000.0,-268000000.0,268000000.0,1932000000.0,447000000.0,1485000000.0,1486000000.0,5.73,0.1608,0.1608,0.1412,0.1086,0.187,2127000000.0,2200000000.0,5.6123,,5.7293,,5.7319,1485000000.0,1486000000.0,0.1555,0.187,LNC
2014-12-31 00:00:00,13554000000.0,11290000000.0,2264000000.0,2264000000.0,-267000000.0,267000000.0,1997000000.0,483000000.0,1514000000.0,1515000000.0,5.81,0.167,0.167,0.1473,0.1118,0.1864,2190000000.0,2264000000.0,5.6699,,5.8073,,5.8099,1514000000.0,1515000000.0,0.1616,0.1864,LNC
2014-09-30 00:00:00,12991000000.0,10690000000.0,2301000000.0,2301000000.0,-270000000.0,270000000.0,2031000000.0,514000000.0,1517000000.0,1517000000.0,5.8,0.1771,0.1771,0.1563,0.1168,0.107,2228000000.0,2301000000.0,5.6152,,5.7858,,5.7826,1517000000.0,1517000000.0,0.1715,0.107,LNC
2014-06-30 00:00:00,12589000000.0,10447000000.0,2142000000.0,2142000000.0,-270000000.0,270000000.0,1872000000.0,457000000.0,1415000000.0,1415000000.0,5.39,0.1701,0.1701,0.1487,0.1124,0.0886,2068000000.0,2142000000.0,5.201,,5.3785,,5.3753,1415000000.0,1415000000.0,0.1643,0.0886,LNC
2014-03-31 00:00:00,12306000000.0,10285000000.0,2021000000.0,2021000000.0,-268000000.0,268000000.0,1753000000.0,419000000.0,1334000000.0,1334000000.0,5.06,0.1642,0.1642,0.1425,0.1084,0.1067,1947000000.0,2021000000.0,4.8711,,5.0511,,5.0479,1334000000.0,1334000000.0,0.1582,0.1067,LNC
2013-12-31 00:00:00,11969000000.0,10073000000.0,1896000000.0,1896000000.0,-265000000.0,265000000.0,1631000000.0,387000000.0,1244000000.0,1244000000.0,4.69,0.1584,0.1584,0.1363,0.1039,0.0668,1822000000.0,1896000000.0,4.52,,4.6832,,4.68,1244000000.0,1244000000.0,0.1522,0.0668,LNC
2013-09-30 00:00:00,11820000000.0,9990000000.0,1830000000.0,1830000000.0,-265000000.0,265000000.0,1565000000.0,351000000.0,1214000000.0,1214000000.0,4.52,0.1548,0.1548,0.1324,0.1027,0.0937,1756000000.0,1830000000.0,4.3846,,4.5127,,4.5131,1214000000.0,1214000000.0,0.1486,0.0937,LNC
2013-06-30 00:00:00,11765000000.0,9958000000.0,1807000000.0,1807000000.0,-266000000.0,266000000.0,1541000000.0,264000000.0,1277000000.0,1305000000.0,4.69,0.1536,0.1536,0.131,0.1109,0.0603,1733000000.0,1807000000.0,4.5633,,4.7742,,4.6744,1277000000.0,1305000000.0,0.1473,0.0603,LNC
2013-03-31 00:00:00,11664000000.0,9830000000.0,1834000000.0,1834000000.0,-269000000.0,269000000.0,1565000000.0,284000000.0,1281000000.0,1309000000.0,4.65,0.1572,0.1572,0.1342,0.1122,0.0631,1760000000.0,1834000000.0,4.5033,,4.7221,,4.6243,1281000000.0,1309000000.0,0.1509,0.0631,LNC
2012-12-31 00:00:00,11535000000.0,9694000000.0,1841000000.0,1841000000.0,-273000000.0,273000000.0,1568000000.0,282000000.0,1286000000.0,1313000000.0,4.62,0.1596,0.1596,0.1359,0.1138,0.11,1767000000.0,1841000000.0,4.47,0.06,4.6785,0.07,4.58,1286000000.0,1313000000.0,0.1532,0.11,LNC
