Date,Revenue,Cost of Revenue,Gross Profit,Operating Income,Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,19117000000.0,20677000000.0,-1484000000.0,-2268000000.0,433000000.0,272000000.0,-2540000000.0,-528000000.0,-2012000000.0,-2012000000.0,-12.02,-0.0776,-0.1186,-0.1329,-0.1052,0.1798,-1709000000.0,-2268000000.0,-11.8341,,-11.9308,,-11.9308,-2012000000.0,-2012000000.0,-0.0894,0.1798,LNC
2022-06-30 00:00:00,19569000000.0,18269000000.0,1367000000.0,1239000000.0,-274000000.0,274000000.0,965000000.0,85000000.0,880000000.0,880000000.0,4.88,0.0699,0.0633,0.0493,0.045,0.1575,1172000000.0,1239000000.0,4.8919,,4.9345,,4.9345,880000000.0,880000000.0,0.0599,0.1575,LNC
2022-03-31 00:00:00,19335000000.0,17539000000.0,1844000000.0,1739000000.0,-271000000.0,271000000.0,1468000000.0,184000000.0,1284000000.0,1284000000.0,6.87,0.0954,0.0899,0.0759,0.0664,0.0795,1683000000.0,1739000000.0,6.854,,6.9229,,6.9229,1284000000.0,1284000000.0,0.087,0.0795,LNC
2021-12-31 00:00:00,19201000000.0,17235000000.0,1995000000.0,1908000000.0,-270000000.0,270000000.0,1638000000.0,233000000.0,1405000000.0,1405000000.0,7.44,0.1039,0.0994,0.0853,0.0732,0.0074,1862000000.0,1908000000.0,7.4299,,7.4989,,7.4989,1405000000.0,1405000000.0,0.097,0.0074,LNC
2021-09-30 00:00:00,18753000000.0,16923000000.0,1839000000.0,1761000000.0,-269000000.0,269000000.0,1492000000.0,164000000.0,1328000000.0,1328000000.0,6.98,0.0981,0.0939,0.0796,0.0708,0.0156,1725000000.0,1761000000.0,6.9345,,6.9856,,6.9856,1328000000.0,1328000000.0,0.092,0.0156,LNC
2021-06-30 00:00:00,18882000000.0,16960000000.0,1922000000.0,1846000000.0,-262000000.0,262000000.0,1584000000.0,176000000.0,1408000000.0,1408000000.0,7.35,0.1018,0.0978,0.0839,0.0746,-0.0354,1810000000.0,1846000000.0,7.2901,,7.3471,,7.3471,1408000000.0,1408000000.0,0.0959,-0.0354,LNC
2021-03-31 00:00:00,17548000000.0,16547000000.0,1001000000.0,932000000.0,-281000000.0,281000000.0,651000000.0,-21000000.0,672000000.0,672000000.0,3.48,0.057,0.0531,0.0371,0.0383,-0.0321,893000000.0,932000000.0,3.4648,,3.4814,,3.4814,672000000.0,672000000.0,0.0509,-0.0321,LNC
2020-12-31 00:00:00,17439000000.0,16664000000.0,775000000.0,707000000.0,-284000000.0,284000000.0,423000000.0,-76000000.0,499000000.0,499000000.0,2.58,0.0444,0.0405,0.0243,0.0286,0.0306,666000000.0,707000000.0,2.566,,2.5773,,2.5773,499000000.0,499000000.0,0.0382,0.0306,LNC
2020-09-30 00:00:00,17648000000.0,18031000000.0,-383000000.0,-449000000.0,1262000000.0,290000000.0,813000000.0,25000000.0,788000000.0,788000000.0,4.02,-0.0217,-0.0254,0.0461,0.0447,0.029,-489000000.0,-449000000.0,3.9889,,4.0318,,4.0318,788000000.0,788000000.0,-0.0277,0.029,LNC
2020-06-30 00:00:00,16925000000.0,16423000000.0,502000000.0,440000000.0,-337000000.0,337000000.0,103000000.0,-126000000.0,229000000.0,229000000.0,1.15,0.0297,0.026,0.0061,0.0135,0.05,402000000.0,440000000.0,1.1528,,1.1641,,1.1641,229000000.0,229000000.0,0.0238,0.05,LNC
