Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Share of Subsidiary Earnings,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,22638000000.0,15813000000.0,6825000000.0,5088000000.0,664000000.0,259000000.0,-1192000000.0,259000000.0,-528000000.0,-387000000.0,-141000000.0,-14000000.0,-151000000.0,-0.46,0.3015,0.0293,-0.0233,-0.0067,-0.1528,3063000000.0,664000000.0,-155000000.0,-155000000.0,0.1353,-0.0991,CEG
2022-06-30 00:00:00,20993000000.0,12664000000.0,8329000000.0,5007000000.0,1711000000.0,260000000.0,-1113000000.0,261000000.0,598000000.0,-87000000.0,685000000.0,-14000000.0,644000000.0,-0.08,0.3968,0.0815,0.0285,0.0307,-0.0445,4772000000.0,1711000000.0,671000000.0,671000000.0,0.2273,0.0134,CEG
2022-03-31 00:00:00,19681000000.0,11103000000.0,8578000000.0,5193000000.0,1131000000.0,276000000.0,29000000.0,281000000.0,1160000000.0,351000000.0,809000000.0,-12000000.0,694000000.0,-2.17,0.4359,0.0575,0.0589,0.0353,0.0245,4927000000.0,1131000000.0,797000000.0,797000000.0,0.2503,0.082,CEG
2021-12-31 00:00:00,19649000000.0,12163000000.0,7486000000.0,4973000000.0,-346000000.0,300000000.0,498000000.0,297000000.0,152000000.0,225000000.0,-73000000.0,-10000000.0,-205000000.0,-2.43,0.381,-0.0176,0.0077,-0.0104,-0.091,4194000000.0,-346000000.0,-83000000.0,-83000000.0,0.2134,-0.0681,CEG
2021-09-30 00:00:00,18449000000.0,12669000000.0,5780000000.0,,,,-101000000.0,246000000.0,295000000.0,316000000.0,,,-228000000.0,,0.3133,0.0,0.016,-0.0124,-0.0231,4624000000.0,,,-29000000.0,0.2506,0.0844,CEG
2021-06-30 00:00:00,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,CEG
