Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Non-operating Income/Expense,Non-operating Interest Expenses,Investment Gain/Loss (Other),Income (Other),EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,2664019000.0,986605000.0,1694001900.0,60437000.0,1515565900.0,-137895000.0,295819000.0,-3826000.0,,1207406000.0,961000.0,1206444900.0,1141775000.0,3.04,0.6359,0.5689,0.4532,0.4286,0.6403,2444650900.0,1515566200.0,3.0932,,3.2089,,3.2089,1202618900.0,,1202619000.0,0.9177,0.5248,EQR
2022-06-30 00:00:00,2594854000.0,973609000.0,1635104900.0,60106000.0,1623108900.0,-133010000.0,291486000.0,-3955000.0,,1319834000.0,1093000.0,1318740900.0,1250701000.0,3.33,0.6301,0.6255,0.5086,0.482,0.4146,2550613800.0,1623109200.0,3.3841,,3.5122,,3.5122,1314785900.0,,1314786000.0,0.983,0.5276,EQR
2022-03-31 00:00:00,2504135000.0,958447000.0,1561295900.0,58361000.0,1690018900.0,-105514000.0,286536000.0,-3048000.0,,1414240000.0,1044000.0,1413195900.0,1342987000.0,3.58,0.6235,0.6749,0.5648,0.5363,0.3333,2594983800.0,1690019200.0,3.6324,,3.7706,,3.7706,1410147900.0,,1410148000.0,1.0363,0.5103,EQR
2021-12-31 00:00:00,2458284000.0,948792000.0,1515204900.0,56506000.0,1675840900.0,-177751000.0,281210000.0,-3393000.0,,1401022000.0,915000.0,1400106900.0,1329760000.0,3.54,0.6164,0.6817,0.5699,0.5409,0.363,2550645800.0,1675841200.0,3.599,,3.7362,,3.7362,1396713900.0,,1396714000.0,1.0376,0.5109,EQR
2021-09-30 00:00:00,2428323100.0,936894000.0,1495408100.0,54195000.0,1390563900.0,-321187000.0,328315000.0,30372000.0,,1069377100.0,1029000.0,1068348000.0,1055642000.0,2.82,0.6158,0.5726,0.4404,0.4347,0.48,2260424800.0,1390563900.0,2.8376,,2.9417,,2.9417,1098720000.0,,1098720000.0,0.9309,0.4967,EQR
2021-06-30 00:00:00,2431529100.0,928286000.0,1503243100.0,52013000.0,1051419900.0,-334942000.0,340991000.0,31282000.0,,716478100.0,1007000.0,715471000.0,714977000.0,1.91,0.6182,0.4324,0.2947,0.294,0.511,1909892900.0,1051419900.0,1.9331,,2.003,,2.003,746753000.0,,746753000.0,0.7855,0.4962,EQR
2021-03-31 00:00:00,2487002100.0,921782000.0,1565220100.0,49170000.0,1031464900.0,-370820000.0,355924000.0,30501000.0,,660645100.0,952000.0,659693000.0,659479000.0,1.77,0.6294,0.4147,0.2656,0.2652,0.6195,1897498000.0,1031464900.0,1.7907,,1.8556,,1.8556,690194000.0,,690194000.0,0.763,0.4942,EQR
2020-12-31 00:00:00,2571705100.0,916385000.0,1655320100.0,48305000.0,1317989900.0,-385587000.0,374012000.0,30950000.0,,932403100.0,852000.0,931551000.0,910546000.0,2.45,0.6437,0.5125,0.3626,0.3541,0.756,2199678000.0,1317989900.0,2.4944,,2.5888,,2.5888,962501000.0,,962501000.0,0.8553,0.4921,EQR
2020-09-30 00:00:00,2641972900.0,919581000.0,1722391900.0,48842000.0,1370119900.0,-368386000.0,357908000.0,-3439000.0,,1001734000.0,-2528000.0,1004262000.0,947454000.0,2.55,0.6519,0.5186,0.3792,0.3586,0.6494,2253045000.0,1370119900.0,2.5901,,2.6948,,2.6948,1000823000.0,,1000823000.0,0.8528,0.5288,EQR
2020-06-30 00:00:00,2704659900.0,915499000.0,1789160900.0,49400000.0,1556047900.0,-372823000.0,363750000.0,-2446000.0,,1183225000.0,-2525000.0,1185750000.0,1123274000.0,3.03,0.6615,0.5753,0.4375,0.4153,0.584,2441688100.0,1556047900.0,3.0609,,3.1878,,3.1878,1183304000.0,,1183304000.0,0.9028,0.5181,EQR
2020-03-31 00:00:00,2720501900.0,916677000.0,1803824900.0,51894000.0,1568275900.0,-405158000.0,392303000.0,67538000.0,,1163118000.0,-2466000.0,1165584000.0,1171354000.0,3.16,0.663,0.5765,0.4275,0.4306,0.4577,2463874000.0,1568275900.0,3.1896,,3.3252,,3.3252,1233122000.0,,1233122000.0,0.9057,0.5388,EQR
2019-12-31 00:00:00,2700690900.0,908328000.0,1792362900.0,52757000.0,1356159900.0,-416722000.0,401746000.0,67989000.0,,939438000.0,-2281000.0,941719000.0,967287000.0,2.61,0.6637,0.5022,0.3479,0.3582,0.2309,2243562000.0,1356159900.0,2.6135,,2.7255,,2.7255,1009708000.0,,1009708000.0,0.8307,0.5395,EQR
2019-09-30 00:00:00,2668978000.0,900824000.0,1768154000.0,53520000.0,1165953100.0,-402604000.0,392602000.0,68301000.0,,763349000.0,860000.0,762489000.0,794710000.0,2.15,0.6625,0.4369,0.286,0.2978,0.2171,2036696100.0,1165953100.0,2.1519,,2.2446,,2.2446,830790000.0,,830790000.0,0.7631,0.5269,EQR
2019-06-30 00:00:00,2636725000.0,896548000.0,1740177000.0,54743000.0,1137018100.0,-425922000.0,418280000.0,66569000.0,,711096000.0,875000.0,710221000.0,742541000.0,2.01,0.66,0.4312,0.2697,0.2816,0.2427,2013990000.0,1137018100.0,2.0169,,2.1034,,2.1034,776790000.0,,776790000.0,0.7638,0.5164,EQR
2019-03-31 00:00:00,2607159000.0,888982000.0,1718177000.0,52916000.0,985504100.0,-408291000.0,401961000.0,-2409000.0,,577213000.0,903000.0,576310000.0,547175000.0,1.49,0.659,0.378,0.2214,0.2099,0.197,1836909000.0,985504100.0,1.4935,,1.5576,,1.5576,573901000.0,,573901000.0,0.7046,0.525,EQR
2018-12-31 00:00:00,2577681000.0,879634000.0,1698047000.0,53813000.0,1114617100.0,-425867000.0,424670000.0,-2680000.0,,688750000.0,878000.0,687872000.0,654445000.0,1.78,0.6587,0.4324,0.2672,0.2539,0.385,1957265000.0,1114617100.0,1.7857,,1.8616,,1.8616,685192000.0,,685192000.0,0.7593,0.5262,EQR
2018-09-30 00:00:00,2556395000.0,862050000.0,1694345000.0,53278000.0,1267909000.0,-429507100.0,427898000.0,-3218000.0,,838402000.0,535000.0,837867000.0,662699000.0,1.8,0.6628,0.496,0.328,0.2592,0.3934,2109697000.0,1267909000.0,1.8075,,1.8835,,1.8835,692888000.0,,692888000.0,0.8253,0.5241,EQR
2018-06-30 00:00:00,2527650000.0,851543000.0,1676107000.0,53205000.0,1146292000.0,-405507100.0,406612000.0,-2631000.0,,740785000.0,483000.0,740302000.0,585992000.0,1.59,0.6631,0.4535,0.2931,0.2318,0.3075,1958967000.0,1146292000.0,1.6009,,1.6682,,1.6682,613238000.0,,613238000.0,0.775,0.5508,EQR
2018-03-31 00:00:00,2500322000.0,843241000.0,1657081000.0,54329000.0,1139239000.0,-399815100.0,403693000.0,-3300000.0,,739424000.0,429000.0,738995000.0,668430000.0,1.81,0.6627,0.4556,0.2957,0.2673,0.39,1937301000.0,1139239000.0,1.8256,,1.903,,1.903,698988000.0,,698988000.0,0.7748,0.5291,EQR
2017-12-31 00:00:00,2471406000.0,826269000.0,1645137000.0,52224000.0,1004528000.0,-391466100.0,392416000.0,15797000.0,157057000.0,613062000.0,478000.0,612584000.0,600363000.0,1.63,0.6657,0.4065,0.2481,0.2429,0.2846,1783014000.0,1004528000.0,1.642,,1.7124,,1.7124,628381000.0,,628381000.0,0.7215,0.5122,EQR
2017-09-30 00:00:00,2446191000.0,818245000.0,1627946000.0,50798000.0,856777100.0,-386248000.0,393589000.0,15944000.0,314945100.0,470529000.0,1134000.0,469395000.0,752170800.0,2.05,0.6655,0.3502,0.1924,0.3075,0.3911,1610680100.0,856777100.0,2.0722,,2.1757,,2.0985,800283800.0,,800677900.0,0.6584,0.558,EQR
