Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,390441000000.0,292571000000.0,97870000000.0,1201000000.0,9777000000.0,70640000000.0,812000000.0,-624000000.0,70640000000.0,17039000000.0,53601000000.0,51860000000.0,12.27,0.2507,0.183,0.1809,0.1328,0.1526,83777000000.0,71452000000.0,12.686,12.686,12.686,53601000000.0,53601000000.0,0.2146,0.1954,XOM
2022-06-30 00:00:00,358362000000.0,268863000000.0,89499000000.0,1173000000.0,9740000000.0,54824000000.0,817000000.0,-3837000000.0,54824000000.0,14479000000.0,40345000000.0,38950000000.0,9.15,0.2497,0.1553,0.153,0.1087,0.1394,73489000000.0,55641000000.0,9.4832,9.4832,9.4832,40345000000.0,40345000000.0,0.2051,0.1785,XOM
2022-03-31 00:00:00,313426000000.0,241373000000.0,72053000000.0,1063000000.0,9555000000.0,36198000000.0,877000000.0,-3939000000.0,36198000000.0,9646000000.0,26552000000.0,25790000000.0,6.03,0.2299,0.1183,0.1155,0.0823,0.1278,58307000000.0,37075000000.0,6.2134,6.2134,6.2134,26552000000.0,26552000000.0,0.186,0.1712,XOM
2021-12-31 00:00:00,282304000000.0,217037000000.0,65267000000.0,1054000000.0,9574000000.0,31234000000.0,947000000.0,-2265000000.0,31234000000.0,7636000000.0,23598000000.0,23040000000.0,5.39,0.2312,0.114,0.1106,0.0816,0.1277,49631000000.0,32181000000.0,5.52,5.52,5.52,23598000000.0,23598000000.0,0.1758,0.1705,XOM
2021-09-30 00:00:00,246917000000.0,193304000000.0,53613000000.0,1125000000.0,9796000000.0,-7108000000.0,1039000000.0,21851000000.0,-7108000000.0,-1024000000.0,-6084000000.0,-5900000000.0,-1.38,0.2171,-0.0246,-0.0288,-0.0239,0.0947,39050000000.0,-6069000000.0,-1.4278,-1.4278,-1.4278,-6084000000.0,-6084000000.0,0.1582,0.1418,XOM
2021-06-30 00:00:00,219628000000.0,178099000000.0,41529000000.0,1123000000.0,9953000000.0,-17086000000.0,1104000000.0,23225000000.0,-17086000000.0,-3351000000.0,-13735000000.0,-13330000000.0,-3.11,0.1891,-0.0728,-0.0778,-0.0607,0.0719,29248000000.0,-15982000000.0,-3.2173,-3.2173,-3.2173,-13735000000.0,-13735000000.0,0.1332,0.1243,XOM
2021-03-31 00:00:00,184491000000.0,150671000000.0,33820000000.0,1161000000.0,10017000000.0,-25033000000.0,1167000000.0,23657000000.0,-25033000000.0,-5348000000.0,-19685000000.0,-19100000000.0,-4.47,0.1833,-0.1294,-0.1357,-0.1035,0.0213,21328000000.0,-23866000000.0,-4.6091,-4.6091,-4.6091,-19685000000.0,-19685000000.0,0.1156,0.0957,XOM
2020-12-31 00:00:00,181502000000.0,150560000000.0,30942000000.0,1285000000.0,10168000000.0,-28883000000.0,1158000000.0,25557000000.0,-28883000000.0,-5632000000.0,-23251000000.0,-22440000000.0,-5.25,0.1705,-0.1528,-0.1591,-0.1236,-0.0144,18284000000.0,-27725000000.0,-5.4439,-5.4439,-5.4439,-23251000000.0,-23251000000.0,0.1007,0.0808,XOM
2020-09-30 00:00:00,202135000000.0,163758000000.0,38377000000.0,1047000000.0,10480000000.0,4144000000.0,1046000000.0,3242000000.0,4144000000.0,1062000000.0,3082000000.0,3320000000.0,0.78,0.1899,0.0257,0.0205,0.0164,-0.0165,25831000000.0,5190000000.0,0.7223,0.7223,0.7223,3082000000.0,3082000000.0,0.1278,0.0842,XOM
2020-06-30 00:00:00,220985000000.0,177167000000.0,43818000000.0,1158000000.0,10789000000.0,9237000000.0,999000000.0,,9237000000.0,2199000000.0,7038000000.0,7170000000.0,1.68,0.1983,0.0463,0.0418,0.0324,-0.0074,30767000000.0,10236000000.0,1.6485,1.6485,1.6485,7038000000.0,7038000000.0,0.1392,0.0982,XOM
